line	position	sign	confidence	alt
f1v_L16	1	o	H	
f1v_L16	2	l	H	
f1v_L16	3	o	H	
f1v_L16	4	r	H	
f1v_L17	1	R	H	
f1v_L17	2	e	H	
f1v_L17	3	r	H	
f1v_L17	4	p	H	
f1v_L17	5	i	H	
f1v_L17	6	j	H	
f1v_L17	7	/	H	
f1v_L17	8	l	H	
f1v_L17	9	e	H	
f1v_L17	10	o	H	
f1v_L17	11	r	H	
f1v_L17	12	/	H	
f1v_L17	13	s	H	
f1v_L17	14	q	M	a
f1v_L17	15	l	H	
f1v_L17	16	g	H	
f1v_L17	17	r	H	
f1v_L17	18	z	M	3
f1v_L17	19	/	H	
f1v_L17	20	h	H	
f1v_L17	21	s	H	
f1v_L17	22	h	H	
f1v_L17	23	r	H	
f1v_L17	24	/	H	
f1v_L17	25	h	H	
f1v_L17	26	y	H	
f1v_L17	27	o	H	
f1v_L17	28	r	H	
f1v_L17	29	/	H	
f1v_L17	30	l	H	
f1v_L17	31	a	H	
f1v_L17	32	r	H	
f1v_L17	33	o	H	
f1v_L17	34	h	H	
f1v_L17	35	g	S	q
f1v_L17	36	t	H	
f1v_L18	1	g	S	q
f1v_L18	2	s	H	
f1v_L18	3	g	S	q
f1v_L18	4	/	H	
f1v_L18	5	y	H	
f1v_L18	6	h	H	
f1v_L18	7	z	H	
f1v_L18	8	v	M	y
f1v_L18	9	/	H	
f1v_L18	10	s	H	
f1v_L18	11	o	H	
f1v_L18	12	l	H	
f1v_L18	13	i	H	
f1v_L18	14	r	H	
f1v_L18	15	/	H	
f1v_L18	16	t	H	
f1v_L18	17	3	M	z
f1v_L18	18	5	H	
f1v_L18	19	/	H	
f1v_L18	20	n	H	
f1v_L18	21	o	H	
f1v_L18	22	y	H	
f1v_L18	23	p	H	
f2r_L08	1	y	H	
f2r_L08	2	/	H	
f2r_L08	3	l	H	
f2r_L08	4	i	H	
f2r_L08	5	o	H	
f2r_L08	6	r	H	
f2r_L09	1	l	H	
f2r_L09	2	a	H	
f2r_L09	3	y	H	
f2r_L09	4	/	H	
f2r_L09	5	g	H	
f2r_L09	6	n	H	
f2r_L09	7	o	H	
f2r_L09	8	t	H	
f2r_L09	9	r	H	
f2r_L09	10	h	H	
f2r_L09	11	/	H	
f2r_L09	12	g	H	
f2r_L09	13	h	H	
f2r_L09	14	p	H	
f2r_L09	15	l	H	
f2r_L09	16	r	H	
f2r_L09	17	/	H	
f2r_L09	18	a	H	
f2r_L09	19	g	S	q
f2r_L09	20	k	H	
f2r_L09	21	s	H	
f2r_L09	22	r	H	
f2r_L09	23	o	H	
f2r_L09	24	/	H	
f2r_L09	25	7	H	
f2r_L09	26	s	H	
f2r_L09	27	h	H	
f2r_L09	28	u	H	
f2r_L09	29	k	H	
f2r_L09	30	s	H	
f2r_L09	31	s	H	
f2r_L10	1	q	H	
f2r_L10	2	p	H	
f2r_L10	3	r	H	
f2r_L10	4	/	H	
f2r_L10	5	s	H	
f2r_L10	6	q	H	
f2r_L10	7	r	H	
f2r_L10	8	q	H	
f2r_L10	9	h	H	
f2r_L10	10	s	H	
f2r_L10	11	/	H	
f2r_L10	12	h	H	
f2r_L10	13	r	H	
f2r_L10	14	/	H	
f2r_L10	15	h	H	
f2r_L10	16	q	H	
f2r_L10	17	i	H	
f2r_L10	18	h	H	
f2r_L10	19	z	H	
f2r_L10	20	/	H	
f2r_L10	21	y	H	
f2r_L10	22	z	H	
f2r_L10	23	/	H	
f2r_L10	24	s	H	
f2r_L10	25	e	H	
f2r_L10	26	t	H	
f2r_L10	27	/	H	
f2r_L10	28	V	H	
f2r_L10	29	z	H	
f2r_L10	30	/	H	
f2r_L10	31	V	H	
f2r_L10	32	s	H	
f2r_L10	33	/	H	
f2r_L10	34	s	H	
f2r_L10	35	n	H	
f2r_L10	36	/	H	
f2r_L10	37	q	H	
f2r_L10	38	r	H	
f2r_L10	39	p	H	
f2r_L10	40	t	H	
f2v_L01	1	f	H	
f2v_L01	2	r	H	
f2v_L01	3	c	H	
f2v_L01	4	o	H	
f2v_L01	5	n	H	
f2v_L01	6	/	H	
f2v_L01	7	p	H	
f2v_L01	8	q	H	
f2v_L01	9	q	H	
f2v_L01	10	v	H	
f2v_L02	1	l	H	
f2v_L02	2	r	H	
f2v_L02	3	q	H	
f2v_L02	4	r	H	
f2v_L02	5	l	H	
f2v_L02	6	r	H	
f2v_L02	7	p	H	
f2v_L02	8	n	H	
f2v_L02	9	g	S	q
f2v_L02	10	s	H	
f2v_L02	11	r	H	
