code	count	lines
r	28	f1v_L16,f1v_L17,f1v_L18,f2r_L08,f2r_L09,f2r_L10,f2v_L01,f2v_L02,f2v_L03,f2v_L04,f2v_L05,f2v_L08,f2v_L10,f2v_L11
s	27	f1v_L17,f1v_L18,f2r_L09,f2r_L10,f2v_L02,f2v_L03,f2v_L04,f2v_L05,f2v_L06,f2v_L07,f2v_L08,f2v_L09,f2v_L11
q	23	f1v_L17,f2r_L10,f2v_L01,f2v_L02,f2v_L03,f2v_L06,f2v_L07,f2v_L08,f2v_L10,f2v_L11
p	19	f1v_L17,f1v_L18,f2r_L09,f2r_L10,f2v_L01,f2v_L02,f2v_L03,f2v_L04,f2v_L05,f2v_L06,f2v_L08,f2v_L10,f2v_L12
g	19	f1v_L17,f1v_L18,f2r_L09,f2v_L02,f2v_L03,f2v_L04,f2v_L05,f2v_L07,f2v_L08,f2v_L09,f2v_L10,f2v_L12
h	17	f1v_L17,f1v_L18,f2r_L09,f2r_L10,f2v_L04,f2v_L05,f2v_L12
o	15	f1v_L16,f1v_L17,f1v_L18,f2r_L08,f2r_L09,f2v_L01,f2v_L03,f2v_L05,f2v_L09,f2v_L11
l	13	f1v_L16,f1v_L17,f1v_L18,f2r_L08,f2r_L09,f2v_L02,f2v_L04,f2v_L05,f2v_L09
y	11	f1v_L17,f1v_L18,f2r_L08,f2r_L09,f2r_L10,f2v_L05,f2v_L06,f2v_L08,f2v_L10,f2v_L12
n	8	f1v_L18,f2r_L09,f2r_L10,f2v_L01,f2v_L02,f2v_L05,f2v_L10,f2v_L11
t	7	f1v_L17,f1v_L18,f2r_L09,f2r_L10,f2v_L06,f2v_L12
k	7	f2r_L09,f2v_L04,f2v_L07,f2v_L08,f2v_L09,f2v_L11
7	7	f2r_L09,f2v_L02,f2v_L08,f2v_L09,f2v_L10,f2v_L12
i	6	f1v_L17,f1v_L18,f2r_L08,f2r_L10,f2v_L03,f2v_L04
e	5	f1v_L17,f2r_L10,f2v_L04,f2v_L10
z	5	f1v_L17,f1v_L18,f2r_L10
a	5	f1v_L17,f2r_L09,f2v_L09,f2v_L11
v	4	f1v_L18,f2v_L01,f2v_L11,f2v_L12
'	4	f2v_L03,f2v_L06,f2v_L07,f2v_L09
3	3	f1v_L18,f2v_L03,f2v_L07
V	2	f2r_L10
c	2	f2v_L01,f2v_L04
x	2	f2v_L07,f2v_L12
R	1	f1v_L17
j	1	f1v_L17
5	1	f1v_L18
u	1	f2r_L09
f	1	f2v_L01
ß	1	f2v_L05
b	1	f2v_L07
X	1	f2v_L09
I	1	f2v_L09
