language	design	N	K	seed	correct	pct
it	monoalphabetic	248	21	1	238	96.0
la	monoalphabetic	248	21	1	216	87.1
de	monoalphabetic	248	21	1	241	97.2
it	homophonic	248	32	1	238	96.0
la	homophonic	248	32	1	38	15.3
de	homophonic	248	32	1	229	92.3
it	monoalphabetic	248	21	2	238	96.0
la	monoalphabetic	248	21	2	216	87.1
de	monoalphabetic	248	21	2	241	97.2
it	homophonic	248	32	2	223	89.9
la	homophonic	248	32	2	45	18.1
de	homophonic	248	32	2	206	83.1
it	monoalphabetic	248	21	3	219	88.3
la	monoalphabetic	248	21	3	28	11.3
de	monoalphabetic	248	21	3	241	97.2
it	homophonic	248	32	3	222	89.5
la	homophonic	248	32	3	33	13.3
de	homophonic	248	32	3	212	85.5
