line	pos	code	marks	source	reason
1	5	tee		split	A=Z B=tee C=+; C note: curved lead-in stroke into full crossing (both arms), on the line
1	8	g	dot	BC	A=_ B=g C=g; C note: two stacked/retraced loop-tail shapes, bold, like doubled 9
1	27	+		split	A=# B=+ C=f; C note: long crossbar stroke with hooked top, matches f exemplars
2	1	#		split	A=Z B=# C=S7; C note: 7-shape with double-cross mark directly above
2	1.5	S7	#	BC	A=MISSING B=S7 C=S7; C note: same crop as pos1 (duplicate), same glyph
2	5	wd		BC	A=g B=wd C=wd; C note: w-body joined to tall right stroke ending in loop, wd ligature
2	20	Z		BC	A=_ B=Z C=Z; C note: complex n+-like upper part flowing into swirl tail, matches Z's varied atlas forms
2	20.5	S7		split	A=MISSING B=S7 C=Z; C note: near-identical crop to pos20, same complex glyph
2	26	eps	5	BC	A=_ B=eps C=eps; C note: two stacked open bowls, open right, no closed loop
2	26.5	g	7	BC	A=MISSING B=g C=g; C note: 9/g loop-tail shape following the eps, left neighbor visible at edge
3	7	m		BC	A=_ B=m C=m; C note: three-hump cursive m, bold
3	7.5	S7		BC	A=MISSING B=S7 C=S7; C note: 7-shape below the m, distinct sign
3	13	v		BC	A=_ B=v C=v; C note: arc rising into hooked loop on right, matches v
3	19	o.		BC	A=_ B=o. C=o.; C note: ring with central dot; cursive y visible as right neighbor
4	22	S7		split	A=_ B=S7 C=g; C note: bold loop-tail (9-shape) right of a partial 7; center falls on the g
4	28	wd		BC	A=f B=wd C=wd; C note: w-body with tall joining stroke and loop tail, matches wd
4	29	y		BC	A=g B=y C=y; C note: cursive y with looped tail
5	2	]	o	BC	A=Z B=] C=]; C note: small ot/of mark above a box open to the left
5	15	o.		BC	A=_ B=o. C=o.; C note: clean ring with center dot
5	19	m	dot	BC	A=_ B=m C=m; C note: bold three-hump m
5	24	]	ot	BC	A=w B=] C=]; C note: box shape open to the left, no mark visible
5	26	Z		AC	A=Z B=_ C=Z; C note: hooked cursive stroke resembling a 2/Z form
6	20	g		split	A=nt B=g C=Z; C note: curvy hook-and-tail flourish above a partial loop; ambiguous among Z/S/rz shapes
7	15	m		BC	A=_ B=m C=m; C note: three-hump m above a 7-shape
7	15.5	S7		BC	A=MISSING B=S7 C=S7; C note: 7-shape below the m, same crop as pos15
7	17	w		BC	A=Z B=w C=w; C note: w with lead-in stroke, above a 7-shape and a loop
7	17.5	S7		BC	A=MISSING B=S7 C=S7; C note: 7-shape below the w, same crop as pos17
7	23	w		BC	A=_ B=w C=w; C note: w with lead-in stroke, left of a marked g
7	23.5	g	1	BC	A=MISSING B=g C=g; C note: 9-loop shape with a short stroke/mark above, right of the w
8	3	a		BC	A=_ B=a C=a; C note: bold cursive a
8	12	g	~	split	A=psi B=g C=y; C note: cursive y with looped tail
8	22	#		BC	A=_ B=# C=#; C note: tall double-barred cross standing on the line
8	22.5	o.		BC	A=MISSING B=o. C=o.; C note: ring with dot, right of the # sign
8	25	m		BC	A=_ B=m C=m; C note: bold three-hump m
9	3	#		split	A=Z B=# C=S7; C note: 7-shape with double-cross mark above
9	3.5	S7	#	BC	A=MISSING B=S7 C=S7; C note: same crop as pos3, same glyph
9	4	#		split	A=_ B=# C=e; C note: looped e (single bowl, loop at top) with double-cross mark above
9	4.5	e	#	BC	A=MISSING B=e C=e; C note: same crop as pos4, same glyph
9	12	o.		BC	A=_ B=o. C=o.; C note: ring with dot, left of a 7-shape
9	12.5	S7		BC	A=MISSING B=S7 C=S7; C note: 7-shape right of the o. sign
9	13	bh		BC	A=_ B=bh C=bh; C note: tall stem with small hooked loop at upper right, leftmost in a bh/w/S7/o. run
9	13.1	w		BC	A=MISSING B=w C=w; C note: w with lead-in stroke, second in the run
9	13.2	S7		BC	A=MISSING B=S7 C=S7; C note: 7-shape tail following the w, third in the run
