page	line	pos	code	syllable	conf
m0113	1	1	99	con	0.9
m0113	1	2	529	fi	0.4
m0113	1	3	737	deu	0.5
m0113	1	4	20	ci	0.7
m0113	1	5	428	ar	0.7
m0113	2	1	903	el	0.7
m0113	2	2	342	Rei	0.8
m0113	2	3	456	de	0.8
m0113	2	4	103	te	0.7
m0113	2	5	870	ja	0.7
m0113	3	1	1099	con	0.8
m0113	3	2	1124	Bri	0.2
m0113	3	3	981	dar	0.6
m0113	3	4	342	Rei	0.7
m0113	3	5	456	de	0.6
m0113	4	1	133	li	0.6
m0113	4	2	397	la	0.5
m0113	4	3	892	li	0.7
m0113	4	4	60	a	0.8
m0113	4	5	419	pa	0.8
m0113	4	6	617	ra	0.8
m0113	5	1	419	pa	0.8
m0113	5	2	135	dri	0.7
m0113	5	3	151	nho	0.7
m0113	5	4	25	do	0.7
m0113	5	5	204	prin	0.7
m0113	5	6	20	ci	0.7
m0113	6	1	1087	+	0.15
m0113	6	2	617	ra	0.7
m0113	6	3	419	pa	0.8
m0113	6	4	115	fol	0.3
m0113	6	5	402	ar	0.7
m0113	7	1	984	ca	0.8
m0113	7	2	988	ed	0.8
m0113	7	3	1068	cre	0.8
m0113	8	1	11	ou	0.5
m0113	8	2	204	prin	0.7
m0113	8	3	673	ce	0.6
m0113	8	4	206	?	0.1
m0113	8	5	708	que	0.6
m0113	9	1	103	te	0.7
m0113	9	2	988	es	0.7
m0113	9	3	1084	pa	0.7
m0113	9	4	617	ra	0.7
m0113	9	5	419	pa	0.7
m0113	10	1	115	fol	0.3
m0113	10	2	402	ar	0.7
m0113	10	3	980	ca	0.7
m0113	10	4	988	ed	0.7
m0113	10	5	1068	cre	0.7
m0113	10	6	374	ve	0.6
m0113	11	1	60	a	0.7
m0113	11	2	988	es	0.7
m0113	11	3	508	ke	0.6
m0113	11	4	243	zis	0.5
m0113	11	5	468	pei	0.5
m0113	11	6	110	to	0.4
m0113	12	1	1138	do	0.4
m0113	12	2	419	pai	0.4
m0113	12	3	449	?	0.2
m0113	12	4	550	?	0.2
m0113	12	5	1194	?	0.2
m0113	12	6	708	que	0.4
m0114	1	1	618	lou	0.8
m0114	1	2	323	biz	0.8
m0114	1	3	428	al	0.8
m0114	1	4	411	ge	0.6
m0114	1	5	742	ma	0.8
m0114	2	1	1032	con	0.8
m0114	2	2	836	?	0.3
m0114	2	3	407	das	0.7
m0114	2	4	638	in	0.5
m0114	2	5	310	man	0.8
m0114	3	1	12	as	0.7
m0114	3	2	25	gle	0.2
m0114	3	3	419	pa	0.8
m0114	3	4	619	pa	0.7
m0114	3	5	926	di	0.8
m0114	3	6	923	ga	0.8
m0114	4	1	1212	mo	0.7
m0114	4	2	1087	ne	0.4
m0114	4	3	550	lu	0.7
m0114	4	4	508	te	0.7
m0114	4	5	140	le	0.7
m0114	5	1	553	gua	0.3
m0114	5	2	1053	phu	0.4
m0114	5	3	?	?	0.1
m0114	5	4	20	ce	0.3
m0114	5	5	201	bri	0.4
