page	line	pos	code	syllable	conf
m0113	1	1	99	con	1
m0113	1	2	629	fi	1
m0113	1	3	737	den	1
m0113	1	4	20	ci	1
m0113	1	5	428	ar	1
m0113	2	1	903	el	1
m0113	2	2	342	Rei	1
m0113	2	3	456	de	1
m0113	2	4	103	se	1
m0113	2	5	870	ja	1
m0113	3	1	1099	con	1
m0113	3	2	1124	bi	0.3
m0113	3	3	981	dar	1
m0113	3	4	342	Rei	1
m0113	3	5	456	de	1
m0113	4	1	33	é	0.4
m0113	4	2	397	la	1
m0113	4	3	892	li	1
m0113	4	4	60	a	1
m0113	4	5	419	pa	1
m0113	4	6	617	ra	1
m0113	5	1	419	pa	1
m0113	5	2	135	dri	1
m0113	5	3	151	nho	1
m0113	5	4	25	do	1
m0113	5	5	204	prin	1
m0113	5	6	20	ci	1
m0113	6	1	1087	pe	0.7
m0113	6	2	617	ra	1
m0113	6	3	419	pa	1
m0113	6	4	115	tol	0.6
m0113	6	5	402	ar	1
m0113	7	1	984	ca	1
m0113	7	2	988	es	1
m0113	7	3	1068	cre	1
m0113	8	1	11	ou	1
m0113	8	2	204	prin	1
m0113	8	3	673	ce	1
m0113	8	4	206	?ai	0.4
m0113	8	5	708	que	1
m0113	9	1	103	se	1
m0113	9	2	988	es	1
m0113	9	3	1087	pe	0.7
m0113	9	4	617	ra	1
m0113	9	5	419	pa	1
m0113	10	1	115	tol	0.6
m0113	10	2	402	ar	1
m0113	10	3	980	ca	1
m0113	10	4	988	es	1
m0113	10	5	1068	cre	1
m0113	10	6	374	de	1
m0113	11	1	60	a	1
m0113	11	2	988	es	1
m0113	11	3	508	ke	0.6
m0113	11	4	243	reis	0.5
m0113	11	5	268	pei	0.6
m0113	11	6	110	to	1
m0113	12	1	1138	ao	1
m0113	12	2	419	pa	1
m0113	12	3	419	pa	0.7
m0113	12	4	550	lo	1
m0113	12	5	9194	go	0.6
m0113	12	6	708	que	1
m0114	1	1	618	sou	1
m0114	1	2	323	ber	1
m0114	1	3	428	al	1
m0114	1	4	2111	ge	1
m0114	1	5	742	ma	1
m0114	2	1	1032	con	1
m0114	2	2	836	?	0.4
m0114	2	3	407	das	1
m0114	2	4	538	in	1
m0114	2	5	310	mau	0.5
m0114	3	1	12	as	1
m0114	3	2	25	elo	0.6
m0114	3	3	419	pa	1
m0114	3	4	419	pa	1
m0114	3	5	926	di	1
m0114	3	6	923	ga	1
m0114	4	1	1212	mo	1
m0114	4	2	1087	pe	0.7
m0114	4	3	550	lo	1
m0114	4	4	508	te	0.6
m0114	4	5	140	lho	0.6
