page	line	idx	group	chunk	run_span
1	30	1	106	?	
1	30	2	120	?	
1	30	3	3	?	
1	30	4	22	?	
1	30	5	88	?	
1	30	6	150	?	
1	30	7	122	?	
1	30	8	4	?	
1	30	9	7	?	
1	30	10	66	?	
1	30	11	63	?	
1	30	12	89	?	
1	30	13	77	?	
1	30	14	129	?	
1	31	1	10	?	
1	31	2	80	?	
1	31	3	64	?	
1	31	4	44	?	
1	31	5	75	?	
1	31	6	7	?	
1	31	7	75	?	
1	31	8	27	?	
1	31	9	56	?	
1	31	10	15	?	
1	31	11	68	?	
1	31	12	86	?	
1	31	13	77	?	
1	31	14	80	?	
1	31	15	26	?	
1	31	16	55	?	
1	31	17	27	?	
1	31	18	00	?	
1	31	19	85	?	
1	31	20	1	?	
1	31	21	9	?	
1	32	1	126	?	
1	32	2	24	?	
1	32	3	29	?	
1	32	4	79	?	
1	32	5	88	?	
1	32	6	26	?	
1	32	7	51	?	
1	32	8	71	?	
1	32	9	86	?	
1	32	10	29	?	
1	32	11	329	?	
1	32	12	130	?	
1	32	13	121	?	
1	32	14	12	?	
1	32	15	2	?	
1	32	16	50	?	
1	32	17	88	?	
1	32	18	100	?	
1	33	1	25	?	
1	33	2	26	?	
1	33	3	80	?	
1	33	4	8	?	
2	15	1	70	?	
2	15	2	89	?	
2	15	3	13	?	
2	15	4	61	?	
2	15	5	82	?	
2	15	6	1	?	
2	15	7	122	?	
2	15	8	116	?	
2	15	9	3	?	
2	15	10	12	?	
2	15	11	7	?	
2	15	12	51	?	
2	15	13	13	?	
2	15	14	30	?	
2	15	15	33	?	
2	15	16	11	?	
2	15	17	43	?	
2	15	18	74	?	
2	15	19	26	?	
2	15	20	118	?	
2	16	1	6	?	
2	16	2	127	?	
2	16	3	22	?	
2	16	4	28	?	
2	16	5	8	?	
2	16	6	14	?	
2	16	7	29	?	
2	16	8	80	?	
2	16	9	13	?	
2	16	10	38	?	
2	16	11	19	?	
2	16	12	38	?	
2	16	13	64	?	
2	16	14	61	?	
2	16	15	1	?	
2	16	16	4	?	
2	16	17	130	?	
2	16	18	112	?	
2	16	19	127	?	
3	3	1	3	?	
3	3	2	124	?	
3	3	3	113	?	
3	3	4	155	?	
3	3	5	1	?	
3	3	6	9	?	
3	3	7	121	?	
3	3	8	130	?	
3	3	9	129	?	
3	3	10	43	?	
3	3	11	26	?	
3	3	12	2	?	
3	3	13	58	?	
3	3	14	12	?	
3	3	15	100	?	
3	4	1	42	?	
3	4	2	89	?	
3	4	3	80	?	
3	4	4	73	?	
3	4	5	86	?	
3	4	6	29	?	
3	4	7	78	?	
3	4	8	45	?	
3	4	9	18	?	
3	4	10	99	?	
3	4	11	3	?	
3	4	12	66	?	
3	4	13	28	?	
3	4	14	86	?	
3	4	15	10	?	
3	4	16	68	?	
3	4	17	29	?	
3	4	18	74	?	
3	4	19	20	?	
3	4	20	27	?	
3	4	21	88	?	
3	5	1	62	?	
3	5	2	44	?	
3	5	3	77	?	
3	5	4	1	?	
3	5	5	26	?	
3	5	6	99	?	
3	5	7	51	?	
3	5	8	88	?	
3	5	9	98	?	
3	5	10	121	?	
3	5	11	70	?	
3	5	12	86	?	
3	5	13	29	?	
3	5	14	4	?	
3	5	15	87	?	
3	5	16	58	?	
3	5	17	28	?	
3	5	18	9	?	
3	5	19	114	?	
3	5	20	128	?	
3	5	21	7	?	
3	6	1	80	?	
3	6	2	45	?	
3	6	3	58	?	
3	6	4	18	?	
3	6	5	26	?	
3	6	6	74	?	
3	6	7	29	?	
3	6	8	5	?	
3	6	9	44	?	
3	6	10	58	?	
3	6	11	83	?	
3	6	12	29	?	
3	6	13	59	?	
3	6	14	82	?	
3	6	15	45	?	
3	6	16	63	?	
3	6	17	60	?	
3	6	18	119	?	
3	6	19	27	?	
3	6	20	84	?	
3	6	21	6	?	
3	7	1	71	?	
3	7	2	87	?	
3	7	3	43	?	
3	7	4	52	?	
3	7	5	23	?	
3	7	6	27	?	
3	7	7	79	?	
3	7	8	42	?	
3	7	9	77	?	
3	7	10	29	?	
3	7	11	2	?	
3	7	12	115	?	
3	7	13	127	?	
3	7	14	23	?	
3	7	15	28	?	
3	7	16	4	?	
3	7	17	4	?	
3	7	18	128	?	
3	7	19	155	?	
3	7	20	7	?	
3	7	21	119	?	
3	7	22	130	?	
3	8	1	28	?	
3	8	2	79	?	
3	8	3	85	?	
3	8	4	107	?	
3	8	5	29	?	
3	8	6	81	?	
3	8	7	56	?	
3	8	8	57	?	
3	8	9	29	?	
3	8	10	77	?	
3	8	11	99	?	
3	8	12	28	?	
3	8	13	44	?	
3	8	14	52	?	
3	8	15	51	?	
3	8	16	28	?	
3	8	17	8	?	
3	8	18	109	?	
3	8	19	25	?	
3	8	20	29	?	
3	8	21	10	?	
3	9	1	86	?	
3	9	2	29	?	
3	9	3	62	?	
3	9	4	44	?	
3	9	5	74	?	
3	9	6	4	?	
3	9	7	109	?	
3	9	8	120	?	
3	16	6	125	?	
3	16	7	3	?	
3	16	8	10	?	
3	16	9	7	?	
3	16	10	130	?	
3	17	1	75	?	
3	17	2	12	?	
3	17	3	44	?	
3	17	4	80	?	
3	17	5	64	?	
3	17	6	61	?	
3	17	7	59	?	
3	17	8	11	?	
3	17	9	14	?	
3	17	10	52	?	
3	17	11	27	?	
3	17	12	120	?	
3	17	13	69	?	
3	17	14	77	?	
3	17	15	45	?	
3	17	16	81	?	
3	17	17	1	?	
3	17	18	28	?	
3	17	19	83	?	
3	17	20	70	?	
3	17	21	87	?	
3	17	22	26	?	
3	18	1	44	?	
3	18	2	29	?	
3	18	3	66	?	
3	18	4	64	?	
3	18	5	86	?	
3	18	6	75	?	
3	18	7	74	?	
3	18	8	68	?	
3	18	9	43	?	
3	18	10	80	?	
3	18	11	2	?	
3	18	12	13	?	
3	18	13	88	?	
3	18	14	64	?	
3	18	15	42	?	
3	18	16	75	?	
3	18	17	3	?	
3	18	18	21	?	
3	18	19	28	?	
3	18	20	74	?	
3	18	21	82	?	
3	19	1	10	?	
3	19	2	44	?	
3	19	3	60	?	
3	19	4	81	?	
3	19	5	84	?	
3	19	6	29	?	
3	19	7	77	?	
3	19	8	57	?	
3	19	9	29	?	
3	19	10	79	?	
3	19	11	22	?	
3	19	12	29	?	
3	19	13	69	?	
3	19	14	12	?	
3	19	15	101	?	
3	19	16	26	?	
3	19	17	57	?	
3	19	18	28	?	
3	19	19	60	?	
3	19	20	82	?	
3	20	1	7	?	
3	20	2	124	?	
3	20	3	129	?	
3	20	4	18	?	
3	20	5	63	?	
3	20	6	54	?	
3	20	7	55	?	
3	20	8	26	?	
3	20	9	24	?	
3	20	10	28	?	
3	20	11	4	?	
3	20	12	23	?	
3	20	13	26	?	
3	20	14	54	?	
3	20	15	98	?	
3	20	16	10	?	
3	20	17	88	?	
3	20	18	1	?	
3	20	19	29	?	
3	20	20	61	?	
3	21	1	25	?	
3	21	2	28	?	
3	21	3	55	?	
3	21	4	100	?	
3	21	5	6	?	
3	21	6	10	?	
3	21	7	59	?	
