code	count	old	new	gain
77	11	d	i	7.458
11	9	p	des	53.887
16	9	q	ere	11.996
3	8	n	les	20.019
123	7	l	NULL	59.486
7	7	o	on	10.524
87	7	f	l	15.181
112	6	l	les	12.094
51	6	y	i	23.757
58	6	z	u	73.696
13	5	p	l	18.503
70	5	b	s	30.063
117	4	m	u	19.854
127	4	NULL	qve	23.226
18	4	q	les	15.058
5	4	n	ent	10.939
66	4	b	p	14.086
91	4	g	ir	30.445
100	3	h	ev	21.995
109	3	k	ent	72.793
119	3	m	il	3.293
120	3	m	est	18.844
20	3	q	r	62.714
30	3	s	qve	13.977
36	3	u	les	6.452
53	3	y	iev	20.278
59	3	z	nt	20.521
94	3	g	ii	18.854
11	9	des	les	12.611
123	7	NULL	ovs	5.586
7	7	on	qve	9.212
117	4	u	est	3.156
130	4	NULL	les	10.369
119	3	il	tre	3.632
