plain_line	plain_raw	cipher_line	cipher_raw
66:1	Detractor	66:1	impostor et 43 14 20 23 17 42 20 13 23 ille
66:2	Burgundus	66:2	et fine confcientia 29 12 23. 41 12 51 43 us,
66:3	antidius Danod	66:3	17 51 20 46 42 46 12 21 43 12 51 13 43, im-
66:4		66:4	importunitate et garrulitate, in mundo ne=
66:5		66:5	mini fecundus, cum addicto fuo focio, 25 er=
66:6	perfido ac proditore	66:6	40 46 43 13 ac 25 23 13 42 46 20 13 23 14.
66:7	nobis et isti	66:7	+ Datis fub 202. 51 13 29 46 21 et 46 21=
66:8	patria	66:8	,, 20 46 afflicta 25 17 20 23 46 15 caufuit.
66:9	pia memorie	66:9	ac illum 25 46 15, m 14 m 13 23 46 15 de=
66:10	Defunctum Principem	66:10	40 12 51 42 20 21 m, 25 23 46 42 46=
66:11	Serbanum reduxit	66:11	25 14 m, 21 14 23 29 17 51 12 m 21 14=
66:12		66:12	43 12 19 46 20. quorum mendacijs et 43 14=
66:13	deceptionibus	66:13	42 14 25 20 46 13 51 46 29 us pulchris ver=
66:14	obuolutis credens	66:14	bis, 13 29 12 13 49 12 his 42 23 14 43 eas,
66:15	et confilia	66:15	et 42 13 51 21 46 49 46 17 omnium aliorum.
66:16	respiciens nos	66:16	23 14 21 25 17 eas, in grandes 51 13 21,
66:17	miferam Patriam	66:17	et istam 50 46 21 14 23 17 50 25 17 20 23 46=
66:18	intricauit difficul=	66:18	,, 17 50, 46 51 20 23 46 42 17 ?it 43 46 4?:
66:19	=tates intelligenchis?	66:19	40 46 42 12 49 20 17 tes. O si 46 51 20 e49.
66:20		66:20	,, 49 46 41 evehs?
