# leaf	view	x0	y0	scale	vy	vx	tag	form	value	key60	agree	note
264	L1	0	1420	0.816	150	170	λ	lambda, long left leg	la	λ=la	yes	La [seconde]
264	L1	0	1420	0.816	150	270	X+	x-cross with extra bars	se	X+=se	yes	[se]conde
264	L1	0	1420	0.816	150	360	∝	alpha / fish loop	co	∝=co	yes	se[co]nde
264	L1	0	1420	0.816	150	440	T	T	n	T=n	yes	seco[n]de
264	L1	0	1420	0.816	150	500	g	g	de	g=de	yes	secon[de]
264	L1	0	1420	0.816	150	640	X++	same barred x as X+	si	X++=si	yes	si; same form as X+ in this hand
264	L1	0	1420	0.816	150	740	v	v, open	u	v'=u (v=li)	partial	v[n]; tick of v' not seen
264	L1	0	1420	0.816	150	800	ß	beta	n	ß=n	yes	v[n]
264	L1	0	1420	0.816	150	930	ll4	ll with small 4	p	-	no	[p]rince; no key sign; maybe cursive v+ or 10
264	L1	0	1420	0.816	150	1100	3	3	ri	3=ri	yes	p[ri]nce
264	L1	0	1420	0.816	150	1150	⊥	inverted T	n	⊥=n	yes	pri[n]ce
264	L1	0	1420	0.816	150	1210	18	18	ce	18=ce	yes	prin[ce]
264	L1	0	1420	0.816	150	1300	φ	f-like with loop (reads as f)	ca	φ=ca (f=e)	form	[ca]tholique; this hand's φ looks like f
264	L1	0	1420	0.816	150	1370	e	e	to	e=to	yes	ca[to]lique
264	L1	0	1420	0.816	150	1480	σ	sigma / o with tail	li	-	no	cato[li]que; no key sign
264	L1	0	1420	0.816	150	1560	pi	pi with i	que	pi=que	yes	catoli[que]
264	L1	0	1420	0.816	150	1640	E	epsilon	re	E=re	yes	[re]connu
264	L1	0	1420	0.816	150	1700	∝	alpha	co	∝=co	yes	re[co]nnu
264	L1b	1500	1420	0.825	150	100	⊥	inverted T	n	⊥=n	yes	reco[n]nu
264	L1b	1500	1420	0.825	150	270	T	T	n	T=n	yes	recon[n]u
264	L1b	1500	1420	0.825	150	320	v	v	u	v'=u (v=li)	partial	reconn[u]
264	L2	0	1570	0.816	130	330	f	f	e	f=e	yes	[e]rreur
