line	signs_A	signs_B	agree	columns	share
05811_p5_L03	13	3	3	13	0.231
05811_p5_L04	21	21	17	21	0.810
05811_p5_L05	21	21	15	21	0.714
05811_p5_L06	22	22	18	22	0.818
05811_p5_L07	22	22	19	22	0.864
05811_p5_L08	21	19	17	21	0.810
05811_p5_L09	14	3	3	14	0.214
05811_p5_L10	23	23	18	23	0.783
05811_p5_L11	23	23	19	23	0.826
05811_p5_L12	24	24	19	24	0.792
05811_p5_L13	22	22	21	22	0.955
05811_p5_L14	23	23	20	23	0.870
05811_p5_L15	22	22	17	22	0.773
05811_p5_L16	21	22	17	22	0.773
05811_p5_L17	22	22	19	22	0.864
05811_p5_L18	22	22	18	23	0.783
05811_p5_L19	24	23	19	24	0.792
05811_p5_L20	24	24	20	24	0.833
05811_p5_L21	21	20	18	21	0.857
05811_p5_L22	19	20	14	20	0.700
05811_p5_L23	20	20	18	20	0.900
05811_p5_L24	21	21	18	21	0.857
05811_p5_L25	22	21	18	22	0.818
05811_p5_L26	21	21	18	21	0.857
05811_p5_L27	22	21	20	22	0.909
05811_p5_L28	21	21	17	21	0.810
05811_p5_L29	21	21	19	21	0.905
05811_p5_L30	24	24	21	24	0.875
05811_p5_L31	23	23	20	23	0.870
05811_p5_L32	23	24	20	24	0.833
05811_p5_L33	23	23	19	23	0.826
05811_p5_L34	21	21	19	21	0.905
05811_p5_L35	20	20	18	20	0.900
05811_p5_L36	19	16	13	19	0.684
