id	kind	cluster	dist
f54r_01_001	sign	9	7.913
f54r_01_002	sign	11	6.332
f54r_01_003	sign	56	7.107
f54r_01_004	sign	46	6.361
f54r_01_005	sign	32	4.575
f54r_01_006	sign	41	4.887
f54r_01_007	sign	34	6.645
f54r_01_008	sign	6	5.583
f54r_01_009	sign	16	6.989
f54r_01_010	sign	22	6.521
f54r_01_011	sign	53	6.079
f54r_01_012	sign	55	6.200
f54r_01_013	sign	52.0	4.408
f54r_01_014	sign	0	4.536
f54r_01_015	sign	28	6.359
f54r_01_016	sign	52.2	3.211
f54r_01_017	sign	32	5.419
f54r_01_018	sign	55	5.133
f54r_01_019	sign	52.0	5.483
f54r_01_020	sign	0	2.239
f54r_01_021	sign	52.1	4.789
f54r_01_022	sign	63	4.529
f54r_01_023	sign	62	3.030
f54r_01_024	sign	23	7.758
f54r_01_025	sign	12	8.657
f54r_01_026	sign	52.0	4.184
f54r_02_001	sign	28	4.009
f54r_02_002	sign	20	4.300
f54r_02_003	sign	2	3.934
f54r_02_004	sign	17	2.450
f54r_02_005	sign	1	5.398
f54r_02_006	sign	31	5.017
f54r_02_007	sign	20	3.389
f54r_02_008	sign	54	6.277
f54r_02_009	sign	8	4.844
f54r_02_010	sign	6	4.269
f54r_02_011	sign	47	3.810
f54r_02_012	sign	19	3.837
f54r_02_013	sign	20	4.401
f54r_02_014	sign	22	5.822
f54r_02_015	sign	49.1	5.959
f54r_02_016	sign	12	5.715
f54r_02_017	sign	24	4.250
f54r_02_018	sign	44	5.898
f54r_02_019	sign	0	3.007
f54r_02_020	sign	47	3.574
f54r_02_021	sign	48	4.519
f54r_02_022	sign	47	3.398
f54r_02_023	sign	62	3.262
f54r_02_024	sign	19	3.798
f54r_02_025	sign	51	4.132
f54r_02_026	sign	0	2.662
f54r_02_027	sign	59	3.324
f54r_02_028	sign	11	5.540
f54r_03_001	sign	0	4.692
f54r_03_002	sign	24	4.384
f54r_03_003	sign	53	3.923
f54r_03_004	sign	24	4.631
f54r_03_005	sign	8	4.576
f54r_03_006	sign	4	5.773
f54r_03_007	sign	33	5.437
f54r_03_008	sign	7	3.439
f54r_03_009	sign	33	4.274
f54r_03_010	sign	54	7.237
f54r_03_011	sign	16	8.997
f54r_03_012	sign	42	8.289
f54r_03_013	sign	20	2.502
f54r_03_014	sign	10	7.492
f54r_03_015	sign	45.0	4.645
f54r_03_016	sign	4	6.045
f54r_03_017	sign	11	5.371
f54r_03_018	sign	11	5.555
f54r_03_019	sign	35	6.845
f54r_03_020	sign	38	4.889
f54r_03_021	sign	60	7.592
f54r_03_022	sign	18	7.030
f54r_03_023	sign	57	3.236
f54r_03_024	sign	16	7.234
f54r_03_025	sign	60	5.068
f54r_03_026	sign	16	8.718
f54r_03_027	sign	57	3.406
f54r_03_028	sign	61	5.801
f54r_03_029	sign	40	5.551
f54r_03_030	sign	22	5.823
f54r_03_031	sign	44	5.396
f54r_04_001	sign	0	4.718
f54r_04_002	sign	7	4.952
f54r_04_003	sign	62	3.898
f54r_04_004	sign	44	4.699
f54r_04_005	sign	24	4.937
f54r_04_006	sign	20	2.749
f54r_04_007	sign	5	4.627
f54r_04_008	sign	8	4.109
f54r_04_009	sign	3.0	4.506
f54r_04_010	sign	13	4.436
f54r_04_011	sign	55	5.165
f54r_04_012	sign	0	1.890
f54r_04_013	sign	17	3.829
f54r_04_014	sign	33	5.907
f54r_04_015	sign	3.0	5.856
f54r_04_016	sign	5	3.969
f54r_04_017	sign	53	6.185
f54r_04_018	sign	0	1.749
f54r_04_019	sign	47	3.667
f54r_04_020	sign	2	3.616
f54r_04_021	sign	17	4.546
f54r_04_022	sign	2	4.421
f54r_04_023	sign	6	3.728
f54r_04_024	sign	13	4.067
f54r_04_025	sign	4	3.671
f54r_04_026	sign	17	3.158
f54r_05_001	sign	13	3.262
f54r_05_002	sign	24	4.461
f54r_05_003	sign	47	3.596
f54r_05_004	sign	10	6.217
f54r_05_005	sign	24	4.250
f54r_05_006	sign	29	6.429
f54r_05_007	sign	4	4.194
f54r_05_008	sign	17	2.671
f54r_05_009	sign	0	3.799
f54r_05_010	sign	10	6.488
f54r_05_011	sign	36	4.232
f54r_05_012	sign	43	6.294
f54r_05_013	sign	45.0	2.675
f54r_05_014	sign	41	3.651
f54r_05_015	sign	58	4.634
f54r_05_016	sign	58	4.222
f54r_05_017	sign	44	6.258
f54r_05_018	sign	5	5.098
f54r_05_019	sign	44	5.673
f54r_05_020	sign	57	2.771
f54r_05_021	sign	56	5.711
f54r_05_022	sign	3.1	6.252
f54r_05_023	sign	23	6.752
f54r_05_024	sign	3.1	4.742
f54r_05_025	sign	57	4.091
f54r_05_026	sign	3.0	7.522
f54r_06_001	sign	45.1	3.257
f54r_06_002	sign	5	6.669
f54r_06_003	sign	53	6.519
f54r_06_004	sign	31	6.415
f54r_06_005	sign	33	3.700
f54r_06_006	sign	52.0	3.411
f54r_06_007	sign	47	4.135
f54r_06_008	sign	33	5.571
f54r_06_009	sign	5	6.631
f54r_06_010	sign	0	3.603
f54r_06_011	sign	24	5.215
f54r_06_012	sign	44	5.344
f54r_06_013	sign	24	4.849
f54r_06_014	sign	36	4.250
f54r_06_015	sign	46	4.376
f54r_06_016	sign	17	3.388
f54r_06_017	sign	13	3.739
f54r_06_018	sign	2	6.456
f54r_06_019	sign	29	7.582
f54r_06_020	sign	62	3.589
f54r_06_021	sign	28	3.072
f54r_06_022	sign	10	7.288
f54r_06_023	sign	31	4.751
