mid	page	line	x	y	w	h	rh	rw	sid
f54r_01_m0001	f54r	1	883	0	36	63	0.741	0.424	f54r_01_005
f54r_01_m0002	f54r	1	2693	0	29	41	0.482	0.341	f54r_01_023
f54r_01_m0003	f54r	1	2774	0	35	50	0.588	0.412	f54r_01_024
f54r_01_m0004	f54r	1	2481	4	91	62	0.729	1.071	f54r_01_021
f54r_01_m0005	f54r	1	316	19	62	62	0.729	0.729	f54r_01_001
f54r_02_m0006	f54r	2	2896	217	65	58	0.682	0.765	f54r_02_028
f54r_02_m0007	f54r	2	2388	226	68	39	0.459	0.800	f54r_02_023
f54r_02_m0008	f54r	2	1132	229	21	22	0.259	0.247	f54r_02_010
f54r_02_m0009	f54r	2	2229	246	77	37	0.435	0.906	f54r_02_022
f54r_02_m0010	f54r	2	1255	251	84	64	0.753	0.988	f54r_02_012
f54r_02_m0011	f54r	2	1129	252	69	36	0.424	0.812	f54r_02_011
f54r_02_m0012	f54r	2	2119	253	77	58	0.682	0.906	f54r_02_020
f54r_02_m0013	f54r	2	2496	253	72	56	0.659	0.847	f54r_02_024
f54r_02_m0014	f54r	2	1868	255	41	39	0.459	0.482	f54r_02_017
f54r_02_m0015	f54r	2	522	259	69	34	0.400	0.812	f54r_02_003
f54r_02_m0016	f54r	2	395	260	59	34	0.400	0.694	f54r_02_002
f54r_02_m0017	f54r	2	890	263	74	37	0.435	0.871	f54r_02_007
f54r_02_m0018	f54r	2	1369	262	75	41	0.482	0.882	f54r_02_013
f54r_02_m0019	f54r	2	2036	270	17	15	0.176	0.200	f54r_02_019
f54r_02_m0020	f54r	2	2012	272	18	17	0.200	0.212	f54r_02_018
f54r_03_m0021	f54r	3	2333	428	101	64	0.753	1.188	f54r_03_022
f54r_03_m0022	f54r	3	586	437	22	18	0.212	0.259	f54r_03_004
f54r_03_m0023	f54r	3	1181	440	66	62	0.729	0.776	f54r_03_012
f54r_03_m0024	f54r	3	613	444	18	15	0.176	0.212	f54r_03_005
f54r_03_m0025	f54r	3	846	452	15	13	0.153	0.176	f54r_03_007
f54r_03_m0026	f54r	3	1960	457	50	62	0.729	0.588	f54r_03_019
