record_id	control	signature	legajo	folios	date	sender	recipient	title	search_term	priority	note
5195	RAH20090050488	9/7666	23	f), ff.432v-433	1820-10-28	Morillo	Herrera	Morillo a Herrera en carta particular sobre la fuerza que tiene el enemigo; importancia que tiene el mantener buenos espias; debe numerar los pliegos que envie desde Guanare; clave para asuntos reservados; deserciones en el Batallon del Principe. Barquisimeto, 28 de octubre de 1820.	Morillo clave	1 (fetched, no cipher)	FETCHED 2/2 images: plaintext only, no ciphertext, no key table. f.433 shows a new uncatalogued entry begins (Nuevo Cano, 12 Nov 1820) referencing "la 1a en cifra" for Herrera letters of the 7th/8th -- corroborates item 3 was ciphertext but this replys own text (not fully captured) is not shown ciphered
4332	RAH20090041851	9/7663	20	e), ff.623-625v	1819-04-28	Aldama	Morillo	Aldama a Morillo sobre el envio de la correspondencia anunciada por medio de Sebastian Mieryteran; su proxima salida hacia los Valles; marcha de Ramos a San Fernando con mas de doscientos hombres; adjunta una nota con la clave que utilizara en caso necesario. Calabozo, 28 de abril de 1819.	Morillo clave	2 (fetched, key found, no cipher)	FETCHED 6/6 images: a real key table (f.624, headed "Aldama.") but a vowel-tally-glyph design, not numerals; letter says Aldama built this key himself and encloses it for FUTURE use. No ciphertext anywhere in the record.
4537	RAH20090043909	9/7664	21	f), ff.280v-281	1819-07-19	Morillo	Pereira	Morillo a Pereira indicandole la clave que debe utilizar en la correspondencia, clave que tambien debe pasar al Comandante Eugenio Arana. Calabozo, 19 de julio de 1819.	Morillo clave	3 (fetched, no cipher)	FETCHED 3/3 images: plaintext register copybook, names "la adjunta clave" repeatedly but the table is never in the copybook (same pattern as item 2). No ciphertext.
1759	RAH20090016125	9/7656	13	e), f.524-524v	1817-11-19	Morillo	Ministro de la Guerra	Morillo al Ministro de la Guerra participandole el recibo de la Real Orden reservada de 28 de junio ultimo a la que dara el mas exacto cumplimiento y propone en su consecuencia una clave de cifras para comunicar los asuntos reservados. Calabozo, 19 de noviembre de 1817.	Morillo clave	4 (fetch FAILED)	Both images (10080060/61) returned a Java/Apache server-error page mislabelled content-type image/jpeg (Tomcat stack trace, not a real image) on 2 attempts (1 retry after a 6s pause, per the good-citizen one-retry limit); not pursued further -- lowest priority candidate anyway (a second copy of item 2s own already-known letter)
3893	RAH20090037465	9/7662	19	b), ff.429-430	1819-09-19	Morales	Morillo	Morales a Morillo comunicandole el recibo de la clave de la correspondencia con Montero; 3er Batallon del Rey; necesidad de armamento; noticias sobre Arroyo y Sicilia, lo mismo que de Calzada; preocupacion por si las cartas han sido abiertas. Guardatinajas, 19 de septiembre de 1819.	Morillo clave	5	Acknowledges receipt of a key for correspondence with Montero -- not fetched this pass (past the 4-candidate cap), plaintext ack more likely than ciphertext
3886	RAH20090037397	9/7662	19	b), ff.419-419v	1819-09-10	Morales	Morillo	Morales a Morillo sobre los oficios enviados por Montero, la clave utilizada y su desconocimiento de la misma; regreso de Arroyo a Guadarrama. Guardatinajas, 10 de septiembre de 1819.	Morillo clave	6	Discusses unfamiliarity with a key -- not fetched this pass, plaintext discussion more likely than ciphertext
NOT_FETCHED	RAH20090026988	unknown	unknown	unknown	unknown	Manuel Carmona	Morillo	Manuel Carmona a Morillo sobre lo comunicado por el Comandante Militar de San Fernando...no comunica el estado de la ciudad y su guarnicion porque carece de clave	Morillo clave	-	EXCLUDED: title says he lacks ("carece de") the key -- cannot carry ciphertext keyed to it
NOT_FETCHED	RAH20100000069	unknown	unknown	unknown	unknown	Manuel Carmona	Morillo	Manuel Carmona a Morillo sobre diversos asuntos...falta de clave para la correspondencia	Morillo clave	-	EXCLUDED: title says lacking ("falta de") the key -- same reason as above
NOT_FETCHED	RAH20090047891	unknown	unknown	unknown	unknown	Barreiro	Morillo	Barreiro a Morillo sobre la aproximacion enemiga...lugares clave: Chita, Paya, Zapatosa	clave	-	EXCLUDED false positive: "lugares clave" = key/strategic locations (idiom), not a cipher key
1957	RAH20090018105 / RAH20090016125-dup	9/7657	14	155v-156v	1817-11-19	Morillo	Ministro de la Guerra	[item 2, already on file] Morillo al Ministro de la Guerra... propone una clave en cifra	cifra / clave	already-known	Item 2, already fetched (NX-MOR): key table not on the 3 images, letter text only
5186	5186	9/7666	23	420-420v	1820-11-07	Herrera	Morillo	[item 3, already on file, key_5186.tsv derived]	cifrado	already-known	Item 3, the target key source
2242	RAH2009...	9/7658	15	32-34	1817-07-15	Enrile	Morillo	[item 1, already found-solved, plaintext printed]	cifrada	already-known	Item 1
1306	RAH20090011595	9/7654	11	a), ff.150-152	1818-10-28	Eguia (Ministro de la Guerra)	Morillo	El Ministro Eguia a Morillo contestando a su despacho de 22 de julio sobre el precario estado del Ejercito de mar y tierra. RAH note: cifrado casi todo	cifrado	0 (fetched)	FETCHED: real numeral ciphertext (f.150-150v) AND its own period decipherment (f.151, headed Adjunto al doc.to 754. Descifrado). Numeral range up to 120+ with heavy multiples of ten (10/40/50/60/100/120) -- design incompatible with key_5186 (max code 56, no tens-pattern). Already published, Rodriguez Villa t.III doc.754 pp.693-4 per RAH's own catalogue note.
1487	RAH20090013407	9/7655	12	a), ff.158-161v	1819-12-04	Alos (Ministro de la Guerra)	Morillo	El Ministro de la Guerra Alos a Morillo trasladandole copia del despacho remitido al Virrey del Peru...Despacho muy reservado y cifrado	cifrado	0 (fetched f.158 only)	FETCHED (1 of 8 images, pattern-check only): same Ministerio de Guerra office cipher as 1306 (identical tens-pattern, same square/+ auxiliary signs), partial cipher (names/places only). Same design mismatch with key_5186. Already published, Rodriguez Villa t.IV doc.814.
