identifier	title	year	why
collectionofstat01thur	A collection of the state papers of John Thurloe, vol. I	1742	control: RETRO-2026-09-23.md section 4A probe (Thurloe vol.1, 111 clusters, known cipher at line 43962)
correspondancein00henr	Correspondance inedite de Henri IV avec Maurice-le-Savant, landgrave de Hesse (Rommel, 1840)	1840	control: Rommel 1840, printed cipher passages per cyphersolver hesse1603/NOTES.md
collectionofstat02thur	A collection of the state papers of John Thurloe, vol. 2	1742	named in brief: Thurloe State Papers vols 1-7
collectionofstat03thur	A collection of the state papers of John Thurloe, vol. 3	1742	named in brief: Thurloe State Papers vols 1-7
collectionofstat04thur	A collection of the state papers of John Thurloe, vol. 4	1742	named in brief: Thurloe State Papers vols 1-7
collectionofstat05thur	A collection of the state papers of John Thurloe, vol. 5	1742	named in brief: Thurloe State Papers vols 1-7
collectionofstat06thur	A collection of the state papers of John Thurloe, vol. 6	1742	named in brief: Thurloe State Papers vols 1-7
collectionofstat07thur	A collection of the state papers of John Thurloe, vol. 7	1742	named in brief: Thurloe State Papers vols 1-7
calendarofclaren01bodluoft	Calendar of the Clarendon State Papers, vol. I	1872	named in brief: Clarendon State Papers
calendarofclaren02bodluoft	Calendar of the Clarendon State Papers, vol. II	1872	named in brief: Clarendon State Papers
calendarofclaren03bodluoft	Calendar of the Clarendon State Papers, vol. III	1872	named in brief: Clarendon State Papers
calendarofclaren04bodluoft	Calendar of the Clarendon State Papers, vol. IV	1872	named in brief: Clarendon State Papers
calendarofclaren05bodl	Calendar of the Clarendon State Papers, vol. V	1872	named in brief: Clarendon State Papers
10622705bsb	State Papers Collected by Edward, Earl of Clarendon (1773 ed.)	1872	named in brief: Clarendon State Papers
cabalasivescrini00lond	Cabala; sive, Scrinia sacra. Mysteries of state and government	1663	named in brief: Cabala
cabalamysterieso00bede	Cabala, mysteries of state	1654	named in brief: Cabala
cabalamysterieso00cove	Cabala, mysteries of state	1654	named in brief: Cabala
cabalamysterieso00nobl	Cabala; mysteries of state	1654	named in brief: Cabala
princescabalaorm00jame	The prince's cabala; or, Mysteries of state	1715	named in brief: Cabala
bim_eighteenth-century_memorials-of-affairs-of-_sawyer-edmund_1725_1	Memorials of Affairs of State (Winwood), vol. I	1725	named in brief: Winwood Memorials
bim_eighteenth-century_memorials-of-affairs-of-_sawyer-edmund_1725_2	Memorials of Affairs of State (Winwood), vol. II	1725	named in brief: Winwood Memorials
bim_eighteenth-century_memorials-of-affairs-of-_sawyer-edmund_1725_3	Memorials of Affairs of State (Winwood), vol. III	1725	named in brief: Winwood Memorials
recueildeslettre01henr	Recueil des lettres missives de Henri IV, vol. 01	1843	named in brief: Lettres missives de Henri IV
recueildeslettr02henr	Recueil des lettres missives de Henri IV, vol. 02	1843	named in brief: Lettres missives de Henri IV
recueildeslettre03henr	Recueil des lettres missives de Henri IV, vol. 03	1843	named in brief: Lettres missives de Henri IV
recueildeslettre04henr	Recueil des lettres missives de Henri IV, vol. 04	1843	named in brief: Lettres missives de Henri IV
recueildeslettre05henr	Recueil des lettres missives de Henri IV, vol. 05	1843	named in brief: Lettres missives de Henri IV
