row	identifier	ocr_lines	printed_page	sender	recipient	date	category	cipher_system	prior_work	notes
P2	collectionofstat02thur	46987	368	General Fleetwood	secretary Thurloe	not read (opening excerpt only)	b	unidentified	none found (cryptiana, cyphersolver, unsolved-ciphers grepped for "Fleetwood": no hit)	MS Vol. xvii; cipher tokens embedded in otherwise-clear prose, no decipherment on page
P3	collectionofstat02thur	48000	402	Mr. Bradshaw, resident at Hamburgh	secretary Thurloe	not read (opening excerpt only)	b	unidentified	none found ("Bradshaw" grepped, no hit)	MS Vol. xvii
P4	collectionofstat03thur	15491-15531	56	Mr. W. Prideaux	secretary Thurloe	not read (opening excerpt only)	b	unidentified	none found ("Prideaux" grepped, no hit)	MS Vol. xxiv; re: trade via Riga/Russia company
P5	collectionofstat03thur	22892-22943	273	Major Creed	secretary Thurloe	not read (opening excerpt only)	b	unidentified	none found ("Creed" grepped, only unrelated hit in napoleon2.htm)	MS Vol. xxi?; re: forces raised in Worcestershire/Gloucestershire; same letter as P6
P6	collectionofstat03thur	23015-23029	~275	Major Creed	secretary Thurloe	not read	b	unidentified	as P5	second cipher cluster of the same Creed letter (no new heading between P5 and P6)
P7	collectionofstat03thur	23241-23340	277	Mr. Bradshaw, resident at Hamburgh (2nd letter)	secretary Thurloe	A.D. 1654 (margin)	b	unidentified	none found	longest vol.3 candidate, ~200 OCR lines; distinct letter from P3 (different page/date)
P8	collectionofstat03thur	45234-45272	289	Lord chief baron Steele	secretary Thurloe	not read (opening excerpt only)	b	unidentified	none found ("Steele" grepped, no hit)	MS Vol. xxvii; re: death of "mr. Southerne"
P9	collectionofstat03thur	51605	~611	General Blake	secretary Thurloe	14 June [1655]	b	Blake's cipher (numerals ~1-120, some 3-digit)	Tomokiyo cryptiana/web/thurloe.htm "General Blake (1655)" section reconstructs this correspondent's cipher (worked example there: "26 33 39 24 36 31 24 32 38" = "gouerment"); this specific letter/date not named on that page, but same cipher family	West Indies/Caribbean fleet report ("...to America...gives opportunity...sent your highness an account of our affaires by capt. Peck in the Amity")
P10	collectionofstat03thur	52310	~615	Dr. Ralph Cudworth	secretary Thurloe	not read (opening excerpt only)	b	unidentified	none found ("Cudworth" grepped, no hit)	page marker OCR-garbled ("8cc. 6i^"), read as ~615
P11	collectionofstat05thur	5730	67	General Montagu	secretary Thurloe	20 April 1656 (aboard fleet off Cadiz)	b	Montagu's cipher, E=18/42/56/93 THE=407	Tomokiyo cryptiana/web/thurloe.htm "Edward Montagu (Mountagu)..." section: full key reconstruction published there; confirmed directly -- "407" recurs at every "the" in this passage's plaintext/cipher alignment	MS Vol. xxxviii; NOT identical to any of the 4 catalogued STUCK Thurloe items (TSP i.435, v.78, v.267, v.337), which are all in vol.1/vol.5 and use different, smaller ciphers; same letter as P12/P13
P12	collectionofstat05thur	5874	~68	General Montagu	secretary Thurloe	20 April 1656	b	as P11	as P11	second cipher cluster of the same Montagu letter as P11
P13	collectionofstat05thur	5962-5975	~68-69	General Montagu	secretary Thurloe	20 April 1656	b	as P11	as P11	third cipher cluster of the same Montagu letter as P11; not the catalogued items
P14	collectionofstat05thur	8882	101	The Protector [Cromwell]	Blake and Montagu, generals at sea	9 June 1656	b	Montagu's cipher (same as P11-13)	Tomokiyo names this EXACT letter by page: "Cromwell wrote to Blake and Montague (9 June 1656, Thurloe State Papers, p.101)" using the reconstructed Montagu cipher; also DECODE f.90-91 (R4885) per thurloe.htm	Heading correction: an earlier pass mis-attributed this line to the preceding Lockhart letter (which ends just above it); the letter actually enclosing this cipher is "The protector to Blake and Mountagu, generals at sea", not Lockhart
P15	collectionofstat05thur	35705	~420-421	General Mountagu	secretary Thurloe	16 Sept 1656 (aboard the Naseby)	b	Montagu's cipher (same family, not individually verified for THE=407 in this passage)	same reconstructed cipher system as P11-14 (Tomokiyo); this specific date not named on that page	MS Vol. xli p.474; not the catalogued items
