identifier	line_start	line_end	n_clusters_merged	total_numerals	max_repeat_rate	interlinear	interlinear_checked	interlinear_matches	context
calendarofstuart01grea	30548	30549	1	15	0.33	no	1	0	and  would   have    come   here   this    instant,  but  for  the /  / b     a    n  hers / difficidtys  of  the  43.  96.  28.  29.  55.  11.  69.  Agincourt  {the / money)  and  his  family  mil  come  post,  but  for  want  of  post /  / f    o     u    u  r /  / horses  will  be  some  weeks  a  coming.    89.  52.  13.  13.  11. / h    u    n    d    r    e    d    t    h     o     us     a     n  d / 61.  13.  28.  12.  11.  55.  12.  37.  61.  52.  13.  69.  96.  28.  12. /  / c     r   
calendarofstuart01greauoft	29922	29923	1	15	0.33	no	2	0	mont  {King  of  Spain).  Agincouvt  {money)  is  gvanted, / and    would    have     come    here    this     instant,    but  for   the /  / b      a     n      k      e      v     s / difficultys  of  the   43.  96.  28.  29.  55.  11.  69.  Agincourt  {the / money)  and  his  family  will  come  post,  but  for  want  of  post /  / f     0      u     u     r / horses  will  be  some  weeks  a  coming.     89.  52.  13.  13.  11. / h     u     n     d     r     e      d     t      h      o   
calendarofstuart01greauoft	73819	73821	1	37	0.57	no	2	0	here  for  Mr.  Le  Vasseur  (James),  though  I  am  persuaded  Mr. / Alin  (King  of  Spain)  is  a  very  sincere  friend  and  well  wisher  of / his,  and  would  do  handsomely  by  him,  if  well  seconded.  Mr.  de / Janson  (Alberoni)  could  do  a  great  deal  towards  it,  but  I  very / much  apprehend  he  is  biassed  another  way,  for  the  reasons  in / my  former  letters,  which  are  grounded  on  experience  and  the / general  opinion  of  all  knowing  people  here.  It  
calendarofstuart01greauoft	85879	85882	1	46	0.41	no	4	0	he'll  not  leave    Sims   (France)  unless   it   be   to   go   to  Nealan / (Holland)  Whitford  (King  of  Sweden)  or  Sanders  (Flanders). /  / 3.  Does  not  the  words  prevail  with  your  friend  to / agree     bring     something      of     doubt     and     is      stumbling  ? /  / mum     t(p)     1      e       s / These  figures  are  also  added  93,   89,   17,   86,   71,   32,    65  = /  / lawsa       bo       utmi       nes / 10,    50,    67,    81    72,    48,    18,  
calendarofstuart02grea	19064	19068	1	82	0.78	no	4	0	his  good  will  is  doubted  of,  but  to  the  contrary  he  should  be / made  believe  that  Mr.  Le  Vasseur's  only  reliance  is  on  his  good / offices,  unless  he  has  disabused  him  by  his  answer.  The  general / notion  of  him  here  is  that  he  has  given  himself  up  entirely  to / Mr.  Heron  (Hanover)  and  Mr.  Dumont  (the  English  ministry), / and  all  appearances  seem  to  confirm  it.  I  should  be  glad  to  know / if  you  have  any  reason  to  believe  the  
calendarofstuart02grea	20269	20271	1	36	0.56	no	2	0	here  for  Mr.  Le  Vasseur  (James),  though  I  am  persuaded  Mr. / Alin  (King  of  Spain)  is  a  very  sincere  friend  and  well  wisher  of / his,  and  would  do  handsomely  by  him,  if  well  seconded.  Mr.  de / Janson  (Alberoni)  could  do  a  great  deal  towards  it,  but  I  very / much  apprehend  he  is  biassed  another  way,  for  the  reasons  in / my  former  letters,  which  are  grounded  on  experience  and  the / general  opinion  of  all  knowing  people  here.  It  
calendarofstuart02grea	32509	32512	1	50	0.42	no	4	0	he'll  not  leave  Sims  (France)  unless  it  be  to  go  to  Nealan / (Holland)  Whitford  (King  of  Sweden)  or  Sanders  (Flanders). /  / 3.  Does  not  the  words  prevail  with  your  friend  to / agree    bring    something     of     doubt    and     is     stumbling  ? /  / mum    t(p)    1     e  s / These  figures  are  also  added  93,  89,  17,  86,  71,  32,  65  = /  / lawsaboutmines / 10,   50,   67,  81   72,   48,   18,   89,   64   17,   37,   20,  32,  65. / Delphos       D 
rikskanslerenax00akadgoog	3054	3058	1	66	0.47	no	1	0	illis  de  arcta  coniunctione  agerct;  sccundo  promisisse  1,000  equites / et  4,000  pedites  aut  etiam  hoc  amplius  in  usum  Confoederatorum ; / tertio  egisse  cum  Duce  Saxoniae  Winariensi,  qui  tum  forte  per / Daniam  huc  contenderat,  ut  is  equitum  conscriptionem  in  se  susci- / peret.     Ceterum    refert    legatus  Gallicus  militis  conscriptioni  hoc /  / ^)  Konungens  bref  finnas  i  Riksarklyet,  HoUandica,  Till  Residenten  Rnt- / gersios  från  Eongl.  M:t  
rikskanslerenax00akadgoog	18421	18754	9	994	0.78	no	7	1	nostro  commodiorem  judicatam. /  /  / • /  /  / ^)  Se  ofvaD  K:o  149  med  anmärkningAr. /  / *)   Orden  inom  asterisker  här  och  i  det  följande  äro  i  originalet  skrlfna / med  chiffer.     Dessa  äro:  Scipionl  Afrlcaoo.  —  ')  20,  17,  29,  18,  2,  21,  15,  23; / 28,  10;     Snrdiniara;     46.  18,  19,  88,  40,  69,  29,  48,  82.  —  *)  11,  48,  41,  14,  47, / 81,  74.  —   *)  8,  88,  76,  6,  16,  42,  51,  98,  107.  —  •)  80,  8.  23,  29,  10,  21,   15; / 76
rikskanslerenax00palagoog	9544	9563	1	330	0.57	yes	1	1	ten  raagazinfrucht  gehalten  werden  mogen*18). /  / Welcher  gestalt  ich  sonsten  gedacht,  wann  der  feindt  sich / obangedeuter  mässen  *verstärcken  undt  gar  zu  considerable  sich / machen*13)  sol  te,  *wo  die  armee  gegen  dem  winter*14)  meines  be- / dunckens  *am  bequembsten  ein  posto  fassen  könte*15),  dass  wlirdt / E.  E.  auss  meinem  an  Ihr  Kon.  May:t  abgehendem  schreiben  zu / ▼ernehmen  habenf). /  /  / ♦*)  251.  178.  81.  99.  46.  74.  2023.  17.  100.
