identifier	title	year	why
lettresdecatheri01cathuoft	Lettres de Catherine de Médicis, publiées par Hector de La Ferrière	1880	named in round-2 brief: Lettres de Catherine de Medicis (Baguenault de Puchesse ed.)
lettresdecatheri04cathuoft	Lettres de Catherine de Médicis, publiées par Hector de La Ferrière	1880	named in round-2 brief: Lettres de Catherine de Medicis (Baguenault de Puchesse ed.)
lettresdecatheri10cathuoft	Lettres de Catherine de Médicis, publiées par Hector de La Ferrière	1880	named in round-2 brief: Lettres de Catherine de Medicis (Baguenault de Puchesse ed.)
lettresdecatheri02cathuoft	Lettres de Catherine de Médicis, publiées par Hector de La Ferrière	1880	named in round-2 brief: Lettres de Catherine de Medicis (Baguenault de Puchesse ed.)
lettresdecatheri09cathuoft	Lettres de Catherine de Médicis, publiées par Hector de La Ferrière	1880	named in round-2 brief: Lettres de Catherine de Medicis (Baguenault de Puchesse ed.)
lettresdecatheri08cathuoft	Lettres de Catherine de Médicis, publiées par Hector de La Ferrière	1880	named in round-2 brief: Lettres de Catherine de Medicis (Baguenault de Puchesse ed.)
lettresdecatheri03cathuoft	Lettres de Catherine de Médicis, publiées par Hector de La Ferrière	1880	named in round-2 brief: Lettres de Catherine de Medicis (Baguenault de Puchesse ed.)
lettresdecatheri06cathuoft	Lettres de Catherine de Médicis, publiées par Hector de La Ferrière	1880	named in round-2 brief: Lettres de Catherine de Medicis (Baguenault de Puchesse ed.)
lettresdecatheri07cathuoft	Lettres de Catherine de Médicis, publiées par Hector de La Ferrière	1880	named in round-2 brief: Lettres de Catherine de Medicis (Baguenault de Puchesse ed.)
lettresdecatheri05cathuoft	Lettres de Catherine de Médicis, publiées par Hector de La Ferrière	1880	named in round-2 brief: Lettres de Catherine de Medicis (Baguenault de Puchesse ed.)
lettresdecatheri03cath	Lettres de Catherine de Médicis	1880	named in round-2 brief: Lettres de Catherine de Medicis (Baguenault de Puchesse ed.)
bub_gb_DxfuAAAAMAAJ	Négociations diplomatiques de la France avec la Toscane; documents recueillis par Giuseppe Canestrini	1859	named in round-2 brief: Negociations diplomatiques France-Toscane (Desjardins)
bub_gb_3yEMAQAAMAAJ	Négociations diplomatiques de la France avec la Toscane; documents recueillis par Giuseppe Canestrini	1859	named in round-2 brief: Negociations diplomatiques France-Toscane (Desjardins)
gri_33125017127461	Négociations diplomatiques de la France avec la Toscane : documents	1886	named in round-2 brief: Negociations diplomatiques France-Toscane (Desjardins)
gri_33125017127347	Négociations diplomatiques de la France avec la Toscane : documents	1886	named in round-2 brief: Negociations diplomatiques France-Toscane (Desjardins)
gri_33125010469852	Négociations diplomatiques de la France avec la Toscane : documents	1886	named in round-2 brief: Negociations diplomatiques France-Toscane (Desjardins)
gri_33125017126877	Négociations diplomatiques de la France avec la Toscane : documents	1886	named in round-2 brief: Negociations diplomatiques France-Toscane (Desjardins)
gri_33125017126935	Négociations diplomatiques de la France avec la Toscane : documents	1886	named in round-2 brief: Negociations diplomatiques France-Toscane (Desjardins)
gri_33125017127529	Négociations diplomatiques de la France avec la Toscane : documents	1886	named in round-2 brief: Negociations diplomatiques France-Toscane (Desjardins)
bub_gb_768sAAAAQAAJ	Papiers d'État du Cardinal de Granvelle	1842	named in round-2 brief: Papiers d'Etat du cardinal de Granvelle (Poullet/Weiss)
papiersdtatducar00gran	Papiers d'état du cardinal de Granvelle : d'après les manuscrits de la bibliothèque de Besançon	1841	named in round-2 brief: Papiers d'Etat du cardinal de Granvelle (Poullet/Weiss)
bub_gb_G66myMY2eyQC	Papiers d'Etat du Cardinal de Granvelle	1849	named in round-2 brief: Papiers d'Etat du cardinal de Granvelle (Poullet/Weiss)
bub_gb_AoBiWYzIcbYC	Papiers d'Etat du Cardinal de Granvelle	1850	named in round-2 brief: Papiers d'Etat du cardinal de Granvelle (Poullet/Weiss)
bub_gb_fs0NYg_AZNAC	Papiers d'état du cardinal de Granvelle d'après les manuscrits de la bibliothèque de Besançon publiés sous la direction de Ch. Weiss	1844	named in round-2 brief: Papiers d'Etat du cardinal de Granvelle (Poullet/Weiss)
bub_gb_bbSLBkhHyVkC	Papiers d'état du cardinal de Granvelle d'après les manuscrits de la bibliothèque de Besançon publiés sous la direction de Ch. Weiss	1846	named in round-2 brief: Papiers d'Etat du cardinal de Granvelle (Poullet/Weiss)
correspondancedu02gran	Correspondance du cardinal de Granvelle, 1565-1586 [microform]	1877	named in round-2 brief: Correspondance du cardinal de Granvelle (Piot)
correspondancedu01gran	Correspondance du cardinal de Granvelle, 1565-1586 [microform]	1877	named in round-2 brief: Correspondance du cardinal de Granvelle (Piot)
correspondancedu03gran	Correspondance du cardinal de Granvelle, 1565-1586 [microform]	1877	named in round-2 brief: Correspondance du cardinal de Granvelle (Piot)
correspondancedu00gran	Correspondance du cardinal de Granvelle, 1565-1586 [microform]	1877	named in round-2 brief: Correspondance du cardinal de Granvelle (Piot)
correspondancedu05gran	Correspondance du cardinal de Granvelle, 1565-1586 [microform]	1877	named in round-2 brief: Correspondance du cardinal de Granvelle (Piot)
correspondancedu04gran	Correspondance du cardinal de Granvelle, 1565-1586 [microform]	1877	named in round-2 brief: Correspondance du cardinal de Granvelle (Piot)
relationspolitiq04nethuoft	Relations politiques des Pays-Bas et de l'Angleterre, sous le règne de Philippe II	1882	named in round-2 brief: Relations politiques des Pays-Bas et de l'Angleterre (Kervyn de Lettenhove)
relationspolitiq06nethuoft	Relations politiques des Pays-Bas et de l'Angleterre, sous le règne de Philippe II	1882	named in round-2 brief: Relations politiques des Pays-Bas et de l'Angleterre (Kervyn de Lettenhove)
relationspolitiq05nethuoft	Relations politiques des Pays-Bas et de l'Angleterre, sous le règne de Philippe II	1882	named in round-2 brief: Relations politiques des Pays-Bas et de l'Angleterre (Kervyn de Lettenhove)
relationspolitiq02nethuoft	Relations politiques des Pays-Bas et de l'Angleterre, sous le règne de Philippe II	1882	named in round-2 brief: Relations politiques des Pays-Bas et de l'Angleterre (Kervyn de Lettenhove)
relationspolitiq03nethuoft	Relations politiques des Pays-Bas et de l'Angleterre, sous le règne de Philippe II	1882	named in round-2 brief: Relations politiques des Pays-Bas et de l'Angleterre (Kervyn de Lettenhove)
relationspolitiq11nethuoft	Relations politiques des Pays-Bas et de l'Angleterre, sous le règne de Philippe II	1882	named in round-2 brief: Relations politiques des Pays-Bas et de l'Angleterre (Kervyn de Lettenhove)
relationspolitiq01nethuoft	Relations politiques des Pays-Bas et de l'Angleterre, sous le règne de Philippe II	1882	named in round-2 brief: Relations politiques des Pays-Bas et de l'Angleterre (Kervyn de Lettenhove)
relationspolitiq07nethuoft	Relations politiques des Pays-Bas et de l'Angleterre, sous le règne de Philippe II	1882	named in round-2 brief: Relations politiques des Pays-Bas et de l'Angleterre (Kervyn de Lettenhove)
relationspolitiq08nethuoft	Relations politiques des Pays-Bas et de l'Angleterre, sous le règne de Philippe II	1882	named in round-2 brief: Relations politiques des Pays-Bas et de l'Angleterre (Kervyn de Lettenhove)
relationspolitiq10nethuoft	Relations politiques des Pays-Bas et de l'Angleterre, sous le règne de Philippe II	1882	named in round-2 brief: Relations politiques des Pays-Bas et de l'Angleterre (Kervyn de Lettenhove)
relationspolitiq09nethuoft	Relations politiques des Pays-Bas et de l'Angleterre, sous le règne de Philippe II	1882	named in round-2 brief: Relations politiques des Pays-Bas et de l'Angleterre (Kervyn de Lettenhove)
archivesoucorre01housgoog	Archives ou correspondance inédite de la maison d'Orange-Nassau, publ. par G. Groen van Prinsterer	1839	named in round-2 brief: Archives ou correspondance inedite de la maison d'Orange-Nassau (all series)
archivesoucorre03housgoog	Archives ou correspondance inédite de la maison d'Orange-Nassau, publ. par G. Groen van Prinsterer	1837	named in round-2 brief: Archives ou correspondance inedite de la maison d'Orange-Nassau (all series)
archivesoucorre02housgoog	Archives ou correspondance inédite de la maison d'Orange-Nassau, publ. par G. Groen van Prinsterer	1858	named in round-2 brief: Archives ou correspondance inedite de la maison d'Orange-Nassau (all series)
archivesoucorre04unkngoog	Archives ou correspondance inédite de la maison d'Orange-Nassau, publ. par G ...	1838	named in round-2 brief: Archives ou correspondance inedite de la maison d'Orange-Nassau (all series)
archivesoucorre00housgoog	Archives ou correspondance inédite de la maison d'Orange-Nassau, publ. par G. Groen van Prinsterer	1841	named in round-2 brief: Archives ou correspondance inedite de la maison d'Orange-Nassau (all series)
archivesoucorre05housgoog	Archives ou correspondance inédite de la maison d'Orange-Nassau, publ. par G. Groen van Prinsterer	1835	named in round-2 brief: Archives ou correspondance inedite de la maison d'Orange-Nassau (all series)
archivesoucorre06housgoog	Archives ou correspondance inédite de la maison d'Orange-Nassau, publ. par G. Groen van Prinsterer	1857	named in round-2 brief: Archives ou correspondance inedite de la maison d'Orange-Nassau (all series)
archivesoucorre08housgoog	Archives ou correspondance inédite de la maison d'Orange-Nassau, publ. par G. Groen van Prinsterer	1847	named in round-2 brief: Archives ou correspondance inedite de la maison d'Orange-Nassau (all series)
archivesoucorre09housgoog	Archives ou correspondance inédite de la maison d'Orange-Nassau, publ. par G. Groen van Prinsterer	1859	named in round-2 brief: Archives ou correspondance inedite de la maison d'Orange-Nassau (all series)
archivesoucorre07housgoog	Archives ou correspondance inédite de la maison d'Orange-Nassau, publ. par G. Groen van Prinsterer	1859	named in round-2 brief: Archives ou correspondance inedite de la maison d'Orange-Nassau (all series)
archivesoucorres01unse	Archives ou correspondance inédite de la maison d'Orange-Nassau / 2e sér. t. 1-5	1857	named in round-2 brief: Archives ou correspondance inedite de la maison d'Orange-Nassau (all series)
archivesoucorres05unse	Archives ou correspondance inédite de la maison d'Orange-Nassau / 2e sér. t. 1-5	1857	named in round-2 brief: Archives ou correspondance inedite de la maison d'Orange-Nassau (all series)
archivesoucorres02unse	Archives ou correspondance inédite de la maison d'Orange-Nassau / 2e sér. t. 1-5	1857	named in round-2 brief: Archives ou correspondance inedite de la maison d'Orange-Nassau (all series)
archivesoucorres04unse	Archives ou correspondance inédite de la maison d'Orange-Nassau / 2e sér. t. 1-5	1857	named in round-2 brief: Archives ou correspondance inedite de la maison d'Orange-Nassau (all series)
archivesoucorres03unse	Archives ou correspondance inédite de la maison d'Orange-Nassau / 2e sér. t. 1-5	1857	named in round-2 brief: Archives ou correspondance inedite de la maison d'Orange-Nassau (all series)
coleccindedocum71unkngoog	Colección de documentos inéditos para la historia de España	1879	named in round-2 brief: CODOIN
coleccindedocu88madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
colecciondedocum61tick	Coleccion de documentos inéditos para la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu18madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu01madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu109madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu55madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocum70unkngoog	Colección de documentos inéditos para la historia de España	1870	named in round-2 brief: CODOIN
coleccindedocu89madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu23madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
colecciondedocum08tick	Coleccion de documentos inéditos para la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu72madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu107madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu105madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu81madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu13madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu104madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu08madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
colecciondedocum13salv	Coleccion de documentos inéditos para la historia de España	1843	named in round-2 brief: CODOIN
coleccindedocu09madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu02madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu67madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu75madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocum66unkngoog	Colección de documentos inéditos para la historia de España	1854	named in round-2 brief: CODOIN
coleccindedocu56madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu106madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu21madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocu29madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
coleccindedocum85unkngoog	Colección de documentos inéditos para la historia de España	1866	named in round-2 brief: CODOIN
coleccindedocu07madruoft	Colección de documentos inéditos papa la historia de España	1842	named in round-2 brief: CODOIN
nuntiaturberich07romgoog	Nuntiaturberichte aus Deutschland nebst ergaenzenden Aktenstuecken: Erste Abteilung, 1533-1559	1895	named in round-2 brief: Nuntiaturberichte aus Deutschland
nuntiaturberich00unkngoog	Nuntiaturberichte aus Deutschland nebst ergänzenden Aktenstücken	1895	named in round-2 brief: Nuntiaturberichte aus Deutschland
nuntiaturberich14romgoog	Nuntiaturberichte aus Deutschland nebst ergänzenden Aktenstücken	1892	named in round-2 brief: Nuntiaturberichte aus Deutschland
bub_gb_fTmxAAAAIAAJ	Nuntiaturberichte aus Deutschland nebst ergänzenden Aktenstücken	1892	named in round-2 brief: Nuntiaturberichte aus Deutschland
bub_gb_VtBdAAAAIAAJ	Nuntiaturberichte aus Deutschland nebst ergänzenden Aktenstücken	1892	named in round-2 brief: Nuntiaturberichte aus Deutschland
nuntiaturberich12romgoog	Nuntiaturberichte aus Deutschland nebst ergänzenden Aktenstücken	1901	named in round-2 brief: Nuntiaturberichte aus Deutschland
nuntiaturberich01schwgoog	Nuntiaturberichte aus Deutschland nebst ergänzenden Aktenstücken. 1585 (1584)-[1592	1895	named in round-2 brief: Nuntiaturberichte aus Deutschland
bub_gb_IjWxAAAAIAAJ	Nuntiaturberichte aus Deutschland nebst ergänzenden Aktenstücken	1892	named in round-2 brief: Nuntiaturberichte aus Deutschland
bub_gb_5zKxAAAAIAAJ	Nuntiaturberichte aus Deutschland nebst ergänzenden Aktenstücken	1892	named in round-2 brief: Nuntiaturberichte aus Deutschland
bub_gb_kimxAAAAIAAJ	Nuntiaturberichte aus Deutschland nebst ergänzenden Aktenstücken	1892	named in round-2 brief: Nuntiaturberichte aus Deutschland
nuntiaturberich11romgoog	Nuntiaturberichte aus Deutschland nebst ergaenzenden Aktenstuecken. Erste Abteilung, 1533-1559	1892	named in round-2 brief: Nuntiaturberichte aus Deutschland
nuntiaturberich13romgoog	Nuntiaturberichte aus Deutschland nebst ergaenzenden Aktenstuecken. Erste Abteilung, 1533-1559	1892	named in round-2 brief: Nuntiaturberichte aus Deutschland
nuntiaturberich00kommgoog	Nuntiaturberichte aus Deutschland, nebst ergänzenden Actenstücken. Zweite Abtheilung 1560-1572	1897	named in round-2 brief: Nuntiaturberichte aus Deutschland
bub_gb_JjaxAAAAIAAJ	Nuntiaturberichte aus Deutschland nebst ergänzenden Aktenstücken	1892	named in round-2 brief: Nuntiaturberichte aus Deutschland
bub_gb_YTCxAAAAIAAJ	Nuntiaturberichte aus Deutschland nebst ergänzenden Aktenstücken	1892	named in round-2 brief: Nuntiaturberichte aus Deutschland
bub_gb_7zGxAAAAIAAJ	Nuntiaturberichte aus Deutschland nebst ergänzenden Aktenstücken	1892	named in round-2 brief: Nuntiaturberichte aus Deutschland
bub_gb_yCqxAAAAIAAJ	Nuntiaturberichte aus Deutschland nebst ergänzenden Aktenstücken	1892	named in round-2 brief: Nuntiaturberichte aus Deutschland
bub_gb_HjGxAAAAIAAJ	Nuntiaturberichte aus Deutschland nebst ergänzenden Aktenstücken	1892	named in round-2 brief: Nuntiaturberichte aus Deutschland
bub_gb_OzGxAAAAIAAJ_2	Nuntiaturberichte aus Deutschland nebst ergänzenden Aktenstücken	1892	named in round-2 brief: Nuntiaturberichte aus Deutschland
deutschereichst07kommgoog	Deutsche Reichstagsakten : jüngere Reihe	1893	named in round-2 brief: Deutsche Reichstagsakten
deutschereichst05kommgoog	Deutsche Reichstagsakten: Auf Veranlassung und mit Unterstütsung seiner ...	1878	named in round-2 brief: Deutsche Reichstagsakten
deutschereichst08kommgoog	Deutsche Reichstagsakten : jüngere Reihe	1893	named in round-2 brief: Deutsche Reichstagsakten
deutschereichst01kommgoog	Deutsche Reichstagsakten. Auf Veranlassung und mit Unterstütsung seiner Majestät des Königs von Bayern Maximilliam II	1867	named in round-2 brief: Deutsche Reichstagsakten
deutschereichst00weizgoog	Deutsche Reichstagsakten / Ältere Reihe	1867	named in round-2 brief: Deutsche Reichstagsakten
deutschereichst09kommgoog	Deutsche Reichstagsakten. Auf Veranlassung und mit Unterstütsung seiner Majestät des Königs von Bayern Maximilliam II	1867	named in round-2 brief: Deutsche Reichstagsakten
deutschereichst06kommgoog	Deutsche Reichstagsakten unter Kaiser Friedrich III 2. Hälfte	1877	named in round-2 brief: Deutsche Reichstagsakten
deutschereichst04unkngoog	Deutsche Reichstagsakten. Auf Veranlassung und mit Unterstütsung seiner Majestät des Königs von Bayern Maximilliam II	1867	named in round-2 brief: Deutsche Reichstagsakten
deutschereichst00unkngoog	Deutsche Reichstagsakten ..	1867	named in round-2 brief: Deutsche Reichstagsakten
deutschereichst05unkngoog	Deutsche Reichstagsakten. Auf Veranlassung und mit Unterstütsung seiner Majestät des Königs von Bayern Maximilliam II	1867	named in round-2 brief: Deutsche Reichstagsakten
deutschereichst01unkngoog	Deutsche Reichstagsakten	1867	named in round-2 brief: Deutsche Reichstagsakten
deutschereichst03unkngoog	Deutsche Reichstagsakten. Auf Veranlassung und mit Unterstütsung seiner Majestät des Königs von Bayern Maximilliam II	1867	named in round-2 brief: Deutsche Reichstagsakten
bub_gb_o-tCAAAAcAAJ	Deutsche Reichstagsakten unter König Wenzel	1867	named in round-2 brief: Deutsche Reichstagsakten
DeutscheReichstagsaktenJuengereReihe4	Deutsche Reichstagsakten Juengere Reihe 4		named in round-2 brief: Deutsche Reichstagsakten
deutschereichst02kommgoog	Deutsche Reichstagsakten. Auf Veranlassung und mit Unterstütsung seiner Majestät des Königs von Bayern Maximilliam II	1867	named in round-2 brief: Deutsche Reichstagsakten
deutschereichst10kommgoog	Deutsche Reichstagsakten : jüngere Reihe	1893	named in round-2 brief: Deutsche Reichstagsakten
deutschereichst00kommgoog	Deutsche Reichstagsakten	1901	named in round-2 brief: Deutsche Reichstagsakten
deutschereichst02unkngoog	Deutsche Reichstagsakten. Auf Veranlassung und mit Unterstütsung seiner Majestät des Königs von Bayern Maximilliam II	1867	named in round-2 brief: Deutsche Reichstagsakten
bub_gb__aM-AAAAYAAJ	Deutsche Reichstagsakten	1867	named in round-2 brief: Deutsche Reichstagsakten
bub_gb_o34NAAAAQAAJ	Deutsche Reichstagsakten ..	1867	named in round-2 brief: Deutsche Reichstagsakten
dli.ministry.01131	Calendar of state papers, Spanish		named in round-2 brief: Calendar of State Papers Spanish
recueildeslettr00guadgoog	Recueil des lettres missives de Henri IV	1843	named in round-2 brief: Lettres missives de Henri IV
recueildeslettr02guadgoog	Recueil des lettres missives de Henri IV	1843	named in round-2 brief: Lettres missives de Henri IV
