identifier	start_line	end_line	total_lines	numerals	prose_words	interlinear_score	context
handlingarrrand03scangoog	15815	15816	29167	15	24	0.50	(    308  ) /  / Regemeiiten,  svenska  eller  i  svensk  sold;  tinder  Gustaf  II / Adolf  och  drottn,  Ckmstma:  heri.  Carl  Philips,  16:  148; / hofregementet,  25:  93;  Wilzihumbs,  25:  93;  grdna,  25:93; / blå,  25:  93;  skotska,  25:80,  82;  Baudissins,  25:  tl4;  Lee- / husens,  25:  115;  Gdrtzes,  25:  115;  Sddermaalajids  o.  Ne- / rikes,  26:  291,  292;  drottnis  hofregeraente,  26:  244,  292; / 30:  113;  liflåndska,  26:  246,  292;  Thomas  Thomassens, / 29:  297;  Nils  Ribbings,  29:  298;  Johan  Bauérs,  35:  26; / Drommunds,  35:  26,  27,  98;  Erik  Hanssons,  35:  26,  27, / 98;  38:  161,  263;  Essens,  38:  119;  Porbus,  38:  159:  vårf- / vade  lyska,  engelska  och  skotska,  36:  376;  dslgota  rylUre, / 36:  376;  veslgota  ryltare,  36:  376;  finske  ryUare,  36:376; / Axel  Lillies,  36:  377;  curlåndska,  38:  i89;  Karrs,  35:97; / MeUslakes  fioska,  38:  328,  329,  404,  417,  418,  420;  BarU, / 38:  417;  Ermeses,  38:  418,  420;  Kinncmiindlz,  38:  hi2; / Slålhandskes  finska,  38:  254;  Gratzeiisteos,  38:  262;  Koip* / hausens^  38:  262;  Sperreuters,  38:  262;  Bergs  fioska,  ^ / 263,  418,  420;  Douglas  v&rfvade,  38:  263;  Fleetwoods  en- / gelska, 38:  263;  Astons  d:o,  38:  263;  Johan  Ridwens,  38: / 263;  Rossissenskys^  5:  84;  Harald  Stakes,  30:  113;  fråga
kongchristianden03chriuoft	2338	2362	27132	61	52	0.20	35.  20.  August  1632. /  / Til  Frederik  Gimther. /  / Chifi'erbrev,  hvori  vistnok  Meddelelse  om,  at  Kongen  vil  bruge / ham  som  Afsending  til  Kuirfyrsterne  angaaende  Elbtolden ').  — / Geh.  Ark. /  / Weiil   icli   mich   cless  alten   Spriichess   Errinnere,    64. /  / 20.  24.  18.  34.  in  23.  24.  21.  36.  36.  29.  34.  34.  20.  24. / 34,  18.  19.  23.  29.  16.  Sit  19.  29.  22.  35.  30.  37.  23.  29. / 18.  vndt  meiiness  Erachtenss  dass  wasser  in  230  der- / massen  8.  19.  18.  39.  30.  37.  20.  35.  19.  Ist,  dass  wekiig / Reiiness  darunther  zu  liinden,  Alss  håbe  Ich  mich  for- / geiiommen  deiine  persohn  13.  56.  42.  40.  45.  47.  42.  55. / 38.  49.  42.  61.  55. 2)  beii  dii  40.  45.  54.  57.^)  zu  gebrauchen, / Eiinen  versuch  beii  ihuen  zu  thun,  Ob  man  sii  darhin / disponircn  konne,  dass  sii  in  den  fohrhim  begerthen  8.  34. / 24.  27.  27.  35.  25.^)  auff  der  35.  27.  30.  35.^)  willigen / wolthen,  aldiiweiill  du  itzo  zum  besten  Solchess  verrich- / ten  kontest,  weiill  du  itzo  63.  37.  24.  32.  34.  29.  15.  23. / 33.  21.  biist,  dass  du  ohne  gross  16.  37.  24.  15.  22.  19.  33. /  / 21.  11.  33.  17.  kommen  kanst,  wohr  du  sollest. /  / Wass  du  Nun  zu  solcher  verichtung  Notig  zu  sein / Erachtest,  dass  sollestu  miir  Erstess  tagess  wissen  lassen, / weiil  du  sicherlich  ess  itzo  skreiiben  kanst. /  / Weiil  nun  Solchess  63.  13.  30.  17.  33.  31.  21.  22.  22. / 33.  22.  19.  33.  17.  34.  29.  23.  29.  23.  18.  17.  17.  29.  23.'') / ablauffen  kan,  Alss  sollestu  Eiin  wberslag  machen,  wass / man  auff  lehliichem  ordt  zu  Spendiren  håbe,  deiine  recli- / nung   magstu   autf    11.    45.    54.  61.  41.  42.  57.  41.  55.  248. /  /  / ')  I  de  sidste  Dage  af  Februar  11533  afsendtes  Fr.  Giinther  til  de / gejstlige  Kurfyrster,  bl.  A.  for  at  formaa  dem  til  at  give / Samtykke  til  Elbtolden.  Fridericia,  Danmarks  ydre  polit.  Hist. / I,  254.  2G3. /  / '^)  Vistnok  nogle  Ord  for:  til  T_ydskland. /  / ^)  Kurfyrsterne?
kongchristianden03chriuoft	8967	8996	27132	45	48	0.00	Chifferbrev,  hvori  der  vistnok  gives  ham  forskjellige  Ordrer / og  Meddelelser  angaaende  Forholdet  til  Hamborg  og  Elbtoldeu. / —  Geh.  Ark. /  / Ess  Ist  diir  woll  hekandt.  was  Ich  fur  dissem  wm  dess / 64.  35.  24.   14.  32.  29.  14.  22.  23.  33.  17.    von    93.  24.   18. /  / 23.  24.  16.  gethan,  vndt  was  Er  darauff  zur  andtwordt  ge- / geben.     Weiil   Ich  aber  22.  33.  15.  36.  29.  31.  33.  22.  35. /  / 24.  14.  32.  29.  14.  22.  23.  33.  17.  24.  18.  23.  29.  nochnit / gesiicherdt  bin,  alss  sollestu  diich  12.  50.  54.  46.  61.  54. / 42.  47.  42.  46.  44.  42.  61.  vndt  miit  Ihm  41.  42.  56.  53. / 42.  44.  47,  42.  41.  42.  61.  vndt  im  der  fohrigen  discurs / Errinneren.  Man  hatt  zuaar  hii  daruon  Reden  wollen,  alss / wehre  selbiiger  Man  todt  ^),  welchess  Skan  (I)  diir  bekandt / Ist,  souern  dem  selbiigen  alsso,  Daa  Es  aber  alsso  Seiin / Solthe,  So  wiil  heiissen,  Stiirbdt  der  fiix,  So  giildt  der  Bal- / liich.   9.  22.  35.  30.  14.  35.  37.  19.  35.  28.  hatt  disse  tage /  /  / Krigs  Udbrud  i  Decbr.  1643  vilde  bringe  sine  Ejendele  i  Sik- / kerhed fra  Helsingør  til  Kjobenhavn,  rejste  der  sig  en  Tumult / imod  ham  mellem  Borgerne,  som  maatte  standses  med  Magt / (Boecleri  Historia  belli  Sveco-Danici  S.  86.  Slange  S.  1201). / Under  Krigen  brugtes  han  af  Christian  IV  som  Sendebud  til / de  danske  Gesandter  i  Moskau  (Kongebr.  at  25.  Juni  1644, / Rusland  Nr.  20) ;  hvorvidt  han  derimod,  som  Giessing  anf.  Skr. / S.  280  fortæller,  fulgte  Valdemar  Christian  paa  hans  Hjem- / rejse til  Danmark,  vides  ikke.  Han  døde  i  Februar  1645. / Kronijk  van  het  hist.  Genootsch.  te  Utrecht  1861  S.  406. / ')  Talen  maa  vistnok,  efter  Kongens  Brev  af  29.  Septbr.  163.3, / være  om  Kurtyrsten  af  Trier,  Philip  Christoph  v.  Setern. / Rygtet  var  for  øvrigt  falsk. /  /  / 168  1633. /  / clii  von  187^)  getrosted,  dass  wass  geskeen,  das  Niit  62. / 35.  18.  15.  15.  33.  31.  37.  15.  23.  33.  14.  31.  33.  22.  14. / 33.  17.  22.  33.  29.  daa  doch  95  vndt  96.  Eiinen  28.  18. / 15.  15.  33.  17.  auff  der  2.  vnter  siich  zu  legen  beslossen,  wel- / ches  woU  in  acbt  zu  haben.  250.  [h]att  miir  gesaget,  Er  håbe / dii  skreiiben  in  handen  gehabdt.  Dii  Bremske  vndt  Lybske / gesanten  seindt  alhii  gewessen  ^)  vndt  vm  Audiens  auge- / halthen,  Aber  nach  dennemarck  veruissen. /  / Glyckstadt  den  18  Septem:  Anno  1633. /  / Christian.
kongchristianden03chriuoft	21209	21216	27132	112	9	0.00	')  Kvikne  Kobberværk,  kaldet  Guds  Gave,  i  Østerdalen.  Brimnich, / Kongsberg  Solvbergverk  S.  84.  Norske  Rigsregistranter  VI, / 519.  588  tf.  634.  684.  VII,  16  f.  64.  67  ff.  78.  122.  133. /  / ■')  Freden  i  Prag  sluttedes  d.  20.  Maj  1635  Cg.  St.). /  /  / 1635.  403 /  / Du  sollest  miir  zugeleiich  wissen  lassen  228.  62.  25. / 37.  22.  63.  32.  29.  30.  21.  62.  63.  64.  19.  21.  33.  22.  33. / 17.  34.  23.  229.  230.  29.  35.  30.  34.  33.  21.  18.  63.  32. / 21.  37.  25.  33.  17.  28.  16.  33.  21.  240.  250.  260.  22.  18. / 36.  33.  29.  63.  64.  30.  18.  32.  25.  33.  270.  300.  33.  23. / 25.  37.  22.  36.  33.  34.  33.  29.  23.  33.  17.  ich  sii  24.  33. / 21.  33.  30.  21.  33.  17.  301.  450.  470.  63.  14.  18.  17.  23. / 33.  22.  18.  480.  28.  24.  16.  37.  17.  31.  33.  17.  33.  16.  22. / 33.  17.  2x8.  229.  22.  33.  29.  17.  298.  64.  14.  18.  17.  23. / 30.  33. /  / Es  ist  miir  Hib,  das  du  zu  mehrmahlen  Audiens  Ijeii / dem  keiisser  gehabdt  vndt  gutlie  vertrostung  auff  dein  an- / bringen')  Erlanget,  godt  gebe,  das  dii  folge  nur  gewiis / sein  muchte. /  / Biis  Dato  håbe  ich  Niit  Erfahren  konnen,  wii  weiit  dii / von  Ham:  mit  ihreni  groben  Lugen,  dii  treffliche  reiiche / skiiffe  angeende,  So  auff  der.Elbe /r^{/we?2f/re??,.  gekommen
kongchristianden03chriuoft	21651	21656	27132	80	29	0.17	Kongen  sender  ham  en  Afskrift  af  sin  Svarskrivelse  fil  Kur- / fyrsten af  Sachsen  augaaende  Fredslutningen.  Der  er  adskillige / misfornøjede  med  denne,  iblandt  hvilke  Axel  Oxenstjerna.  — / Geh.  Ark. /  / Ich  håbe  Eiine  Nodtturfft  zu  seiin  eracbted,  diir  beii- / gefugte  cojnam  meines  andtwordt  skreiibens  an  Chur  saxen / zu  wbersenden  -),  Auffdas  du  den  verlauff  wiissen  mugest. / Der  gutbe  herre  meiinet,  Er  håbe  ess  gaar  woll  getroffen, / woreiin  ihm  aber  wehnig  leuthe  beiifalgeben  werden  286. / 62.  63.  31.  33.  33.  23.  324.  3G0.  34.  33.  21.  360.  32.  21. / 29.  33.  13.  12.  50.  54.  46.  56.  47.  42.  61.  87.  8.  9.  10.  18. / 25.  32.  19.  216.  34.  24.  39.  32.  19.  62.  334.  336.  22.  18. / 25.  33.  21.  34.  33.  23.  480.  567.  65.  13.  590.  53.  42.  61. / 46.  40.  56.  42.  46.  41.  42.  650.  780.  41.  38.  57.  39.  42.  46. / 790.  791.  56.  59  61.  61.  42.  61.  Alhii  geen  allerhandt / zeiitung  von  allerleii  male  contanten,  worunther  der  Schue- / disker  Chanseler  Eiiner  Ist,  welcher  siich  nochderzeiit  dem /  /  / ')  Fejlskrift  for:  og. /  / '■')  Som  Svar  paa  Kurfyrst  Johan  Georgs  Skrivelse  af  29.  Juni, / ved  hvilken  han  oversendte  Kongen  Fredstraktaten  i  Prag, / rettede  Cliristian  IV  i  sit  Brev  at  3.  Aug.  forskjellige  Be- / brejdelser til  Kurfyrsten  for  de  i  Freden  optagne  Bestemmelser
kongchristianden03chriuoft	21731	21743	27132	126	16	0.00	1)  Jvfr.  Chemnitz,  ant.  Skr.  II,  789  ft. /  / 23.  Aug. /  / ^)  Brevet  er  i  Følge  Giiuthers  Paategning  modtaget  i  Wien    o  sept. /  /  / 1G35.  413 /  / Sidder  meiinem  ledtzsten  liatt  der  62.  360.  31.  24.  36. / 33.  21.  17.  349.  18.  21.  380.  460.  16.  29.  23.  18.  12.  49. / 42.    61.    56.    42.    350.    11.    48.   46.   60.  8.  9.  33.  35.  39.    35. /  / 32.  35.  19.  welcher  in  der  meiinimg  waar,  das  waii  570. / 640.    62.  34.  33.   16.  81.  33.  29.  17.  63.  22.  23.  29.  35.   14. /  / 33.  560.  402.  13.  44.  42.  48.  41.  42.  56.  303.  12.  540.  46. / 42.  57.  48.  46.  40.  45.  660.  602.  8.  33.  35.  30.  24.  19. / 608.  19.  35.  25.  17.  37.  39.  32.  35.  25.  Das  man  alssdan / Es  soltlie  Edangen  konnen.  Als  sollestu  '450.  62.  28.  33. / 63.  33.  17.  490.  340.  13.  41.  38.  54.  56.  42.  61.  41.  55.  8. / 29.  27.  380.  27.  35.  560.  9.  10.  37.  29.  39.  23.  39.  35.  20. / 35.  25.   19.  37.  28.  35.  25. /  / Batmn  Nordrup  den  13  Aiujustj  Anno  1635. /  / Christian. /  / Udskrift:    A  M:  M:  (pmther^). /  /  / 483.  17.  August  1635. / 
kongchristianden03chriuoft	22331	22340	27132	146	27	0.00	og  giver  ham  forskjellige  Meddelelser  eller  Ordrer  i  Chifre.  — / Geh.  Arh. /  /  / 1G35.  425 /  / Aus  den  beiilagen  Erfahrestu.  was  dem  keysser  auff / sein  skreiben,  deiine  Eeplica  Letreffende,  geandtworted / håbe  '). /  / 248.  350.  460.  64.  25.  37.  22.  250.  260.  13.  43.  46.  57. / 460.  400.  9.  10.  26.  35.  32.  37.  18.  26.  500.  600.  540.  62. / 63.  29.  35.  30.  24.  33.  21.  16.  33.  29.  17.  33.  13.  41.  42. / 61.  81.  8.  9.  10.  14  18.  30.  35.  17.  35.  33.  35.  25.  600. / 607.  62.  34.  37.  22.  33.  21.  600.  504.  13.  41.  42.  61.  50. / 60.  48.  38.  54.  43.  62.  34.  33.  21.  2.  15.  29.  22.  22.  33. / 500.  560.  402.  8.  25.  35.  26.  27.  37.  31.  36.  9.  32.  29.  20. / 35.  14.  18.  29.  25.  14.  37.  32.  29.  17.  22.  35.  25.  32.  19. / 400.  800.  64.  34.  37.  15.  33.  21.  29.  33.  21.  15.  29.  35.  30. / 34.  37.  21.  24.  15.  17.  700.  400  13.  50.  54.  44.  42.  61.  46. / 46.  42.  61.  45.  42.  55.  55.  42.  Dass  håbe  Ich  diir  fuhr / dissem  wisseii  lassen,  Aber  biis  Dato  niit  Erfahren  konnen, / Ob  sodane  meiine  ResoluHon  diir  seii  zu  handen  gekommen. /  / Kopenhagen  den  27  Item:  Anno  1635  2). /  / Christian. /  / Udskrift:    A  31:.  31:  gunfher. / 
danskemagazin03histgoog	21744	21777	50707	132	35	0.00	108, 112, 116, 122, 124, 127—28, / 145—46, 259, 261, 263, 269—70, 275, / 279, 281, 304, 307, 309, 313, 320—21. /  / Bjeng, 71, 145. /  / Alinte, 535. /  /  / Kloſtre, 44,59, 93, 161,313—14. J Aalborg, / 24, 29, 311. Aas Kloſter, 34, 98, / 313. Alling, 30, 35, 292, 299, 314. / Antvorſkov, 22, 60, 73, 75, 2860, / 264, 300, 310, 314. Bekkeſkov, 34, / 80, 90, 93, 104, 123, 300, 313. Bør: / lum, 314. Borringe, %. Dalby, / 61, 93, 104, 146, 300, 313. Dalum, / 299. Dueholm, 13, 299, 314, 324. / Ebbelholt, 62, 68, 75, 121, 135, 314. / Esrom, 59, 75, 121, 128, 298, 300, / 302, 308, 314, 319. Eoſenbek, 299, / 314. J Faaborg. 34, 307. Grin: / derslev, 55. 8alſted, 71, 299, 314: / såelne Kirke, 34, 93, 313. J Sel: / finger, 129. zerredovad, 34, 77, / 93, 101, 300, 313. Zolme, 55, 299,314. / J sorfens, 299, 314. Knardrup, / 59, 80, 121, 130, 314, 319. Mari⸗ / ager, 94, 95. Maribo, 72. J Neſt⸗ / ved, 106. J Odenſe, 35, 55, 127, / 299, 314, 324. J Randers, 23, 24, / 46, 108. J Ribe, 299. Ring, 133, / 299. JF Ringfted, 75, 129, 260, 264. / 300, 314, J Roskilde, 59, 64, 81, / 172, 300. Skovkloſter, 59, 106, / 110, 300, 314. Sorø, 20, 21, 73, 75, / 717, 260, 300, 314,319. Tvilum, 25, / 33, 299. Tvis, 299, 314. Tomme / rup, 34, 93, 104, 300, 313. J Veile, / 29. Vefterviig, 13, 299, 314, 323. 3 / Viborg, 299, 314. VidfFøl, 299, / 314, 323, Vor, 33, 299, 314, 323— / 24. Øm, 33, 65, 299, 314, 323. / Øvig, 34, 93, 104, 300, 313. /  / Knardrup Klofter, fee Kloſtre. /  / Kneverhede Gaard, 118. /  / Knob, Lauris, 1535, S. 65, 72, 106—7, / 109—10, 119, 129, 257, 271, 278, /  / Bund Ebbeſen, 1535, fee Ulfeld. / 
danskemagazin03histgoog	46319	46325	50707	35	6	0.00	 / Broberg i Norge, 204. /  / (Brochmand), M. Jeſper, 1537 ꝛe. S. 191, / 218. /  / Brok, Viels, 130. Peder, 1536 2c., 56, 152, / 228. /  / Brokkenhus, Claus, 1536 2c., &. 56, 228. / Jacob 1536 2c., 56, 129, 228, 317, 342. / Johan, 1536 2c., 6. 55, 56, 100—1, / 216, 229, 284, 311, 329, 339. Mikkel, / 1536 2c., S. 55, 60, 68, 101, 129, / 201—2, 216, 218—19, 222, 225, / 228, 281, 290—91, 296, 813, 317, / 341, 347. Peder, 1536, 6, 56. /  / Brun, Chriſtiern, 8, 10, 14. Jep, 1536, / S. 56. Niels, 1536, &. 71. /  / Brunsvig, Hertugen af, 1536, S. 33, /  /  / Bruſkherred, 125, / ſeb Bryde / 
wallensteineind02schigoog	3207	3209	24859	47	7	0.00	Lager,  48, 18;  Picc,  6, 13-23,  17, 3,  21,  3-11,  49,  20,  94, 1 ;  Tod, / 26,  25,  41,  9,  46,  3.  64,  4,  67, 17,  76, 1,  88,  9,  84, 1,  89,  7,  104,  7, / 106,  2,  134, 12,  185,  5,  140,  8,  163,  3,  176,  7-17. /  / Piccolomini  (Octavio),  one  of  WalleDStein's  generals,  mem- / ber  of  an  old  Italian  family.  At  the  close  of  the  war  he  was / made  Duke  of  Amalfi.    See  Introd.  pp.  xxiii,  xxxiv,  1. /  / Appears:  Picc.  I,  2,  3,  4,  5,  II.  7,  IV,  6,  7,  V,  1,  2,  3;  Tod, /  / II,  1, 4,  5,  6,  7,  V,  11, 12.  Referred  to:  Picc.  6,  9,  9,  3,  44,  9, 13, / 49,  20,  50,  2,  85,  7;  Tod,  83,  16,  42,  1.  45, 16,  83.  19,  85,  10, / 86,  1,  14,  87,  16,  88,  6,  98,  12,  104,  6,  108,  6,  123,  6,  140,  10, / 141, 17,  198,  7, 11. /  / Prokop,  name  of  two  leaders  of  the  Taborites  in  the  Hussite / wars,  P.  the  Great  and  P.  the  Small.  P.  the  Great,  for  years / a  victorious  general,  was  defeated  and  slain  at  Lipan,  1434. /  / Ref. :  Picc.  101,  6. /  / Pyrrhus,  a  king  of  Epinis,  who  ruled  and  warred  against / the  Romans  the  first  half  of  the  third  Century  b.c.
