p1-1 aus_?_ist | Auß Franckreich fol.
p1-2 denluon?(St)a(iii)de(gis) | 
p1-3 ledig?ma | 
p2-1 der?uerzug | der vorrath
p2-2 ?_? | gute
p2-3 aus?? | aus Franckrych
p2-4 erlegung?des?? | verlegung des gelts
p2-5 ??fnd? | Erlsgeduc von graf
p2-6 buodnl? | bundnus
p2-7 ooe | 
p2-8 bknd(en)_? | finden
p2-9 ?i(n)?? | in Franckreich
p2-10 buodnus? | bundnus
p2-11 ?? | in Franckreich Lothringen
p2-12 io<uingt>re(iii)i | in
p2-13 giqnssa | religions sachen
p2-14 undertan(en) | Underthanen
p2-15 in<uingt>? | in Franckreich
p2-16 obligiren? | obligieren
p2-17 oi?bfndnus | die bundnus
p2-18 ihr?leun | Ihr eur
p2-19 ?_helfe | der Frantzosen zu ihrem
