letter	run	page	line	pos	token	gloss	left	right	conf
5557	1	1	13	1	119	mit	der erste Vorschlag, das unter unmüglichen		ok
5557	1	1	13	2	101				ok
5557	1	1	13	3	31				ok
5557	1	1	13	4	131	synem			? gloss uncertain reading
5557	1	1	13	5	81				ok
5557	1	1	13	6	102				ok
5557	1	1	13	7	i				ok
5557	1	1	13	8	82				ok
5557	1	1	13	9	120			abzuhandlingen	ok
5557	2	1	14	1	100		abzuhandlingen		ok
5557	2	1	14	2	21				ok
5557	2	1	14	3	103	Kriegß			ok
5557	2	1	14	4	92	Volck			ok
5557	2	1	14	5	26				ok
5557	2	1	14	6	40				ok
5557	2	1	14	7	6				ok
5557	2	1	14	8	iii				ok
5557	2	1	14	9	107				ok
5557	2	1	14	10	122			und gewaltt,	ok
5557	3	1	14	1	104	igstn	und gewaltt,		? gloss partly illegible
5557	3	1	14	2	93	Hauffen			ok
5557	3	1	14	3	84				ok
5557	3	1	14	4	4				ok
5557	3	1	14	5	144				ok
5557	3	1	14	6	96				ok
5557	3	1	14	7	61				ok
5557	3	1	14	8	36				ok
5557	3	1	14	9	88				ok
5557	3	1	14	10	89				ok
5557	3	1	14	11	85				ok
5557	3	1	15	12	5				ok
5557	3	1	15	13	135				ok
5557	3	1	15	14	37				ok
5557	3	1	15	15	66				ok
5557	3	1	15	16	81				ok
5557	3	1	15	17	21				ok
5557	3	1	15	18	141	diy			? span unsure (could be over 76)
5557	3	1	15	19	76				ok
5557	3	1	15	20	101				ok
5557	3	1	15	21	82				ok
5557	3	1	15	22	127				ok
5557	3	1	15	23	119	Mgb			ok
5557	3	1	15	24	62				ok
5557	3	1	15	25	27				ok
5557	3	1	15	26	134				ok
5557	3	1	15	27	56	Zyrg			? gloss partly illegible
5557	3	1	15	28	102				ok
5557	3	1	15	29	97				ok
5557	3	1	15	30	83				ok
5557	3	1	15	31	3			solch, dißmals als in viel	ok
5557	4	1	16	1	81		Beschwerung und Widerkertigkeit der Reiß, Proviandt und andere halben		ok
5557	4	1	16	2	101	ins			ok
5557	4	1	16	3	i				ok
5557	4	1	16	4	123	Volgender			? span unsure, may cover 26/7/112 too
5557	4	1	16	5	26				? 20 or 26
5557	4	1	16	6	7				ok
5557	4	1	16	7	112				ok
