id	description	merged_from	count	confidence	share_pct	cum_share_pct	exemplar_crop	exemplar_position	note
R1	low horizontal wave/hump, no loop, sits on baseline (dominant filler stroke)	A-S5(9)+A-S16(8,partial)+A-S18(6,partial)+B-Sh.1(52)	75	mixed: S5==Sh.1 core match confirmed by crop check; S16/S18 only "partial" (compound double-hump / stretched-flat variant of the same family, not pixel-identical to a single Sh.1 unit)	33.8	33.8	page1_L06_seq26-39_8marks.jpg	idx1 (S5 core instance)	core-confirmed count alone (S5+Sh.1 only) = 61/222 = 27.5%; family-total including partial variants = 75
R2	small closed loop with short trailing tail, like cursive numeral "3"	A-S4(12)+B-Sh.2(17)	29	confirmed: subagent crop check called this "essentially identical numeral-3 stroke in every instance checked"	13.1	46.8	page1_L06_seq26-39_8marks.jpg	idx2 (S4 instance)
R3	back-curving hook, like numeral "5"/letter "b"	A-S6(12,partial)+B-Sh.3(12,partial)	24	weak/flagged: subagent found S6 instances "notably smaller/tighter" than Sh.3's "taller and more upright" instances -- "may represent two different size classes rather than one shape"	10.8	57.7	page1_L06_seq26-39_8marks.jpg	idx7 (S6, small variant)	larger Sh.3 variant exemplar: page3_L13_seq511-528_18marks.jpg idx1; NOT confirmed as one shape, reported as combined pending a size-class split a successor should re-test
R4	small hook opening left, like a backward comma / cursive "2"	A-S12(12) alone	12	confirmed A-only: subagent found A-S12 (small open hook) is NOT the same as B-Sh.9 (large closed loop, see R12) -- "size and closure differ enough to treat them as separate shapes"	5.4	63.1	page1_L09_seq61-79_17marks.jpg	idx2
R5	short horizontal bar/dash, on baseline OR as a superscript tick directly above a numeral	A-S28(1)+B-Sh.6(5)+B-Sh.5(5, superscript-tick placement)	11	confirmed: subagent found S28==Sh.6 ("same short-bar/double-stroke shape") AND Sh.5's stroke-shape==Sh.6's stroke-shape ("same short tick/dash shape, differing only in placement") -- the superscript tick is the SAME physical stroke as the ordinary baseline dash, just positioned above a numeral instead of on the baseline; not a distinct character	5.0	68.1	images/crops_0032L/f0032L_L11.jpg (corrected page2 crop, see note)	idx4 (Sh.6 baseline form)	superscript-tick exemplar: images/crops_0032L/f0032L_L10.jpg idx1 (Sh.5); both crops corrected from the buggy images/shorthand/page2_L10/L11 files per ARM-TR2's fix (page2 content-line N = f0032L_L0N.jpg directly, verified by md5sum match on the already-fixed L02/L06 pair)
R6	a single isolated dot	A-S14(10) alone	10	A-only, unconfirmed absence in B: subagent found no plain isolated dot among any of pass B's 20 cataloged shapes -- "a bare single dot does not appear to be a class pass B catalogued separately (it may have been folded into punctuation/periods rather than treated as its own mark)" -- treated as a possible pass-B undercount, not a real absence of dots on pages 2-3	4.5	72.6	page1_L09_seq61-79_17marks.jpg	idx7
R7	short diagonal slash stroke, like "/"	A-S3(7)+B-Sh.16(1)	8	confirmed: "identical simple diagonal / stroke, same size and angle, no distinguishing feature"	3.6	76.2	page1_L05_seq14-25_5marks.jpg	idx2
R9	hook with a descender tail below baseline, like cursive "y"/"j"/"p"	A-S19(2)+B-Sh.7(3)	5	partial: subagent called this "likely the same physical mark described from opposite ends, not confirmed as pixel-identical"	2.3	78.5	page1_L10_seq80-93_10marks.jpg	idx9
R10	sharp angular zigzag stroke, like cursive "z"	B-Sh.4(5) alone	5	B-only, no A candidate offered or found	2.3	80.8	page3_L06_seq427-438_2marks.jpg	idx2
R8	"%"-like compound mark: one or two small loops joined by a diagonal/horizontal slash	A-S9(2)+B-Sh.11(2)	4	confirmed: subagent -- "img6's mark is an unambiguous %"	1.8	82.6	page1_L06_seq26-39_8marks.jpg	idx6
R11	shallow open loop like a cup/smile, concave-up, open at top	A-S2(4) alone	4	confirmed distinct from R1 (wave family): subagent -- "concave-up open cup/smile, structurally different from the convex humps of S5/S16/S18/Sh.1 (opposite curvature)... should keep its own category rather than being folded into the wave group." Not in ARM-S1's original C1-C10 comparison.tsv categories.	1.8	84.4	page1_L04_seq3-13_1marks.jpg	idx1
R12	large closed loop with a descending tail, bulkier than R4, like a full cursive numeral "2"	B-Sh.9(2) alone	2	confirmed distinct from R4 (see R4's note); not in ARM-S1's original C1-C10 categories	0.9	85.3	page3_L05_seq417-426_7marks.jpg	idx2
