line	box	pos	x	y	w	h	code	dist	share	cluster_code	marks
1	c2a_01_001	1	43	72	3	11	BAR-THIN	4.650	0.60	BAR-THIN	
1	c2a_01_002	2	209	17	24	34	_	6.114	0.21	MISC-21	M-DASH-H|M-TILDE|M-TICK-V
1	c2a_01_003	3	233	35	15	17	X	5.215	0.78	X	
1	c2a_01_004	4	249	21	19	28	MISC-82	5.879	0.59	MISC-82	M-RING
1	c2a_01_005	5	285	17	30	35	PCT	6.657	0.41	MISC-76	
1	c2a_01_006	6	323	23	18	29	_	5.035	0.80	Y-CURL	M-DOT
1	c2a_01_007	7	345	24	20	28	MISC-13	5.663	0.42	MISC-21	
1	c2a_01_008	8	376	23	26	29	MISC-67	5.764	0.22	MISC-67	
1	c2a_01_009	9	415	38	11	13	BAR-SOLID	5.295	0.58	CIRC-TAIL	M-DASH-H
1	c2a_01_010	10	429	35	12	16	X	4.243	0.81	X	M-DASH-H
1	c2a_01_011	11	445	20	20	33	PCT	5.379	0.41	MISC-13	
1	c2a_01_012	12	476	18	27	34	AMP	5.966	0.82	AMP	
1	c2a_01_013	13	520	33	17	19	X	6.748	0.40	MISC-75	M-DASH-H|M-DASH-H
1	c2a_01_014	14	554	38	20	13	CIRC-TAIL	6.851	0.40	CIRC-O	M-TICK-V|M-DOT-FLAG
1	c2a_01_015	15	575	34	14	18	X	5.465	0.79	X	M-DOT|M-TICK-V
1	c2a_01_016	16	598	22	23	27	_	6.598	0.42	MISC-54	
1	c2a_01_017	17	634	28	21	23	MISC-33	5.442	0.82	MISC-33	
1	c2a_01_018	18	660	26	17	24	X	2.222	0.78	MISC-05	M-TICK-V
1	c2a_01_019	19	693	11	21	41	V-DOT	5.647	0.43	V-DOT	
1	c2a_01_020	20	729	35	10	14	MISC-17	6.313	0.21	MISC-17	M-RING
1	c2a_01_021	21	740	36	10	16	_	5.214	0.20	BAR-THIN	
1	c2a_01_022	22	758	30	13	14	EYE-DOT	5.956	0.40	CIRC-O	M-DASH-H
1	c2a_01_023	23	779	76	19	7	DASH-H	7.367	0.61	DASH-H	M-TILDE
1	c2a_01_024	24	786	20	41	30	MISC-67	5.849	0.41	MISC-31	M-DASH-H
1	c2a_01_025	25	831	23	25	27	PCT	5.547	0.61	PCT	
1	c2a_01_026	26	870	40	10	11	EYE-DOT	5.374	0.59	EYE-DOT	M-DASH-H
1	c2a_01_027	27	877	0	52	13	DASH-H	6.533	0.81	DASH-H	M-DOT-FLAG|M-DOT
1	c2a_01_028	28	891	35	12	17	X	5.081	0.60	X	
1	c2a_01_029	29	917	28	16	23	X	5.738	0.58	MISC-75	M-DOT
1	c2a_01_030	30	941	29	20	27	RHO	4.759	0.83	RHO	
1	c2a_01_031	31	964	18	19	33	HOOK-L	7.402	0.21	MISC-03	M-RING
1	c2a_01_032	32	987	25	12	24	X	4.492	0.60	X	
1	c2a_01_033	33	999	40	9	10	MISC-55	3.542	0.59	MISC-55	
