line	box	pos	x	y	w	h	code	dist	share	cluster_code	marks
1	c4b_01_001	1	356	34	27	35	_	4.610	0.62	_	
1	c4b_01_002	2	402	37	37	31	_	6.447	0.40	_	?
1	c4b_01_003	3	439	35	20	33	X	2.917	0.56	_	?
1	c4b_01_004	4	463	41	33	33	X	4.737	0.37	_	
1	c4b_01_005	5	510	46	29	23	_	6.948	0.60	_	
1	c4b_01_006	6	562	26	24	42	_	6.120	0.61	_	
1	c4b_01_007	7	613	56	14	15	BAR-SOLID	6.031	0.80	_	?
1	c4b_01_008	8	653	39	48	32	MISC-05	5.365	0.80	_	
1	c4b_01_009	9	716	35	31	37	PCT	4.856	0.41	_	
1	c4b_01_010	10	754	34	19	33	_	7.240	0.61	_	
1	c4b_01_011	11	784	27	33	38	MISC-40	7.503	0.20	_	?
2	c4b_02_001	1	372	115	24	26	_	5.058	0.44	_	
2	c4b_02_002	2	412	112	32	36	MISC-05	5.947	1.00	_	
2	c4b_02_003	3	455	104	20	38	MISC-13	5.574	0.61	_	
2	c4b_02_004	4	484	111	25	32	MISC-05	5.896	0.61	_	
2	c4b_02_005	5	520	112	31	29	MISC-31	6.452	0.21	_	
2	c4b_02_006	6	560	114	18	27	_	3.650	0.63	_	?
2	c4b_02_007	7	589	119	21	22	MISC-33	4.650	0.62	_	
2	c4b_02_008	8	617	115	22	25	PCT	5.081	0.61	_	
2	c4b_02_009	9	653	111	25	30	_	6.220	0.43	_	
2	c4b_02_010	10	687	111	27	33	AMP	6.211	0.42	_	
2	c4b_02_011	11	720	94	20	46	_	5.858	0.60	_	
2	c4b_02_012	12	754	111	34	30	Y-CURL	7.146	0.41	_	
2	c4b_02_013	13	798	110	25	31	PCT	5.298	0.42	_	
2	c4b_02_014	14	827	111	27	30	PCT	4.653	0.81	_	
2	c4b_02_015	15	867	122	35	12	DASH-H	3.669	0.72	_	?
3	c4b_03_001	1	370	179	32	36	DELTA-TAIL	5.979	0.22	_	?
3	c4b_03_002	2	411	178	22	39	MISC-36	5.129	0.61	_	
3	c4b_03_003	3	438	186	34	36	_	4.737	0.43	_	
3	c4b_03_004	4	481	182	23	33	HOOK-L	5.702	0.59	_	
3	c4b_03_005	5	502	190	15	16	EYE-DOT	3.177	0.60	_	
3	c4b_03_006	6	519	183	25	32	Y-CURL	6.060	0.60	_	
3	c4b_03_007	7	553	176	44	38	MISC-31	5.534	0.80	_	
3	c4b_03_008	8	610	194	35	20	MISC-20	6.590	1.00	_	?
3	c4b_03_009	9	660	173	28	43	_	5.936	0.59	_	
3	c4b_03_010	10	693	180	26	35	_	5.730	0.78	_	
3	c4b_03_011	11	729	180	32	36	_	6.470	0.40	_	
3	c4b_03_012	12	771	187	22	28	_	5.543	0.42	_	?
3	c4b_03_013	13	804	184	34	26	WAVE	5.123	0.59	_	
4	c4b_04_001	1	367	248	24	47	_	5.606	0.60	_	
4	c4b_04_002	2	401	261	26	33	_	5.329	0.62	_	
4	c4b_04_003	3	436	255	26	40	_	5.191	0.40	_	
4	c4b_04_004	4	464	263	21	32	X	2.917	0.57	_	?
4	c4b_04_005	5	499	279	16	31	_	5.840	0.80	_	
4	c4b_04_006	6	512	259	27	39	_	6.336	0.41	_	
4	c4b_04_007	7	549	263	27	32	_	6.882	0.59	_	
4	c4b_04_008	8	589	265	16	31	HOOK-L	4.027	0.78	_	
4	c4b_04_009	9	599	264	19	30	HOOK-L	3.945	0.59	_	
4	c4b_04_010	10	615	270	16	14	_	3.177	0.42	_	
4	c4b_04_011	11	637	260	31	42	_	3.949	0.60	_	
4	c4b_04_012	12	677	262	29	32	MISC-13	6.560	0.40	_	?
4	c4b_04_013	13	723	278	12	15	EYE-DOT	6.068	0.39	_	?
4	c4b_04_014	14	738	278	11	13	_	4.147	0.58	_	
4	c4b_04_015	15	756	266	40	25	_	5.023	0.38	_	
4	c4b_04_016	16	803	262	28	32	PCT	6.413	0.41	_	
5	c4b_05_001	1	369	343	25	41	MISC-21	6.016	0.21	_	
5	c4b_05_002	2	409	329	30	39	_	6.626	0.59	_	
5	c4b_05_003	3	441	351	23	23	X	7.660	0.81	_	
5	c4b_05_004	4	471	342	31	24	TRIDENT	5.260	0.62	_	
5	c4b_05_005	5	510	345	34	50	PCT	5.937	0.40	_	
5	c4b_05_006	6	553	342	18	27	_	6.154	0.40	_	
5	c4b_05_007	7	573	337	31	48	_	4.166	0.40	_	
5	c4b_05_008	8	614	330	23	33	DELTA-TAIL	5.502	1.00	_	
5	c4b_05_009	9	648	336	28	32	_	6.446	0.39	_	
5	c4b_05_010	10	695	339	28	29	_	7.365	0.60	_	
5	c4b_05_011	11	741	324	31	44	MISC-36	5.601	0.61	_	
5	c4b_05_012	12	782	340	16	29	_	5.846	0.61	_	
5	c4b_05_013	13	803	347	16	25	X	5.419	1.00	_	?
5	c4b_05_014	14	833	337	32	31	_	6.397	0.22	_	
