line	box	pos	code	dist	share
1	c4a_01_001	1	MISC-05	6.447	0.40
1	c4a_01_002	2	_	6.220	0.44
1	c4a_01_003	3	X	5.718	0.40
1	c4a_01_004	4	PHI	3.816	0.62
1	c4a_01_005	5	X	5.792	1.00
1	c4a_01_006	6	MISC-05	6.296	0.38
1	c4a_01_007	7	MISC-17	5.348	0.41
1	c4a_01_008	8	BAR-SERIF	5.190	0.60
1	c4a_01_009	9	LOOP-TAIL	5.683	1.00
1	c4a_01_010	10	X	4.140	1.00
1	c4a_01_011	11	X	6.705	0.42
1	c4a_01_012	12	X	4.081	0.60
1	c4a_01_013	13	PCT	5.086	0.42
1	c4a_01_014	14	WAVE	5.593	0.41
2	c4a_02_001	1	MISC-24	5.907	0.41
2	c4a_02_002	2	PCT	5.169	0.81
2	c4a_02_003	3	X	6.397	0.39
2	c4a_02_004	4	X	4.197	0.61
2	c4a_02_005	5	X	4.713	0.80
2	c4a_02_006	6	MISC-54	6.481	0.40
2	c4a_02_007	7	CROSS-T	6.149	0.62
2	c4a_02_008	8	MISC-21	6.733	0.22
2	c4a_02_009	9	MISC-33	6.498	0.40
2	c4a_02_010	10	MISC-67	6.023	0.40
2	c4a_02_011	11	VENUS	4.871	0.43
2	c4a_02_012	12	X	3.898	1.00
2	c4a_02_013	13	CIRC-TAIL	6.135	0.44
3	c4a_03_001	1	SUN	5.360	1.00
3	c4a_03_002	2	VEE	5.712	0.22
3	c4a_03_003	3	MISC-55	2.978	0.64
3	c4a_03_004	4	X	3.245	0.83
3	c4a_03_005	5	MISC-31	5.902	1.00
3	c4a_03_006	6	MISC-17	6.401	0.39
3	c4a_03_007	7	AMP	5.169	0.80
3	c4a_03_008	8	X	5.000	0.62
3	c4a_03_009	9	Y-CURL	6.534	0.59
3	c4a_03_010	10	LOOP-TAIL	6.598	0.38
3	c4a_03_011	11	PCT	7.129	0.60
3	c4a_03_012	12	X	4.835	1.00
3	c4a_03_013	13	MISC-32	4.297	0.43
4	c4a_04_001	1	LOOP-TAIL	7.014	0.39
4	c4a_04_002	2	PCT	5.894	0.59
4	c4a_04_003	3	TRIPOD	4.746	0.58
4	c4a_04_004	4	X	4.103	0.58
4	c4a_04_005	5	MISC-05	6.668	0.60
4	c4a_04_006	6	MISC-05	5.128	0.60
4	c4a_04_007	7	VENUS	4.112	0.38
4	c4a_04_008	8	_	6.514	0.21
4	c4a_04_009	9	PCT	4.918	0.43
4	c4a_04_010	10	BAR-SOLID	3.476	0.81
4	c4a_04_011	11	WAVE	5.642	0.80
4	c4a_04_012	12	HOOK-L	4.610	0.53
4	c4a_04_013	13	CIRC-O	5.665	0.62
4	c4a_04_014	14	X	5.556	1.00
4	c4a_04_015	15	MISC-31	5.677	0.81
4	c4a_04_016	16	PCT	4.358	0.41
4	c4a_04_017	17	MISC-55	3.542	1.00
4	c4a_04_018	18	MISC-17	6.114	0.41
5	c4a_05_001	1	VEE	5.638	0.80
5	c4a_05_002	2	CRESCENT	5.537	0.45
5	c4a_05_003	3	TRIPOD	4.533	0.81
5	c4a_05_004	4	WAVE	5.879	0.59
5	c4a_05_005	5	MISC-36	6.405	0.22
5	c4a_05_006	6	_	5.677	0.41
5	c4a_05_007	7	X	4.720	1.00
5	c4a_05_008	8	GEAR-DOT	5.573	0.41
5	c4a_05_009	9	MISC-55	4.877	0.42
5	c4a_05_010	10	X	5.233	0.81
5	c4a_05_011	11	MISC-54	7.212	0.21
5	c4a_05_012	12	MISC-30	5.357	0.40
5	c4a_05_013	13	CROSS-T	6.833	0.61
5	c4a_05_014	14	BAR-SOLID	5.812	0.61
5	c4a_05_015	15	_	5.712	0.23
5	c4a_05_016	16	Y-CURL	4.324	0.23
5	c4a_05_017	17	GEAR-DOT	4.390	0.41
5	c4a_05_018	18	MISC-55	4.306	0.40
6	c4a_06_001	1	_	6.511	0.21
6	c4a_06_002	2	CROSS-T	5.803	0.60
6	c4a_06_003	3	HOOK-L	5.972	0.40
6	c4a_06_004	4	DASH-H	6.089	0.62
6	c4a_06_005	5	DELTA-TAIL	5.817	0.22
6	c4a_06_006	6	MISC-54	5.736	0.41
6	c4a_06_007	7	_	4.010	0.58
6	c4a_06_008	8	_	3.650	0.60
6	c4a_06_009	9	VENUS	4.030	0.42
6	c4a_06_010	10	PHI	5.998	0.21
6	c4a_06_011	11	MISC-05	3.657	0.80
6	c4a_06_012	12	_	8.159	0.41
6	c4a_06_013	13	MISC-33	7.537	0.21
6	c4a_06_014	14	MISC-05	5.796	0.39
6	c4a_06_015	15	PCT	6.958	0.21
7	c4a_07_001	1	PCT	4.344	1.00
7	c4a_07_002	2	X	4.864	0.61
7	c4a_07_003	3	MISC-20	6.040	0.41
7	c4a_07_004	4	_	5.840	0.22
7	c4a_07_005	5	MISC-46	5.566	0.41
7	c4a_07_006	6	X	4.721	0.61
7	c4a_07_007	7	PCT	6.744	0.40
7	c4a_07_008	8	MISC-05	4.434	0.60
7	c4a_07_009	9	TRIDENT	6.191	0.41
7	c4a_07_010	10	PHI	3.712	1.00
7	c4a_07_011	11	WAVE	6.194	0.42
7	c4a_07_012	12	PCT	5.262	0.41
7	c4a_07_013	13	MISC-33	6.595	0.81
7	c4a_07_014	14	CIRC-TAIL	4.640	0.47
8	c4a_08_001	1	MISC-17	6.828	0.40
8	c4a_08_002	2	_	4.957	0.43
8	c4a_08_003	3	DELTA-TAIL	5.054	0.62
8	c4a_08_004	4	Y-CURL	7.343	0.40
8	c4a_08_005	5	MISC-05	3.690	0.62
8	c4a_08_006	6	X	4.811	0.81
8	c4a_08_007	7	X	7.365	0.59
8	c4a_08_008	8	GEAR-DOT	5.521	0.63
8	c4a_08_009	9	WAVE	5.087	0.79
8	c4a_08_010	10	CROSS-T	5.258	1.00
8	c4a_08_011	11	X	4.906	0.81
8	c4a_08_012	12	CROSS-T	5.726	0.42
8	c4a_08_013	13	X	7.232	0.40
8	c4a_08_014	14	X	6.271	0.61
8	c4a_08_015	15	MISC-33	5.093	1.00
8	c4a_08_016	16	LOOP-TAIL	5.012	0.57
8	c4a_08_017	17	PCT	5.163	0.37
9	c4a_09_001	1	MISC-05	6.199	0.38
9	c4a_09_002	2	Y-CURL	4.462	0.61
9	c4a_09_003	3	VENUS	6.058	0.21
9	c4a_09_004	4	BAR-SOLID	4.630	1.00
9	c4a_09_005	5	MISC-33	6.910	0.39
9	c4a_09_006	6	_	6.679	0.39
9	c4a_09_007	7	NOTE	6.390	0.61
9	c4a_09_008	8	MISC-29	6.454	1.00
9	c4a_09_009	9	VENUS	6.621	0.40
9	c4a_09_010	10	MISC-33	5.799	1.00
9	c4a_09_011	11	TRIPOD	5.465	0.59
9	c4a_09_012	12	_	6.560	0.40
9	c4a_09_013	13	MISC-82	6.333	0.42
9	c4a_09_014	14	VENUS	4.677	0.40
9	c4a_09_015	15	BAR-SOLID	5.170	0.79
10	c4a_10_001	1	MISC-43	6.679	0.20
10	c4a_10_002	2	PCT	5.358	0.23
10	c4a_10_003	3	NOTE	5.868	0.43
10	c4a_10_004	4	SUN	6.556	0.77
10	c4a_10_005	5	X	5.276	0.80
10	c4a_10_006	6	BAR-SERIF	4.794	1.00
10	c4a_10_007	7	CRESCENT	6.056	0.42
10	c4a_10_008	8	MISC-24	7.558	0.20
10	c4a_10_009	9	BAR-SOLID	3.293	0.83
10	c4a_10_010	10	X	6.340	0.79
10	c4a_10_011	11	MISC-29	7.642	0.61
10	c4a_10_012	12	MISC-29	5.323	0.44
10	c4a_10_013	13	X	4.589	0.79
10	c4a_10_014	14	X	4.706	1.00
10	c4a_10_015	15	X	8.198	0.60
10	c4a_10_016	16	TRIPOD	5.058	0.38
10	c4a_10_017	17	PCT	7.115	0.21
11	c4a_11_001	1	MISC-07	6.312	0.21
11	c4a_11_002	2	LOOP-TAIL	5.446	0.58
11	c4a_11_003	3	PHI	6.293	0.81
11	c4a_11_004	4	MISC-29	6.392	0.80
11	c4a_11_005	5	MISC-29	5.813	1.00
11	c4a_11_006	6	MISC-17	8.233	0.40
11	c4a_11_007	7	MISC-33	5.607	0.63
11	c4a_11_008	8	TRIPOD	5.178	0.60
11	c4a_11_009	9	RHO	6.537	0.81
11	c4a_11_010	10	MISC-71	6.816	0.22
11	c4a_11_011	11	MISC-55	5.664	0.60
12	c4a_12_001	1	MISC-29	7.000	0.78
12	c4a_12_002	2	MISC-46	7.504	0.20
12	c4a_12_003	3	PHI	7.050	0.40
12	c4a_12_004	4	TRIPOD	4.964	0.42
12	c4a_12_005	5	WAVE	7.129	0.40
12	c4a_12_006	6	MISC-30	6.094	0.23
12	c4a_12_007	7	X	6.812	0.40
12	c4a_12_008	8	WAVE	6.403	0.40
12	c4a_12_009	9	CROSS-T	6.735	0.21
12	c4a_12_010	10	BAR-SOLID	5.077	0.61
12	c4a_12_011	11	MISC-37	5.556	0.43
12	c4a_12_012	12	Y-CURL	7.541	0.40
12	c4a_12_013	13	X	6.102	0.39
12	c4a_12_014	14	MISC-32	4.788	0.23
12	c4a_12_015	15	_	5.329	0.41
12	c4a_12_016	16	X	6.387	0.40
12	c4a_12_017	17	MISC-17	5.952	0.40
12	c4a_12_018	18	X	5.214	1.00
12	c4a_12_019	19	MISC-31	6.305	0.61
13	c4a_13_001	1	SUN	7.061	1.00
13	c4a_13_002	2	X	5.952	0.81
