line	box	pos	code	dist	share
1	c4b_01_001	1	HOOK-L	4.610	0.57
1	c4b_01_002	2	_	6.447	0.40
1	c4b_01_003	3	X	3.817	0.62
1	c4b_01_004	4	MISC-24	5.956	0.40
1	c4b_01_005	5	MISC-46	6.948	0.41
1	c4b_01_006	6	TRIPOD	6.616	0.21
1	c4b_01_007	7	BAR-SOLID	6.031	0.80
1	c4b_01_008	8	MISC-05	5.365	0.80
1	c4b_01_009	9	PCT	4.856	0.41
1	c4b_01_010	10	DELTA-TAIL	7.240	0.39
1	c4b_01_011	11	MISC-40	7.503	0.20
2	c4b_02_001	1	_	5.058	0.44
2	c4b_02_002	2	MISC-05	5.947	1.00
2	c4b_02_003	3	MISC-13	5.574	0.62
2	c4b_02_004	4	MISC-05	5.896	0.61
2	c4b_02_005	5	MISC-31	6.452	0.21
2	c4b_02_006	6	X	3.650	0.54
2	c4b_02_007	7	MISC-33	4.650	0.62
2	c4b_02_008	8	PCT	5.081	0.81
2	c4b_02_009	9	_	6.220	0.43
2	c4b_02_010	10	AMP	6.211	0.42
2	c4b_02_011	11	MISC-76	5.858	0.22
2	c4b_02_012	12	Y-CURL	7.146	0.41
2	c4b_02_013	13	PCT	5.298	0.42
2	c4b_02_014	14	PCT	4.653	0.81
2	c4b_02_015	15	DASH-H	3.669	0.72
3	c4b_03_001	1	MISC-05	5.979	0.38
3	c4b_03_002	2	MISC-36	5.129	0.63
3	c4b_03_003	3	X	5.895	0.40
3	c4b_03_004	4	HOOK-L	5.773	0.79
3	c4b_03_005	5	EYE-DOT	3.506	0.81
3	c4b_03_006	6	Y-CURL	6.060	0.60
3	c4b_03_007	7	MISC-31	5.534	0.80
3	c4b_03_008	8	MISC-20	6.590	1.00
3	c4b_03_009	9	TRIPOD	5.936	0.22
3	c4b_03_010	10	_	5.730	0.78
3	c4b_03_011	11	_	6.470	0.21
3	c4b_03_012	12	TRIPOD	5.543	0.40
3	c4b_03_013	13	WAVE	5.123	0.59
4	c4b_04_001	1	_	5.606	0.40
4	c4b_04_002	2	_	5.329	0.62
4	c4b_04_003	3	_	5.191	0.39
4	c4b_04_004	4	X	3.544	0.81
4	c4b_04_005	5	_	5.840	0.80
4	c4b_04_006	6	_	6.336	0.41
4	c4b_04_007	7	_	6.882	0.59
4	c4b_04_008	8	HOOK-L	4.027	0.84
4	c4b_04_009	9	HOOK-L	3.945	0.81
4	c4b_04_010	10	EYE-DOT	3.293	0.61
4	c4b_04_011	11	_	3.949	0.40
4	c4b_04_012	12	MISC-13	6.560	0.40
4	c4b_04_013	13	EYE-DOT	6.068	0.39
4	c4b_04_014	14	_	4.147	0.58
4	c4b_04_015	15	MISC-24	5.023	0.38
4	c4b_04_016	16	PCT	6.413	0.41
5	c4b_05_001	1	MISC-21	6.016	0.21
5	c4b_05_002	2	_	6.626	0.39
5	c4b_05_003	3	X	7.660	0.81
5	c4b_05_004	4	TRIDENT	5.260	0.62
5	c4b_05_005	5	PCT	5.937	0.40
5	c4b_05_006	6	PCT	6.154	0.20
5	c4b_05_007	7	MISC-17	4.436	0.41
5	c4b_05_008	8	DELTA-TAIL	5.502	1.00
5	c4b_05_009	9	_	6.446	0.39
5	c4b_05_010	10	_	7.365	0.60
5	c4b_05_011	11	MISC-36	5.601	0.61
5	c4b_05_012	12	_	5.846	0.22
5	c4b_05_013	13	X	5.419	1.00
5	c4b_05_014	14	_	6.397	0.22
