line	box	pos	x	y	w	h	code	dist	share	cluster_code	marks
1	c3_01_001	1	32	41	66	55	SUN	6.727	0.37	SUN	
1	c3_01_002	2	103	44	27	27	_	5.556	0.41	MISC-37	
1	c3_01_003	3	129	51	17	20	PCT	6.408	0.60	PCT	
1	c3_01_004	4	152	51	14	17	X	7.535	0.41	CIRC-TAIL	
1	c3_01_005	5	166	50	18	19	MISC-17	5.933	0.42	MISC-40	
1	c3_01_006	6	192	50	17	26	LOOP-TAIL	6.532	0.40	MISC-54	
1	c3_01_007	7	217	53	17	19	_	4.650	0.64	MISC-33	M-SLASH-SM
1	c3_01_008	8	240	50	23	21	_	5.286	0.59	MISC-46	
1	c3_01_009	9	266	48	32	20	WAVE	5.404	0.43	MISC-20	M-DOT
1	c3_01_010	10	301	49	21	23	X	5.048	1.00	X	M-DOT
1	c3_01_011	11	333	49	13	23	MISC-13	6.050	0.59	MISC-13	
1	c3_01_012	12	354	47	26	26	_	6.798	0.39	X	
1	c3_01_013	13	384	48	23	24	MISC-05	2.279	0.79	MISC-05	M-RING
1	c3_01_014	14	418	49	32	26	WAVE	6.400	0.42	WAVE	M-TILDE
1	c3_01_015	15	465	41	20	31	_	6.186	0.41	PCT	
1	c3_01_016	16	487	51	20	22	X	4.685	0.78	X	M-DOT
1	c3_01_017	17	516	49	17	22	_	5.726	0.60	CROSS-T	
1	c3_01_018	18	541	22	29	50	MISC-36	6.217	0.39	MISC-35	
1	c3_01_019	19	580	41	18	29	HOOK-L	3.761	1.00	HOOK-L	M-DASH-H
1	c3_01_020	20	612	46	25	46	V-DOT	6.895	0.39	MISC-79	
1	c3_01_021	21	645	44	38	44	_	7.146	0.22	MISC-06	M-DOT
1	c3_01_022	22	685	43	30	13	WAVE	6.741	0.42	WAVE	
1	c3_01_023	23	691	60	12	10	_	3.293	0.48	EYE-DOT	
1	c3_01_024	24	704	57	13	30	TRIPOD	6.791	0.61	TRIPOD	
1	c3_01_025	25	729	49	18	24	MISC-05	3.595	0.81	MISC-05	
1	c3_01_026	26	761	43	41	29	MISC-29	6.312	0.40	MISC-29	
1	c3_01_027	27	804	51	16	18	X	5.184	0.80	X	M-DOT
1	c3_01_028	28	830	51	15	17	_	6.207	0.41	MISC-46	
1	c3_01_029	29	850	52	16	16	X	2.978	1.00	X	M-RING
1	c3_01_030	30	868	51	27	16	MISC-20	6.348	0.60	MISC-20	
1	c3_01_031	31	895	58	5	9	BAR-SERIF	4.333	0.58	BAR-SERIF	
1	c3_01_032	32	900	25	20	45	MISC-76	6.766	0.60	MISC-76	
1	c3_01_033	33	918	47	16	22	_	5.801	0.41	MISC-17	
1	c3_01_034	34	931	62	9	8	MISC-55	5.179	0.40	MISC-32	
1	c3_01_035	35	953	63	4	26	BAR-THIN	5.552	0.80	BAR-THIN	M-TICK-V|M-DASH-H
2	c3_02_001	1	0	122	14	33	PCT	5.894	0.41	PCT	
2	c3_02_002	2	47	96	47	50	SUN	3.933	1.00	SUN	
2	c3_02_003	3	97	112	18	25	_	4.746	0.42	MISC-54	M-DOT-FLAG
2	c3_02_004	4	132	118	10	8	MISC-55	4.843	0.58	BAR-SOLID	M-TILDE
