briefnr	page	content	cipher_design	hand	note
5200	1	clear opening line then cipher	French numerals, 2-3 digit, seen up to ~98	secretary (Willem's clerk)	continuous body cipher after 1-line greeting
5200	2	cipher	same design, dense columns	secretary	full page cipher, no clear breaks seen
5200	3	cipher then clear close + signature	same design	secretary + autograph signature	closes with docket note, values up to ~99 seen
5207	1	clear opening line then cipher	French numerals 2-3 digit, up to ~57 seen	secretary	KHAG A3,895/I printed footer on every page (WVO scan watermark)
5207	2	cipher	same design	secretary	dense, no clear breaks
5207	3	cipher then clear address/date line + autograph signature ("Guillaume de Nassau")	same design	secretary + autograph	docket: "A Monsieur mon frere le Comte Jan de Nassau ... Gorenchem ... 1574"
5213	1	cipher, heavy fading	French numerals 2-digit, up to ~92 seen	secretary	poor scan contrast, dense text block
5213	2	cipher	same design	secretary	dense, continuing
5213	3	cipher then clear closing lines	same design	secretary	closing about "commerce", "grand Vicomte"
5213	4	mostly blank, docket + autograph signature	n/a	autograph	address/date leaf, "26 de Decembre 1574" note visible
5218	1	clear + cipher mixed	French numerals, up to ~91 seen	secretary	marginal notes "de Deventer", "de Duitsland"
5218	2	cipher	same design	secretary	dense, some marginal annotations
5218	3	cipher	same design	secretary	marginal annotations continue ("de Cologne au...", "de Cologne")
5218	4	mostly blank, docket + autograph signature	n/a	autograph	"faict a Dordrecht ce ... Mars 1575", signed "Guillaume de Nassau"
5218	5	PRINTED EDITION PAGE bundled in same PDF -- Groen van Prinsterer, "LETTRE DXLII. Le Prince d'Orange au Comte Jean de Nassau" (title page)	n/a (print)	print	*** see NOTES.md flag: this letter's own printed text is bundled in the WVO scan ***
5218	6	PRINTED EDITION PAGE, p.141 (continuation of Lettre DXLII, dated Bréda / communication avecq 1575)	n/a (print)	print	full French text of the letter's substance
5218	7	PRINTED EDITION PAGE, p.142 (continuation, mentions "affaire de Besançon", salines negotiation, and "le Comte Günther de Schwartzenburg")	n/a (print)	print	cross-reference to Günther van Schwarzburg circle
5218	8	PRINTED EDITION PAGE, p.143 (letter's close, "Dordrecht, 4 mars", signed "Guillaume de Nassau")	n/a (print)	print	date/place/signature match target exactly -- see NOTES.md flag
5221	1	clear French prose, light/no cipher visible at this resolution	n/a or very sparse numerals	secretary	needs a closer pass to confirm "partly" cipher extent
5221	2	clear French prose	n/a or sparse numerals	secretary	as p1
5221	3	cipher numeral passage embedded in clear prose	French numerals, 2-digit, up to ~90 seen	secretary	signed "de Chasteauneuf"/"Jean Commissaire" marginal note
5221	4	cipher numeral passage embedded in clear prose	same design, up to ~137 seen	secretary	marginal notes "de Chasteauneuf", "de Orange"
5221	5	clear French prose, closing + autograph signature	n/a	secretary + autograph	dated "1575" at bottom
5221	6	mostly blank, docket/address leaf with seal	n/a	autograph	address to "Conte Jehan de Nassau"
5222	1	clear French prose	n/a or sparse numerals	secretary
5222	2	clear French prose	n/a or sparse numerals	secretary
5222	3	clear French prose, some cipher-like passages	sparse numerals	secretary
5222	4	cipher numeral passage	French numerals 2-3 digit, up to ~157 seen	secretary
5222	5	cipher numeral passage	same design, up to ~180 seen	secretary
5222	6	mostly blank, docket/address leaf with seal	n/a	autograph	"Comte Jehan de Nassau", dated "1575"
5222	7	DECIPHERMENT WORKSHEET on separate leaf -- numbered plaintext phrases keyed to instruction points (1-8: "quand paix affaires de celle de Saxe", "ses parens sceussent pour ... entretenement", "celle demeurera ... enuoiray mille florins", "les dict 2 parens ... traictement", "l'instruction don(n)ee au Conte Wolf d'Hohenlohe", etc.)	plaintext notes, not numeral cipher	different hand (annotator, not the letter's secretary)	*** possible contemporary decipherment/briefing note -- see NOTES.md flag; not itself the ciphertext of 5222 ***
5222	8	PRINTED EDITION PAGE bundled in same PDF -- Groen van Prinsterer, "LETTRE DLXXVII. Le Prince d'Orange au Comte Jean de Nassau. Sieges et combats en Hollande et Zelande" (title page)	n/a (print)	print	*** see NOTES.md flag ***
5222	9	PRINTED EDITION PAGE, p.280 (siege of Schoonhoven, Woerden, etc.)	n/a (print)	print
5222	10	PRINTED EDITION PAGE, p.281 (continues, Zierikzee)	n/a (print)	print
5222	11	PRINTED EDITION PAGE, p.282 (Comte Wolff de Hohenlohe, marriage treaty with Saxe)	n/a (print)	print	cross-reference to the Hohenlohe/Saxe negotiation named on p7's worksheet
