line	pos	code	marks	source	reason
1	16	U		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
1	28	U		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
1	29	g		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
3	11	#	dot	B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
5	16	S7		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
5	18	w		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
6	27	+		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
7	2	_		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
8	3	_		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
8	6	_		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
8	7	_		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
8	15	_		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
8	19	_		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
8	21	_		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
8	22	_		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
8	24	_		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
8	27	L		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
9	6	#	dot	B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
9	17	nt		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
9	17.5	S7		B-split	pass B split a merged box; not in the boxlist/pass A at all
10	1	]		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
10	7	eps	5	B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
10	9	eps		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
10	22	tee		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
10	25	S7	5	B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
11	8	S		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
11	10	_		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
11	11	_		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
11	13	_		B	settled to pass B: closer 5x-zoom atlas comparison against pass A's classifier-anchored read
