letter	line	idx	sign	v2_value	v2_grade	v3_value	v3_grade	kind
5797	p6_spot4	1	172	?	U	lecontejean	M	value
5797	p6_spot4	5	95	g	I	g	M	grade
5797	p8_spot7	5	129	NULL	C	NULL	M	grade
4610	p1_L05	16	129	NULL	C	NULL	M	grade
4610	p1_L21	13	129	NULL	C	NULL	M	grade
4610	p1_L31	15	95	g	I	g	M	grade
4610	p2_L02	8	129	NULL	C	NULL	M	grade
4610	p2_L07	4	129	NULL	C	NULL	M	grade
4610	p2_L17	10	95	g	I	g	M	grade
4610	p2_L19	13	129	NULL	C	NULL	M	grade
4610	p3_L06	2	129	NULL	C	NULL	M	grade
4610	p3_L08	10	95	g	I	g	M	grade
4610	p3_L10	4	129	NULL	C	NULL	M	grade
4610	p3_L15	8	129	NULL	C	NULL	M	grade
4611	p1_L03	1	172	?	U	lecontejean	H	value
4611	p1_L03	8	129	NULL	C	NULL	M	grade
4611	p1_L10	8	129	NULL	C	NULL	M	grade
4611	p1_L14	7	129	NULL	C	NULL	M	grade
4611	p1_L16	17	129	NULL	C	NULL	M	grade
4611	p1_L18	11	129	NULL	C	NULL	M	grade
4611	p1_L22	23	129	NULL	C	NULL	M	grade
4611	p1_L26	18	95	g	I	g	M	grade
4611	p1_L29	13	129	NULL	C	NULL	M	grade
4611	p1_L31	9	129	NULL	C	NULL	M	grade
4611	p1_L31	18	95	g	I	g	M	grade
4611	p2_L01	12	129	NULL	C	NULL	M	grade
4611	p2_L06	6	129	NULL	C	NULL	M	grade
4611	p2_L08	18	129	NULL	C	NULL	M	grade
4611	p2_L08	21	95	g	I	g	M	grade
4611	p2_L16	16	95	g	I	g	M	grade
