run	page	pos	token	kind	left	right
1	141	1	73	num	ff derhalben damit auch schreiben will.	
1	141	2	50	num		
1	141	3	28	num		
1	141	4	9	num		
1	141	5	335	num		
1	141	6	aus	clear		
1	141	7	14	num		
1	141	8	24	num		
1	141	9	316	num		ist noch auf dem wege und nunmehr 8. 98
2	141	1	8	num	316. ist noch auf dem wege und nunmehr	
2	141	2	98	num		
2	141	3	125	num		
2	141	4	53	num		
2	141	5	54	num		
2	141	6	42	num		
2	141	7	126	num		
2	141	8	302	num		bitt E.G. wollen vermöge meins vorigen
3	141	1	128	num	ins vorigen schreiben unsz verstendigen	
3	141	2	133	num		
3	141	3	101	num		
3	141	4	4	num		
3	141	5	69	num		
3	141	6	100	num		
3	141	7	13	num		
3	141	8	91	num		
3	141	9	9	num		
3	141	10	106	num		
3	141	11	4	num		
3	141	12	32	num		
3	141	13	und	clear		
3	141	14	121	num		
3	141	15	99	num		
3	141	16	104	num		
3	141	17	120	num		
3	141	18	19	num		man so 9. 24. 86. 62. 7. 59. 28. 9. 48.
4	141	1	9	num	. 32. und 121. 99. 104. 120. 19. man so	
4	141	2	24	num		
4	141	3	86	num		
4	141	4	62	num		
4	141	5	7	num		
4	141	6	59	num		
4	141	7	28	num		
4	141	8	9	num		
4	141	9	48	num		
4	141	10	72	num		
4	141	11	3	num		
4	141	12	23	num		
4	141	13	67	num		
4	141	14	90	num		en. Es ist gleichwol albereit viel dara
5	141	1	70	num	n. Es ist gleichwol albereit viel daran	
5	141	2	51	num		
5	141	3	2	num		
5	141	4	60	num		
5	141	5	93	num		
5	141	6	en	clear		
5	141	7	14	num		
5	141	8	9	num		Sie haben in 316. 127. 136. der von 137
6	141	1	316	num	. 51. 2. 60. 93. en 14. 9. Sie haben in	
6	141	2	127	num		
6	141	3	136	num		der von 137. 42. 64. 29. 114. und ander
7	141	1	137	num	9. Sie haben in 316. 127. 136. der von	
7	141	2	42	num		
7	141	3	64	num		
7	141	4	29	num		
7	141	5	114	num		und andere ahn xlviii. 124. 135. 10. 32
8	141	1	124	num	42. 64. 29. 114. und andere ahn xlviii.	
8	141	2	135	num		
8	141	3	10	num		
8	141	4	32	num		
8	141	5	55	num		
8	141	6	88	num		
8	141	7	80	num		
8	141	8	en	clear		
8	141	9	14	num		
8	141	10	19	num		desgleichen auch 181. dasz 132. 129. 33
9	141	1	181	num	55. 88. 80. en 14. 19. desgleichen auch	
9	141	2	dasz	clear		
9	141	3	132	num		
9	141	4	129	num		
9	141	5	335	num		für dasz zu 291. ge 24. 9. 14. 81. 79.
10	141	1	291	num	ch 181. dasz 132. 129. 335. für dasz zu	
10	141	2	ge	clear		
10	141	3	24	num		
10	141	4	9	num		
10	141	5	14	num		
10	141	6	81	num		
10	141	7	79	num		
10	141	8	33	num		
10	141	9	34	num		
10	141	10	127	num		
10	141	11	59	num		
10	141	12	8	num		
10	141	13	78	num		
10	141	14	56	num		
10	141	15	59	num		
10	141	16	3	num		
10	141	17	65	num		
10	141	18	96	num		
10	141	19	44	num		
10	141	20	59	num		n. Wir haben für 2 tagen zeittung becko
11	141	1	14	num	ben für 2 tagen zeittung beckomen, dasz	
11	141	2	68	num		
11	141	3	69	num		
11	141	4	37	num		
11	141	5	9	num		
11	141	6	2	num		
11	141	7	115	num		
11	141	8	66	num		
11	141	9	59	num		
11	141	10	rn	clear		
11	141	11	9	num		
11	141	12	50	num		
11	141	13	39	num		
11	141	14	79	num		
11	141	15	27	num		
11	141	16	110	num		
11	141	17	44	num		
11	141	18	77	num		
11	141	19	74	num		
11	141	20	4	num		
11	141	21	76	num		
11	141	22	70	num		
11	141	23	78	num		
11	141	24	73	num		
11	141	25	127	num		
11	141	26	137	num		
11	141	27	uff	clear		
11	141	28	53	num		
11	141	29	54	num		
11	141	30	92	num		
11	141	31	9	num		
11	141	32	111	num		
11	141	33	54	num		
11	141	34	ge	clear		
11	141	35	98	num		
11	141	36	55	num		
11	141	37	7	num		
11	141	38	er	clear		
11	141	39	14	num		
11	141	40	dem	clear		
11	141	41	83	num		
11	141	42	13	num		
11	141	43	63	num		
11	141	44	er	clear		
11	141	45	91	num		
11	141	46	65	num		
11	141	47	93	num		
11	141	48	34	num		sey und viel 14. 24. 335. auch bisz ahn
12	141	1	14	num	13. 63. er 91. 65. 93. 34. sey und viel	
12	141	2	24	num		
12	141	3	335	num		auch bisz ahn 105. 18. 64. 42. 12. 100.
13	141	1	105	num	sey und viel 14. 24. 335. auch bisz ahn	
13	141	2	18	num		
13	141	3	64	num		
13	141	4	42	num		
13	141	5	12	num		
13	141	6	100	num		
13	141	7	83	num		
13	141	8	d	clear		
13	141	9	9	num		
13	141	10	69	num		
13	141	11	47	num		
13	141	12	48	num		
13	141	13	9	num		
13	141	14	345	num		
13	141	15	14	num		
13	141	16	71	num		
13	141	17	74	num		
13	141	18	4	num		
13	141	19	38	num		
13	141	20	23	num		So habe, derhalben 201. alszbalt 78. 60
