line	signs_A	signs_B	agree	columns	share
f226r_C1	5	5	3	5	0.600
f226r_C2	11	12	6	12	0.500
f226v_C01	13	13	9	14	0.643
f226v_C02	12	13	10	13	0.769
f226v_C03	11	11	9	11	0.818
f226v_C04	13	13	8	13	0.615
f226v_C05	14	14	12	14	0.857
f226v_C06	12	12	10	12	0.833
f226v_C07	4	4	4	4	1.000
f226v_C08	10	10	8	10	0.800
f226v_C09	10	11	9	11	0.818
f226v_C10	12	12	8	12	0.667
f226v_C11	11	11	9	11	0.818
f226v_C12	12	12	11	12	0.917
f226v_C13	10	10	10	10	1.000
f226v_C14	12	12	11	12	0.917
f227r_C01	9	6	5	9	0.556
f227r_C02	11	11	6	11	0.545
f227r_C03	12	10	8	12	0.667
f227r_C04	13	13	12	13	0.923
f227r_C05	13	13	11	13	0.846
f227r_C06	11	11	8	11	0.727
f227r_C07	12	12	11	12	0.917
f227r_C08	11	11	11	11	1.000
f227r_C09	11	11	10	11	0.909
f227r_C10	12	12	8	12	0.667
f227r_C11	11	12	9	12	0.750
f227r_C12	11	11	9	11	0.818
f227r_C13	10	10	7	10	0.700
f227r_C14	13	13	5	14	0.357
