line	col	A	B	flagged	crop
f226r_C1	1	_35	35		
f226r_C1	4	v	>	AB	
f226r_C2	1	-	40		
f226r_C2	2	_40	54		
f226r_C2	3	_54	Z		
f226r_C2	4	63	65	A	
f226r_C2	7	_48	48		
f226r_C2	11	n	w	A	
f226v_C01	1	_94	94		
f226v_C01	5	L	-	A	
f226v_C01	7	-	c	B	
f226v_C01	12	_99	99		
f226v_C01	14	65	63		
f226v_C02	3	99	77		
f226v_C02	4	L	c	AB	
f226v_C02	8	-	c	B	
f226v_C03	1	w	un		
f226v_C03	3	_64	63		
f226v_C04	3	_71	71		
f226v_C04	4	91	gt		
f226v_C04	6	_40	40		
f226v_C04	11	_88	88		
f226v_C04	13	_88	88		
f226v_C05	6	_54	54		
f226v_C05	12	_41	41		
f226v_C06	4	v	c	AB	
f226v_C06	10	v	c	AB	
f226v_C08	4	25	23		
f226v_C08	7	_88	88		
f226v_C09	2	_94	94		
f226v_C09	4	-	c	B	
f226v_C10	1	_91	91		
f226v_C10	8	_88	88		
f226v_C10	9	_40	40		
f226v_C10	12	_41	41		
f226v_C11	6	35	75	B	
f226v_C11	7	39	59	B	
f226v_C12	10	9	q	B	
f226v_C14	3	w	n	A	
f227r_C01	4	_71	71		
f227r_C01	7	L	-	A	
f227r_C01	8	d	-		
f227r_C01	9	v	-	A	
f227r_C02	1	q	9	A	
f227r_C02	3	_91	91		
f227r_C02	7	_92	92		
f227r_C02	8	_91	91		
f227r_C02	11	_88	88		
f227r_C03	1	_40	40		
f227r_C03	4	_41	41		
f227r_C03	11	v	-	A	
f227r_C03	12	v	-	A	
f227r_C04	8	_88	88		
f227r_C05	3	_90	90		
f227r_C05	7	_94	94		
f227r_C06	2	_48	48		
f227r_C06	4	65	63		
f227r_C06	6	_88	88		
f227r_C07	9	75	73	B	
f227r_C09	2	65	63	A	
f227r_C10	7	88	60	A	
f227r_C10	9	56	38	AB	
f227r_C10	10	y	3	AB	
f227r_C10	11	52	32	AB	
f227r_C11	7	55	33	A	
f227r_C11	11	-	7	B	
f227r_C11	12	40	0	AB	
f227r_C12	3	_71	71	A	
f227r_C12	6	_100	100	A	
f227r_C13	1	_71	71		
f227r_C13	2	_91	91		
f227r_C13	4	_88	88		
f227r_C14	3	v	-	A	
f227r_C14	4	v	00	A	
f227r_C14	5	23	62	A	
f227r_C14	6	2	32	A	
f227r_C14	8	X	x	AB	
f227r_C14	9	v	60	A	
f227r_C14	11	-	60		
f227r_C14	12	v	00	A	
f227r_C14	13	v	60	A	
