line	pos	status	G_sign	G_gloss	H_sign	H_gloss	G_note	H_note
01	1	GLOSS	64	z	64	f	s1 gloss a crossed z-like letter	s1 gloss a long-s/f-like letter, uncertain
01	2	agree	12	a	12	a	s1 gloss a or n	s1
01	3	agree	73	y	73	y	s1 gloss above 7; 7 and 3 read as one code	s1 the 3 is a flat-topped z-shape with tail, could be sign S64; gloss sits over the 7
01	4	agree	S34	r	S34	r	s1 Ao shape; gloss r or x	s1 Ao; gloss r or t
01	5	GLOSS	26	c	26	e	s1	s1
01	6	agree	9	s	9	s	s1 centre on the tick, marginally left; gloss s or r	s1 centred on the tick, counted s1
01	7	agree	16	e	16	e	s2	s2
01	8	agree	104	u	104	u	s2 gloss above 10	s2
01	9	agree	S27	l	S27	l	s2 doubled long-s with crossbar; small dash before gloss	s2 a short dash also above, left of the gloss l
01	10	agree	62	i	62	i	s2 gloss a dot/tick, i?	s2
01	11	agree	S23	s	S23	s	s2 small x-shape, could be S36	s2 x-shaped cross, no long descender
01	12	agree	|		|		s2	s2
01	13	agree	5	l	5	l	s2	s2
01	14	agree	16	e	16	e	s2	s2
01	15	GLOSS	58	ll	58	tt	s2 gloss crossed ll (or tt); first digit resembles s, may be 68	s2 first stroke long-s-like, second P/8-like; could be a sign; gloss looks tt (or H)
01	16	agree	S40	r	S40	r	s2 gloss r or z	s2
01	17	GLOSS	62	c	62	e	s2 gloss c or e	s2
01	18	GLOSS	S32	qual	S32	quel	s2 Y with hooked top; could be S79; gloss 'qual' written as a word	s2 Y with flag; gloss is the word quel in the gloss hand
01	19	agree	S35	so	S35	so	s2 long s + looped s; could be S51; small a above the following divider	s2 long s + s
01	20	GLOSS	|		|	a	s2	s2 a gloss 'a' sits just above the divider
01	21	agree	12	a	12	a	s2	s2
01	22	SIGN	S31	p	9	p	s2 circle on cross, cross runs down into line 02	s2
01	23	agree	5	l	5	l	s2	s2
01	24	GLOSS	26	c	26	e	s2	s2
02	1	SIGN	162		102		s1 stamp rim over gloss zone; could be 16 2	s1 library stamp rim runs just above; no gloss visible
02	2	agree	|		|		s1	s1
02	3	agree	S29	m	S29	m	s1	s1 minims uu
02	4	GLOSS	26	c	26	i	s1 gloss c or i	s1 gloss small, i or e
02	5	SIGN	4	f	64	f	s1 tall long-s gloss; split 26/4 (alt 2/64)	s1 gloss a tall f/long-s
02	6	GLOSS	9	c	9	s	s1	s1
02	7	agree	S34	r	S34	r	s1 gloss r or z	s1 Ao
02	8	GLOSS	60	z	60	f	s1 gloss crossed z	s1 gloss f-like with crossbars
02	9	GLOSS	S40	z	S40	r	s1	s1
02	10	agree	26	u	26	u	s1 gloss two ticks, u?	s1
02	11	agree	|		|		s1	s1
02	12	agree	S16	d	S16	d	s1 tall long-s; gloss d-like (theta shape)	s1 long-s stroke without clear top loop
02	13	SIGN	10	u	-		s1	
02	14	SIGN	2		102	u	s2 centre just right of tick	s1 the 2 sits on the tick; token centre left of it
02	15	agree	|		|		s2 curved '(' stroke read as divider	s2 curved stroke like (
02	16	agree	7	u	7	u	s2	s2
02	17	GLOSS	64	z	64	f	s2	s2
02	18	agree	15	n	15	n	s2 second digit a small curved stroke	s2 second stroke long-s-like, read as 5
02	19	agree	S03	a	S03	a	s2 loop with long tail descending right	s2 loop with long tail descending then right; S22 possible
02	20	agree	4	t	4	t	s2	s2 lone cross-with-tail, read as digit 4
