line	position	sign	gloss	confidence	source	why
01	1	64	z	M	both	gloss is a z-shape with a crossbar, no long-s stem
01	2	12	a	H	both	agree
01	3	73	y	H	both	agree
01	4	S34	r	H	both	agree
01	5	26	e	M	both	two-part gloss (lower curve + detached top-right stroke), same form as agreed e over 16
01	6	9	s	H	both	agree
01	7	16	e	H	both	agree
01	8	104	u	H	both	agree
01	9	S27	l	H	both	agree
01	10	62	i	H	both	agree
01	11	S23	s	H	both	agree
01	12	|		H	both	agree
01	13	5	l	H	both	agree
01	14	16	e	H	both	agree
01	15	58	tt	M	both	gloss two stems joined by a crossbar (H-like), crossed so tt not ll
01	16	S33	r	M	recode	R-shape with hooked loop at top-left and two legs; gloss is r rotunda
01	17	62	e	M	both	two-part e-form gloss
01	18	S32	quel	M	both	gloss q + two minims + small letter + l; no a-bowl like the 'a' glosses; low confidence
01	19	S35	so	H	both	agree
01	20	|	a	M	H	small 'a' written above the divider stroke, right of 'so' gloss; same raised-a pattern after S35 in lines 03 and 07
01	21	12	a	H	both	agree
01	22	S31	p	M	G	circle on a cross; cross seen at top of line02 crop
01	23	5	l	H	both	agree
01	24	26	e	M	both	two-part e-form gloss
02	1	102		M	H	middle digit is a closed 0 with no ascender, not 6; stamp rim above, no gloss
02	2	|		H	both	agree
02	3	S29	m	H	both	agree
02	4	26	e	M	both	two-part gloss (blob + detached top-right dot), e-form; neither pass
02	5	S36	s	M	recode	tall long-s stroke from above ending in a cross (x over descender); no closed 4 top
02	6	9	s	M	H	gloss matches the agreed s over 9 in line01 pos6 (blob + up-right stroke)
02	7	S34	r	H	both	agree
02	8	60	z	M	G	gloss is the crossed-z form (as line01 pos1)
02	9	S33	r	M	recode	R-shape: hooked loop at top-left, two legs, right leg flicks out; not the smooth n-loop Z
02	10	26	u	H	both	agree
02	11	|		H	both	agree
02	12	S16	d	H	both	agree
02	13	102	u	M	H	one code 102, spacing like 104; gloss u over 10
02	14	|		H	both	agree
02	15	7	u	H	both	agree
02	16	64	z	M	G	crossed-z gloss as line01 pos1
02	17	15	n	H	both	agree
02	18	S03	a	H	both	agree
02	19	4	t	H	both	agree
02	20	104	u	H	both	agree
02	21	S30	n	H	both	agree
02	22	S03	a	H	both	agree
02	23	|		H	both	agree
02	24	60	i	M	G	gloss is a single minim, no crossbar
02	25	26	e	M	H	two-part e-form gloss
02	26	S36	s	M	recode	long-s stroke descending from above through the cross
02	27	S29	m	H	both	agree
02	28	16		H	both	agree
02	29	|		H	both	agree
02	30	S16	d	H	both	agree
02	31	104	u	H	both	agree
02	32	|		H	both	agree
02	33	S31	p	M	G	circle on cross, cross clear at top of line03 crop
02	34	12	a	H	both	agree
03	1	S36	ss	M	recode	cross with vertical stroke under a tall ss gloss; 4 is not a key code, sits alone before 62
03	2	62		H	both	agree
03	3	|		H	both	agree
03	4	22	po	H	both	agree
03	5	|		H	both	agree
03	6	S34	r	M	H	gloss is the 2-shaped r; the crossing thin diagonal is the tail of line02's 9
03	7	26	c	M	new	2 and 6 one code as elsewhere; gloss a single curve with top-right flag attached (c-with-horn), not the two-part e; r possible
03	8	S36	s	M	recode	long-s stroke from above running into the cross (x over descender)
03	9	S31	p	H	both	agree
03	10	82	o	M	H	gloss over the 8 is a small closed loop, o; low confidence
03	11	15	n	H	both	agree
03	12	9	c	M	new	gloss is a c-curve with a top bar; the vertical through it is the faint divider line, so not q
03	13	S40	r	M	H	arch sign; gloss r sits above the S40/6 junction; S40 is r elsewhere
03	14	62		M	H	a separate small 6-loop with stem and a 2 inside the S40 flourish; S40 atlas has no inner loop
03	15	6		H	both	agree
