line	signs_A	signs_B	agree	columns	share
01	29	31	18	33	0.545
02	38	26	14	41	0.341
03	38	32	15	44	0.341
04	25	30	13	33	0.394
05	30	30	16	33	0.485
06	38	37	16	40	0.400
07	36	37	22	39	0.564
08	32	31	20	34	0.588
09	38	37	20	41	0.488
10	34	34	18	40	0.450
11	44	41	17	48	0.354
12	33	28	11	36	0.306
13	38	39	23	40	0.575
14	33	36	20	37	0.541
15	34	30	16	35	0.457
16	31	34	17	37	0.459
17	31	28	15	32	0.469
18	32	30	15	34	0.441
19	31	37	15	38	0.395
20	29	27	11	32	0.344
21	32	31	13	35	0.371
22	31	32	16	35	0.457
23	27	27	11	29	0.379
24	35	31	12	37	0.324
25	30	27	13	31	0.419
26	34	30	15	37	0.405
27	30	29	14	32	0.438
28	33	30	19	36	0.528
29	30	21	12	30	0.400
30	33	27	10	34	0.294
31	50	29	15	51	0.294
32	34	29	13	34	0.382
33	28	21	9	33	0.273
