line	position	token	kind	grade	note
01	1	X?	sign	M	cursive script before first digit, possible plaintext salutation, no atlas match
01	2	6	digit	H	
01	3	S13	sign	H	plus/cross mark between 6 and 12
01	4	12	digit	H	
01	5	73	digit	H	
01	6	X?	sign	M	capital A-like flourish with round tail, no confident atlas match
01	7	6	digit	H	
01	8	9	digit	H	
01	9	16	digit	H	
01	10	104	digit	H	
01	11	S04	sign	H	bold hash/lattice ligature
01	12	6	digit	H	
01	13	X?	sign	M	isolated vertical stroke, virgule-like separator
01	14	5	digit	H	
01	15	S07	sign	M	looped ascender
01	16	S20	sign	M	looped capital with trailing curl, followed by period
01	17	6	digit	H	
01	18	S26	sign	M	word-like abbreviation flourish
01	19	X?	sign	M	isolated vertical stroke, virgule-like separator
01	20	12	digit	H	
01	21	05	digit	M	could be 95
01	22	6	digit	H	
02	1	10	digit	H	
02	2	S18	sign	M	double-loop "uu"-like cluster
02	3	6	digit	H	
02	4	S23	sign	M	small x-cross mark
02	5	9	digit	H	
02	6	X?	sign	M	capital ligature resembling "Av", no atlas match
02	7	6	digit	H	
02	8	S20	sign	M	looped capital resembling "oR"
02	9	6	digit	H	
02	10	X?	sign	M	vertical stroke separator
02	11	9	digit	H	
02	12	S07	sign	M	looped ascender
02	13	10	digit	H	
02	14	5	digit	H	
02	15	674	digit	M	numeral-shaped but crowded, uncertain segmentation
02	16	X?	sign	M	small ligature cluster ("ni"-like), no atlas match
02	17	104	digit	H	
02	18	X?	sign	M	ligature cluster ("nao g"-like), no atlas match
02	19	X?	sign	M	vertical stroke separator
02	20	6	digit	H	
02	21	6	digit	H	
02	22	S07	sign	M	looped ascender
02	23	X?	sign	M	capital ligature cluster ("Cml"-like), no atlas match
02	24	9	digit	M	crowded with surrounding sign material
02	25	S13	sign	M	plus/cross mark
02	26	X?	sign	M	ligature cluster ("pa"-like) with trailing period
02	27	S25	sign	M	final cursive open loop
03	1	7	digit	H	
03	2	S13	sign	H	plus/cross mark
03	3	6	digit	H	
03	4	X?	sign	M	vertical stroke separator
03	5	2	digit	M	crowded
03	6	X?	sign	M	vertical stroke separator
03	7	X?	sign	M	capital ligature "Ao"-like, no atlas match
03	8	6	digit	H	
03	9	4	digit	H	
03	10	8	digit	M	uncertain digit vs sign
03	11	5	digit	H	
03	12	15	digit	H	
03	13	9	digit	H	
03	14	S11	sign	M	loop with bar/accent cluster
03	15	6	digit	H	
03	16	X?	sign	M	vertical stroke separator
03	17	5	digit	H	
03	18	16	digit	H	
03	19	9	digit	H	
03	20	6	digit	H	
03	21	S20	sign	M	looped capital with trailing tail
03	22	S13	sign	M	plus/cross mark
03	23	9	digit	H	
03	24	60	digit	H	
03	25	X?	sign	M	ligature cluster after "60", no atlas match
03	26	4	digit	H	
03	27	S13	sign	M	plus/cross mark
03	28	4	digit	H	
03	29	S13	sign	M	plus/cross mark
03	30	X?	sign	M	small cluster, no atlas match
03	31	X?	sign	M	vertical stroke separator
03	32	5	digit	H	
03	33	X?	sign	M	vertical stroke separator
03	34	14	digit	H	
03	35	X?	sign	M	capital ligature "Ao"-like, no atlas match
03	36	16	digit	H	
04	1	S13	sign	M	plus/cross mark
04	2	X?	sign	M	small loop cluster, no atlas match
04	3	X?	sign	M	"na"-like ligature cluster
04	4	5	digit	H	
04	5	104	digit	H	
04	6	5	digit	H	
04	7	6	digit	H	
04	8	S13	sign	M	plus/cross mark
04	9	X?	sign	M	vertical stroke separator
04	10	7	digit	H	
04	11	S20	sign	M	looped capital "R"-like
04	12	5	digit	H	
04	13	16	digit	H	
04	14	S12	sign	M	small cross/dagger mark
04	15	14	digit	H	
04	16	64	digit	H	
04	17	X?	sign	M	"to"-like ligature cluster
04	18	X?	sign	M	vertical stroke separator
04	19	22	digit	M	crowded, could be sign pair
04	20	5	digit	H	
04	21	16	digit	H	
04	22	X?	sign	M	"dy pol"-like ligature cluster
04	23	S26	sign	M	word-like abbreviation flourish "qual"-ish
04	24	X?	sign	M	capital+cross ligature cluster
04	25	X?	sign	M	vertical stroke separator
04	26	60	digit	H	
04	27	X?	sign	M	"te"-like ligature cluster
04	28	X?	sign	M	vertical stroke separator
04	29	104	digit	H	
05	1	6	digit	H	
05	2	13	digit	H	
05	3	10	digit	H	
05	4	X?	sign	M	vertical stroke separator
05	5	S24	sign	M	capital B-like loop cluster
05	6	25	digit	M	crowded
05	7	X?	sign	M	capital ligature "Ao"-like, recurring shape
05	8	9	digit	H	
05	9	X?	sign	M	vertical stroke separator
05	10	6	digit	H	
05	11	9	digit	H	
05	12	14	digit	H	
05	13	X?	sign	M	vertical stroke separator
05	14	S20	sign	M	looped capital "Y"-like
05	15	1	digit	M	crowded
05	16	S01	sign	M	ornate capital resembling "R"/"N"
05	17	S17	sign	M	bold ff/H ligature
05	18	6	digit	H	
05	19	S07	sign	M	looped ascender
05	20	2	digit	H	
05	21	102	digit	H	
05	22	16	digit	H	
05	23	68	digit	H	
05	24	6	digit	H	
05	25	X?	sign	M	vertical stroke separator
05	26	6	digit	H	
05	27	S07	sign	M	looped ascender
05	28	X?	sign	M	small loop "a"-like cluster
05	29	012	digit	M	crowded
05	30	7	digit	H	
05	31	X?	sign	M	vertical stroke separator
05	32	6	digit	H	
06	1	S13	sign	M	plus/cross mark
06	2	S17	sign	M	bold ff/H ligature
06	3	16	digit	H	
06	4	X?	sign	M	vertical stroke separator
06	5	6	digit	H	
06	6	S20	sign	M	looped capital "oR"-like
06	7	X?	sign	M	vertical stroke separator
06	8	99	digit	H	
06	9	6	digit	H	
06	10	X?	sign	M	"ua"-like ligature cluster
06	11	X?	sign	M	vertical stroke separator
06	12	S07	sign	M	looped ascender
06	13	44	digit	H	
06	14	X?	sign	M	capital ligature "Ao"-like, recurring shape
06	15	X?	sign	M	"to"-like ligature cluster
06	16	X?	sign	M	vertical stroke separator
06	17	12	digit	M	crowded
06	18	X?	sign	M	small ligature cluster, no atlas match
06	19	S13	sign	M	plus/cross mark
06	20	19	digit	M	crowded
06	21	X?	sign	M	vertical stroke separator
06	22	5	digit	H	
06	23	6	digit	H	
06	24	13	digit	H	
06	25	X?	sign	M	"to"-like ligature cluster
06	26	6	digit	H	
06	27	11	digit	H	
06	28	S15	sign	M	small lowercase-e-like loop
06	29	X?	sign	M	capital "R"-like cluster
06	30	16	digit	H	
06	31	X?	sign	M	vertical stroke separator
06	32	S20	sign	M	looped capital "Y"-like
06	33	16	digit	H	
06	34	S13	sign	M	plus/cross mark
06	35	S12	sign	M	small cross/dagger mark
07	1	8	digit	H	
07	2	X?	sign	M	capital ligature "Ao"-like, recurring shape
07	3	9	digit	H	
07	4	16	digit	H	
07	5	S23	sign	M	small x-cross mark
07	6	X?	sign	M	vertical stroke separator
07	7	X?	sign	M	"dy"-like ligature cluster
07	8	X?	sign	M	vertical stroke separator
07	9	S07	sign	M	looped ascender cluster
07	10	X?	sign	M	vertical stroke separator
07	11	S18	sign	M	double-loop "uu"-like cluster
07	12	6	digit	H	
07	13	15	digit	H	
07	14	16	digit	H	
07	15	X?	sign	M	loop cluster, no atlas match
07	16	X?	sign	M	vertical stroke separator
07	17	544	digit	M	crowded
07	18	60	digit	H	
07	19	6	digit	H	
07	20	15	digit	H	
07	21	X?	sign	M	"to"-like ligature cluster
07	22	X?	sign	M	vertical stroke separator
07	23	X?	sign	M	"to"-like ligature cluster
07	24	6	digit	H	
07	25	6	digit	H	
07	26	9	digit	H	
07	27	16	digit	H	
07	28	S23	sign	M	small x-cross mark
07	29	X?	sign	M	vertical stroke separator
07	30	X?	sign	M	"ny"-like ligature cluster
07	31	S15	sign	M	small lowercase-e-like loop
07	32	S18	sign	M	double-loop "uu"-like cluster
07	33	12	digit	H	
07	34	15	digit	H	
07	35	16	digit	H	
07	36	X?	sign	M	vertical stroke separator
07	37	S26	sign	M	word-like abbreviation flourish "qual"-ish
07	38	60	digit	H	
07	39	X?	sign	M	"man"-like word cluster, no atlas match
07	40	9	digit	M	crowded
07	41	X?	sign	M	small trailing cluster, no atlas match
08	1	7	digit	H	
08	2	S12	sign	M	small cross/dagger mark
08	3	X?	sign	M	capital "R"-like cluster
08	4	X?	sign	M	"na"-like ligature cluster
08	5	44	digit	H	
08	6	15	digit	H	
08	7	S12	sign	M	small cross/dagger mark
08	8	104	digit	H	
08	9	68	digit	H	
08	10	6	digit	H	
08	11	S18	sign	M	double-loop "uu"-like cluster
08	12	6	digit	H	
08	13	15	digit	H	
08	14	X?	sign	M	"to"-like ligature cluster
08	15	X?	sign	M	vertical stroke separator
08	16	22	digit	M	crowded
08	17	X?	sign	M	vertical stroke separator
08	18	S17	sign	M	bold ff/H ligature
08	19	16	digit	H	
08	20	X?	sign	M	capital "R"-like cluster
08	21	6	digit	H	
08	22	X?	sign	M	small "g"-like cluster
08	23	12	digit	H	
08	24	X?	sign	M	capital ligature "Ao"-like, recurring shape
08	25	X?	sign	M	vertical stroke separator
08	26	102	digit	M	crowded
08	27	X?	sign	M	vertical stroke separator
08	28	X?	sign	M	blotted cluster, shape unclear
08	29	12	digit	H	
