# tools/print_check.py, 25 Sep 2026. A search result, not a novelty verdict (CLAUDE.md rule 10).
phrase	source	result	detail	url
iay receu les lettres quil vous a pleu mescrire	ia:lesoriginespolit02romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit02romi
du vingt uniesme du passe	ia:lesoriginespolit02romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit02romi
pour respondre a ce que Scipion	ia:lesoriginespolit02romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit02romi
bien ayse dentendre que les forces que vous menez	ia:lesoriginespolit02romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit02romi
sil se presente occasion de le tenter par ceste voie	ia:lesoriginespolit02romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit02romi
de la pratique du cappitaine Livio	ia:lesoriginespolit02romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit02romi
la meilleure volonte de la tenter	ia:lesoriginespolit02romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit02romi
resouldre ensemble des moyens que faudra tenir	ia:lesoriginespolit02romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit02romi
nestant encores retourne	ia:lesoriginespolit02romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit02romi
me fait penser que les choses ny sont	ia:lesoriginespolit02romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit02romi
iay receu les lettres quil vous a pleu mescrire	ia:lesoriginespolit01romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit01romi
du vingt uniesme du passe	ia:lesoriginespolit01romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit01romi
pour respondre a ce que Scipion	ia:lesoriginespolit01romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit01romi
bien ayse dentendre que les forces que vous menez	ia:lesoriginespolit01romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit01romi
sil se presente occasion de le tenter par ceste voie	ia:lesoriginespolit01romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit01romi
de la pratique du cappitaine Livio	ia:lesoriginespolit01romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit01romi
la meilleure volonte de la tenter	ia:lesoriginespolit01romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit01romi
resouldre ensemble des moyens que faudra tenir	ia:lesoriginespolit01romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit01romi
nestant encores retourne	ia:lesoriginespolit01romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit01romi
me fait penser que les choses ny sont	ia:lesoriginespolit01romi	no hits	downloaded djvu text; 	https://archive.org/details/lesoriginespolit01romi
iay receu les lettres quil vous a pleu mescrire	ia:nouvellecollecti06michuoft	no hits	cached sources/ia-fulltext/print-check/nouvellecollecti06michuoft_djvu.txt.gz; 	https://archive.org/details/nouvellecollecti06michuoft
du vingt uniesme du passe	ia:nouvellecollecti06michuoft	no hits	cached sources/ia-fulltext/print-check/nouvellecollecti06michuoft_djvu.txt.gz; 	https://archive.org/details/nouvellecollecti06michuoft
pour respondre a ce que Scipion	ia:nouvellecollecti06michuoft	no hits	cached sources/ia-fulltext/print-check/nouvellecollecti06michuoft_djvu.txt.gz; 	https://archive.org/details/nouvellecollecti06michuoft
bien ayse dentendre que les forces que vous menez	ia:nouvellecollecti06michuoft	no hits	cached sources/ia-fulltext/print-check/nouvellecollecti06michuoft_djvu.txt.gz; 	https://archive.org/details/nouvellecollecti06michuoft
sil se presente occasion de le tenter par ceste voie	ia:nouvellecollecti06michuoft	no hits	cached sources/ia-fulltext/print-check/nouvellecollecti06michuoft_djvu.txt.gz; 	https://archive.org/details/nouvellecollecti06michuoft
de la pratique du cappitaine Livio	ia:nouvellecollecti06michuoft	no hits	cached sources/ia-fulltext/print-check/nouvellecollecti06michuoft_djvu.txt.gz; 	https://archive.org/details/nouvellecollecti06michuoft
la meilleure volonte de la tenter	ia:nouvellecollecti06michuoft	no hits	cached sources/ia-fulltext/print-check/nouvellecollecti06michuoft_djvu.txt.gz; 	https://archive.org/details/nouvellecollecti06michuoft
resouldre ensemble des moyens que faudra tenir	ia:nouvellecollecti06michuoft	no hits	cached sources/ia-fulltext/print-check/nouvellecollecti06michuoft_djvu.txt.gz; 	https://archive.org/details/nouvellecollecti06michuoft
nestant encores retourne	ia:nouvellecollecti06michuoft	no hits	cached sources/ia-fulltext/print-check/nouvellecollecti06michuoft_djvu.txt.gz; 	https://archive.org/details/nouvellecollecti06michuoft
me fait penser que les choses ny sont	ia:nouvellecollecti06michuoft	no hits	cached sources/ia-fulltext/print-check/nouvellecollecti06michuoft_djvu.txt.gz; 	https://archive.org/details/nouvellecollecti06michuoft
iay receu les lettres quil vous a pleu mescrire	ia:bub_gb_qWTswSr32NYC	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_qWTswSr32NYC
du vingt uniesme du passe	ia:bub_gb_qWTswSr32NYC	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_qWTswSr32NYC
pour respondre a ce que Scipion	ia:bub_gb_qWTswSr32NYC	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_qWTswSr32NYC
bien ayse dentendre que les forces que vous menez	ia:bub_gb_qWTswSr32NYC	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_qWTswSr32NYC
sil se presente occasion de le tenter par ceste voie	ia:bub_gb_qWTswSr32NYC	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_qWTswSr32NYC
de la pratique du cappitaine Livio	ia:bub_gb_qWTswSr32NYC	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_qWTswSr32NYC
la meilleure volonte de la tenter	ia:bub_gb_qWTswSr32NYC	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_qWTswSr32NYC
resouldre ensemble des moyens que faudra tenir	ia:bub_gb_qWTswSr32NYC	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_qWTswSr32NYC
nestant encores retourne	ia:bub_gb_qWTswSr32NYC	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_qWTswSr32NYC
me fait penser que les choses ny sont	ia:bub_gb_qWTswSr32NYC	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_qWTswSr32NYC
iay receu les lettres quil vous a pleu mescrire	ia:bub_gb_bOnmNv2ZLVoC	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_bOnmNv2ZLVoC
