line	position	token	kind	grade	note
01	1	X?	sign	M	cursive fragment before cipher begins, no atlas match, possibly plaintext heading tail
01	2	6	digit	H	
01	3	S13	sign	H	plus/cross mark
01	4	12	digit	H	
01	5	X?	sign	H	double-dash separator mark, no atlas match
01	6	73	digit	H	
01	7	40	digit	M	capital-A-like 4 joined to o=0, unusual stylization
01	8	X?	sign	H	double-dash separator mark
01	9	6	digit	H	
01	10	9	digit	H	
01	11	16	digit	H	
01	12	10	digit	H	
01	13	4	digit	H	
01	14	S02	sign	M	bold ff-like ligature
01	15	6	digit	H	
01	16	X?	sign	H	double-dash separator mark
01	17	S23	sign	M	small x/cross cursive mark
01	18	X?	sign	H	vertical bar, separator, no atlas match
01	19	5	digit	H	
01	20	16	digit	H	
01	21	5	digit	H	
01	22	S20	sign	M	fancy looped capital N/R-like flourish
01	23	6	digit	H	
01	24	X?	sign	H	double-dash separator mark
01	25	X?	sign	M	cursive word "quel", plaintext fragment not cipher sign
01	26	X?	sign	M	abbreviation-like "co" with superscript, plaintext fragment
01	27	X?	sign	M	capital V, ambiguous plaintext letter or sign
01	28	X?	sign	M	loop/bracket compound mark, unclear atlas match
01	29	12	digit	H	
01	30	9	digit	H	
01	31	5	digit	H	
01	32	X?	sign	H	double-dash separator mark
01	33	6	digit	H	
02	1	10	digit	H	
02	2	X?	sign	H	z-shaped separator mark
02	3	X?	sign	H	vertical bar separator
02	4	S08	sign	M	flourish mark with crossbar
02	5	11	digit	M	cursive "uu"-shaped digit pair
02	6	X?	sign	H	z-shaped separator mark
02	7	6	digit	H	
02	8	S23	sign	M	small x/cross cursive mark
02	9	9	digit	H	
02	10	40	digit	M	capital-A-like 4 + o=0
02	11	S06	sign	M	loop ligature
02	12	S20	sign	M	fancy looped N/R-like flourish
02	13	X?	sign	H	z-shaped separator mark
02	14	6	digit	H	
02	15	X?	sign	H	vertical bar separator
02	16	9	digit	H	
02	17	X?	sign	H	separator mark
02	18	S09	sign	M	compact looped ligature
02	19	6	digit	M	
02	20	4	digit	M	
02	21	11	digit	M	cursive "ii"-shaped digit pair
02	22	S13	sign	M	plus/cross mark
02	23	10	digit	H	
02	24	4	digit	H	
02	25	S24	sign	M	word-like ligature with descending tail
02	26	X?	sign	H	vertical bar separator
02	27	6	digit	H	
02	28	S08	sign	M	flourish word-like mark
02	29	16	digit	M	
02	30	X?	sign	H	vertical bar separator
02	31	5	digit	H	
02	32	104	digit	H	
02	33	S13	sign	M	plus/cross mark
02	34	S21	sign	M	lowercase ligature with tail, approximate match
02	35	X?	sign	M	final mark, cut at crop edge, unclear
03	1	6	digit	H	
03	2	X?	sign	H	z-shaped separator mark
03	3	X?	sign	H	vertical bar separator
03	4	22	digit	H	
03	5	X?	sign	H	z-shaped separator mark
03	6	X?	sign	H	vertical bar separator
03	7	40	digit	M	capital-A-like 4 + o=0
03	8	X?	sign	H	z-shaped separator mark
03	9	64	digit	H	
03	10	S16	sign	M	tall long-s-like flourish
03	11	5	digit	M	
03	12	X?	sign	H	z-shaped separator mark
03	13	16	digit	H	
03	14	9	digit	H	
03	15	X?	sign	H	z-shaped separator mark
03	16	6	digit	H	
03	17	S26	sign	M	abbreviation-like mark, approximate match
03	18	X?	sign	M	tall V-like ascender, unclear
03	19	X?	sign	H	vertical bar separator
03	20	S13	sign	M	plus/cross mark
03	21	9	digit	H	
03	22	60	digit	H	
03	23	X?	sign	H	doubled z-shaped separator mark
03	24	6	digit	H	
03	25	S13	sign	M	plus/cross mark
03	26	4	digit	H	
03	27	S13	sign	M	plus/cross mark
03	28	S09	sign	M	compact looped ligature
03	29	X?	sign	H	vertical bar separator
03	30	5	digit	H	
03	31	14	digit	H	
03	32	S20	sign	M	fancy looped N/R-like flourish
03	33	16	digit	H	
04	1	S23	sign	M	tilted x/cross mark
04	2	6	digit	H	
04	3	8	digit	H	
04	4	X?	sign	H	equals-like separator mark
04	5	S24	sign	M	word-like ligature "na"
04	6	X?	sign	H	z-shaped separator mark
04	7	104	digit	H	
04	8	X?	sign	H	z-shaped separator mark
04	9	6	digit	H	
04	10	S13	sign	M	plus/cross mark
04	11	X?	sign	H	vertical bar separator
04	12	7	digit	H	
04	13	S20	sign	M	fancy looped N/R-like flourish
04	14	5	digit	H	
04	15	16	digit	H	
04	16	S13	sign	M	plus/cross mark
04	17	14	digit	H	
04	18	64	digit	H	
04	19	S09	sign	M	compact looped ligature
04	20	X?	sign	H	vertical bar separator
04	21	X?	sign	H	doubled z-shaped separator mark
04	22	5	digit	H	
04	23	16	digit	H	
04	24	S06	sign	M	cursive loop ligature
04	25	S26	sign	M	abbreviation-like mark, approximate match
04	26	S02	sign	M	bold ff-like ligature
04	27	6	digit	H	
04	28	X?	sign	H	z-shaped separator mark
04	29	S23	sign	M	x/cross mark
04	30	S09	sign	M	compact looped ligature
04	31	5	digit	H	
04	32	X?	sign	H	z-shaped separator mark
04	33	6	digit	H	
04	34	S10	sign	M	looped ascender ligature, approximate match
04	35	X?	sign	H	vertical bar separator
04	36	104	digit	H	
05	1	13	digit	H	
05	2	18	digit	H	
05	3	X?	sign	H	z-shaped separator mark
05	4	X?	sign	H	vertical bar separator
05	5	S06	sign	M	cursive loop ligature
05	6	X?	sign	H	z-shaped separator mark
05	7	40	digit	M	capital-A-like 4 + o=0
05	8	5	digit	H	
05	9	X?	sign	H	z-shaped separator mark
05	10	6	digit	H	
05	11	9	digit	H	
05	12	14	digit	H	
05	13	X?	sign	H	vertical bar separator
05	14	3	digit	M	
05	15	X?	sign	H	z-shaped separator mark
05	16	S20	sign	M	fancy looped N/R-like flourish
05	17	S02	sign	M	bold ff-like ligature
05	18	X?	sign	H	double-dash separator mark
05	19	64	digit	H	
05	20	27	digit	M	cursive digit pair, uncertain reading
05	21	102	digit	H	
05	22	16	digit	H	
05	23	68	digit	H	
05	24	X?	sign	H	z-shaped separator mark
05	25	X?	sign	H	vertical bar separator
05	26	5	digit	H	
05	27	6	digit	H	
05	28	10	digit	M	uncertain, could read as "01"
05	29	X?	sign	H	z-shaped separator mark
05	30	7	digit	H	
05	31	9	digit	M	uncertain digit/sign
05	32	27	digit	M	cursive digit pair, uncertain reading
05	33	X?	sign	H	vertical bar separator
05	34	6	digit	H	
05	35	X?	sign	H	z-shaped separator mark
06	1	S13	sign	M	plus/cross mark
06	2	S09	sign	M	compact looped ligature
06	3	16	digit	H	
06	4	X?	sign	H	vertical bar separator
06	5	3	digit	H	
06	6	S06	sign	M	cursive loop ligature
06	7	X?	sign	H	vertical bar separator
06	8	99	digit	H	
06	9	X?	sign	H	z-shaped separator mark
06	10	6	digit	H	
06	11	S09	sign	M	compact looped ligature
06	12	X?	sign	H	vertical bar separator
06	13	S13	sign	M	plus/cross mark
06	14	4	digit	H	
06	15	4	digit	H	
06	16	40	digit	M	capital-A-like 4 + o=0
06	17	S09	sign	M	compact looped ligature
06	18	X?	sign	H	vertical bar separator
06	19	12	digit	H	
06	20	S13	sign	M	plus/cross mark
06	21	16	digit	H	
06	22	X?	sign	H	vertical bar separator
06	23	5	digit	H	
06	24	X?	sign	H	z-shaped separator mark
06	25	6	digit	H	
06	26	13	digit	H	
06	27	S09	sign	M	compact looped ligature
06	28	6	digit	H	
06	29	X?	sign	H	z-shaped separator mark
06	30	S24	sign	M	word-like ligature
06	31	9	digit	H	
06	32	S13	sign	M	plus/cross mark
06	33	X?	sign	H	vertical bar separator
06	34	S20	sign	M	fancy looped Y/N-like flourish
06	35	16	digit	H	
06	36	S13	sign	M	plus/cross mark
06	37	S13	sign	M	plus/cross mark
07	1	5	digit	H	
07	2	X?	sign	H	z-shaped separator mark
07	3	40	digit	M	capital-A-like 4 + o=0
07	4	9	digit	H	
07	5	16	digit	H	
07	6	S13	sign	M	plus/cross mark
07	7	X?	sign	H	vertical bar separator
07	8	S24	sign	M	word-like ligature
07	9	S02	sign	M	bold ff-like ligature, tall double-s
07	10	X?	sign	H	vertical bar separator
07	11	11	digit	M	cursive "uu"-shaped digit pair
07	12	X?	sign	H	z-shaped separator mark
07	13	6	digit	H	
07	14	16	digit	H	
07	15	S20	sign	M	fancy looped flourish
07	16	X?	sign	H	vertical bar separator
07	17	544	digit	H	
07	18	6	digit	H	
07	19	X?	sign	H	z-shaped separator mark
07	20	6	digit	H	
07	21	1	digit	M	
07	22	S09	sign	M	compact looped ligature
07	23	X?	sign	H	vertical bar separator
07	24	S09	sign	M	compact looped ligature
07	25	X?	sign	H	z-shaped separator mark
07	26	6	digit	H	
07	27	6	digit	H	
07	28	1	digit	M	
07	29	6	digit	H	
07	30	X?	sign	H	vertical bar separator
07	31	S24	sign	M	word-like ligature "ny"
07	32	X?	sign	M	cursive word "que", plaintext-like fragment, not matched in atlas
07	33	X?	sign	M	cursive word "bon", plaintext-like fragment, not matched in atlas
07	34	X?	sign	M	cursive word "mande", plaintext-like fragment, not matched in atlas
07	35	11	digit	M	cursive "uu"-shaped digit pair
07	36	12	digit	H	
07	37	15	digit	H	
07	38	16	digit	H	
07	39	X?	sign	H	vertical bar separator
08	1	S13	sign	M	cross-like ligature mark
08	2	S24	sign	M	word-like ligature "ua"
08	3	44	digit	H	
08	4	1	digit	M	
08	5	5	digit	M	
08	6	S13	sign	M	plus/cross mark
08	7	1	digit	M	
08	8	X?	sign	H	vertical bar separator
08	9	104	digit	H	
08	10	68	digit	H	
08	11	X?	sign	H	z-shaped separator mark
08	12	6	digit	H	
08	13	11	digit	M	cursive "uu"-shaped digit pair
08	14	6	digit	H	
08	15	X?	sign	H	z-shaped separator mark
08	16	15	digit	H	
08	17	S09	sign	M	compact looped ligature
08	18	X?	sign	H	vertical bar separator
08	19	X?	sign	H	doubled z-shaped separator mark
08	20	S02	sign	M	bold ff-like ligature
08	21	16	digit	H	
08	22	S20	sign	M	fancy looped N-like flourish
08	23	X?	sign	H	z-shaped separator mark
08	24	6	digit	H	
08	25	S24	sign	M	word-like ligature
08	26	12	digit	H	
08	27	40	digit	M	capital-A-like 4 + o=0
08	28	5	digit	H	
08	29	X?	sign	H	vertical bar separator
08	30	5	digit	H	
08	31	102	digit	H	
08	32	X?	sign	H	vertical bar separator
08	33	S04	sign	M	hash/star-like cross mark
08	34	12	digit	H	
08	35	60	digit	H	
08	36	S09	sign	M	compact looped ligature "td"
09	1	104	digit	H	
09	2	S13	sign	M	plus/cross mark
09	3	5	digit	H	
09	4	649	digit	M	contiguous digit run, possible mis-segmentation
09	5	S09	sign	M	compact looped ligature "to"
09	6	X?	sign	H	vertical bar separator
09	7	S04	sign	M	star/hash-like cross mark
09	8	60	digit	H	
09	9	5	digit	H	
09	10	X?	sign	H	vertical bar separator
09	11	S13	sign	M	plus/cross mark
09	12	16	digit	H	
09	13	X?	sign	H	z-shaped separator mark
09	14	40	digit	M	capital-A-like 4 + o=0
09	15	X?	sign	H	z-shaped separator mark
09	16	6	digit	H	
09	17	5	digit	H	
09	18	16	digit	H	
09	19	11	digit	M	cursive "uu"-shaped digit pair
09	20	S09	sign	M	compact looped ligature "to"
09	21	6	digit	H	
09	22	X?	sign	H	z-shaped separator mark
09	23	X?	sign	H	vertical bar separator
09	24	S20	sign	M	fancy looped R-like flourish
09	25	14	digit	H	
09	26	X?	sign	H	vertical bar separator
09	27	5	digit	H	
09	28	X?	sign	H	z-shaped separator mark
09	29	9	digit	H	
09	30	14	digit	H	
09	31	S21	sign	M	f-like mark with descending tail
09	32	X?	sign	H	z-shaped separator mark
09	33	S13	sign	M	plus/cross mark
09	34	4	digit	M	
09	35	S13	sign	M	plus/cross mark
09	36	S06	sign	M	cursive loop ligature
09	37	16	digit	H	
09	38	5	digit	H	
09	39	X?	sign	H	z-shaped separator mark
09	40	6	digit	H	
10	1	S09	sign	M	compact looped ligature "to"
10	2	14	digit	H	
10	3	11	digit	M	cursive "uu"-shaped digit pair
10	4	S09	sign	M	compact looped ligature "te"
10	5	X?	sign	H	vertical bar separator
10	6	40	digit	M	capital-A-like 4 + o=0
10	7	X?	sign	H	vertical bar separator
10	8	S13	sign	M	cross-like ligature mark
10	9	S20	sign	M	fancy looped R-like flourish
10	10	9	digit	H	
10	11	X?	sign	H	z-shaped separator mark
10	12	6	digit	H	
10	13	X?	sign	H	vertical bar separator
10	14	5	digit	H	
10	15	S09	sign	M	compact looped ligature "to"
10	16	16	digit	H	
10	17	X?	sign	H	z-shaped separator mark
10	18	74	digit	H	
10	19	64	digit	H	
10	20	X?	sign	H	z-shaped separator mark
10	21	6	digit	H	
10	22	X?	sign	H	vertical bar separator
10	23	5	digit	H	
10	24	12	digit	M	
10	25	S24	sign	M	word-like ligature "uma"
10	26	12	digit	H	
10	27	X?	sign	H	z-shaped separator mark
10	28	6	digit	H	
10	29	S02	sign	M	bold ff-like ligature
10	30	16	digit	H	
