line	position	token	kind	gloss	grade	note
01	1	6	digit		M	stamp/text above uncertain, gloss illegible
01	2	S13	sign	n	M	plus/cross mark; gloss uncertain
01	3	12	digit	y	M	gloss uncertain
01	4	73	digit	z	M	gloss uncertain
01	5	S34	sign		M	A+o ligature (cf S69,S76); gloss illegible
01	6	X?	X?		M	short horizontal double-dash, equals-sign-like, no atlas match
01	7	6	digit		M	two dots above, gloss letter unclear
01	8	9	digit		M	gloss illegible
01	9	16	digit		M	gloss illegible
01	10	104	digit	u	M	gloss tentative
01	11	S27	sign	-	M	Af ligature; gloss looks like a dash/macron
01	12	6	digit		M	
01	13	X?	X?		M	short horizontal double-dash, equals-sign-like, no atlas match
01	14	S23	sign		M	x-shaped sign; small mark above unclear
01	15	|	divider		H	
01	16	5	digit	f	M	
01	17	16	digit	e	M	
01	18	15	digit		M	
01	19	S33	sign	z	M	loop-with-two-legs shape (cf S20)
01	20	6	digit		M	
01	21	X?	X?		M	short horizontal double-dash, equals-sign-like, no atlas match
01	22	X?	X?	qual	M	bold capital V shape, two converging diagonal strokes, no single atlas match; gloss looks like a short cursive word not one letter
01	23	S51	sign		H	long-s closed into loop, matches atlas crop well
01	24	|	divider		H	
01	25	12	digit	a	M	
01	26	9	digit	p	M	
01	27	5	digit	e	M	
01	28	X?	X?		M	short horizontal double-dash, equals-sign-like, no atlas match
01	29	6	digit		M	last token before right margin
02	1	102	digit		M	
02	2	|	divider		H	
02	3	S29	sign	m	M	three-minim "uu" shape
02	4	26	digit		M	
02	5	9	digit		M	small dot gloss, letter unclear
02	6	S69	sign	z	M	capital A with hooked v (cf S34,S76)
02	7	60	digit		M	
02	8	S33	sign		M	loop-with-two-legs shape
02	9	X?	X?		M	short horizontal double-dash, equals-sign-like
02	10	6	digit		M	
02	11	|	divider		H	
02	12	9	digit	u	M	
02	13	10	digit		M	
02	14	X?	X?		M	short horizontal double-dash, equals-sign-like
02	15	|	divider		H	
02	16	7	digit	u	M	
02	17	6	digit		M	small squiggle gloss, unclear
02	18	4	digit		M	
02	19	11	digit	n	M	
02	20	S13	sign		M	plus/cross mark; small gloss above unclear
02	21	104	digit		M	
02	22	S30	sign	n	M	c-hook joined to na
02	23	60	digit		M	
02	24	S33	sign		M	loop-with-two-legs shape
02	25	X?	X?		M	short horizontal double-dash, equals-sign-like
02	26	6	digit		M	
02	27	S28	sign		M	c-hook joined to m
02	28	S29	sign		M	three-minim "uu" shape
02	29	6	digit		M	
02	30	9	digit		M	
02	31	|	divider		H	
02	32	5	digit	u	M	
02	33	104	digit		M	
02	34	|	divider		H	
02	35	S13	sign	p	M	plus/cross mark
02	36	X?	X?	a	M	cursive S/8-like closed loop shape, no confident atlas match, near right margin
02	37	X?	X?		M	small isolated dot near margin, unclear function (not a bar/slash divider)
02	38	X?	X?		M	cursive S/8-like closed loop shape at right margin, similar to token 36
03	1	S27	sign		M	tall doubled-stroke ligature; may be previous-line bleed-through rather than this line's own ink, flagged
03	2	4	digit		M	
03	3	0	digit		M	plain circle, could also be sign S19; read as digit 0
03	4	X?	X?		M	short horizontal double-dash, equals-sign-like
03	5	|	divider		H	
03	6	22	digit		M	
03	7	X?	X?		M	cursive abbreviation-like flourish, resembles 'po'/'pour'
03	8	|	divider		H	
03	9	6	digit		M	
03	10	S13	sign		M	plus/cross mark
03	11	X?	X?		M	figure-8-shaped loop, cf S18/S61/S71, not confidently matched
03	12	X?	X?		M	short horizontal double-dash, equals-sign-like
03	13	S40	sign		M	n-shape whose right leg closes into a loop
03	14	11	digit		M	
03	15	9	digit		M	
03	16	S33	sign		M	loop-with-two-legs shape
03	17	X?	X?		M	small tilde/double-dash mark above baseline
03	18	6	digit		M	
03	19	|	divider		H	
03	20	5	digit		M	
03	21	16	digit		M	
03	22	9	digit		M	
03	23	X?	X?		M	short horizontal double-dash, equals-sign-like
03	24	6	digit		M	
03	25	S13	sign		M	plus/cross mark
03	26	9	digit		M	
03	27	60	digit		M	
03	28	S44	sign		M	p-like loop with stem crossed
03	29	64	digit		M	
03	30	S13	sign		M	plus/cross mark
03	31	4	digit		M	
03	32	05	digit		M	
03	33	|	divider		H	
03	34	5	digit		M	
03	35	|	divider		H	
03	36	14	digit		M	
03	37	S69	sign		M	capital A with hooked v
03	38	16	digit		M	last token, near right margin
04	1	S23	sign		M	x-shaped sign
04	2	S44	sign	p	M	p-like loop with crossed stem
04	3	8	digit	o	M	
04	4	X?	X?	n	M	short horizontal double-dash, equals-sign-like
04	5	S30	sign	d	M	c-hook joined to na
04	6	104	digit	u	M	
04	7	52	digit		M	
04	8	6	digit		M	
04	9	S13	sign	e	M	plus/cross mark
04	10	S33	sign	o	M	loop-with-two-legs shape
04	11	516	digit	c	M	digit run, boundary uncertain
04	12	S23	sign	z	M	x-shaped sign
04	13	14	digit	a	M	
04	14	64	digit	z	M	
04	15	S37	sign	s	M	crossed t joined to o
04	16	22	digit		M	
04	17	16	digit		M	
04	18	X?	X?	qual	M	unclear ligature, cursive gloss looks like a short word not a single letter
04	19	62	digit		M	
04	20	S23	sign		M	x-shaped sign
04	21	S37	sign		M	crossed t joined to o
04	22	60	digit		M	
04	23	S13	sign		M	plus/cross mark
04	24	|	divider		H	
04	25	104	digit		M	last token before right margin
05	1	26	digit	z	M	
05	2	115	digit	n	M	digit run, boundary uncertain
05	3	10	digit	u	M	
05	4	X?	X?		M	short horizontal double-dash, equals-sign-like
05	5	|	divider		H	
05	6	13	digit	z	M	
05	7	23	digit	z	M	
05	8	S34	sign		M	A+o ligature (cf S69,S76)
05	9	9	digit		M	
05	10	26	digit	z	M	
05	11	9	digit		M	
05	12	14	digit	a	M	
05	13	|	divider		H	
05	14	8	digit		M	
05	15	12	digit		M	
05	16	S33	sign		M	loop-with-two-legs shape
05	17	S27	sign		M	Af ligature
05	18	64	digit		M	
05	19	27	digit	z	M	
05	20	102	digit	u	M	
05	21	16	digit		M	
05	22	68	digit		M	
05	23	62	digit		M	
05	24	S51	sign		M	long-s closed into loop
05	25	|	divider		H	
05	26	60	digit		M	
05	27	12	digit	a	M	
05	28	7	digit		M	
05	29	|	divider		H	
05	30	26	digit		M	last token before right margin
06	1	S23	sign		M	x-shaped sign
06	2	S46	sign	e	M	crossed t with j-like tail
06	3	16	digit		M	
06	4	|	divider		H	
06	5	23	digit	z	M	
06	6	1	digit		M	
06	7	S13	sign		M	plus/cross mark
06	8	60	digit		M	
06	9	S40	sign		M	n-shape whose right leg closes into a loop
06	10	|	divider		H	
06	11	69	digit		M	
06	12	26	digit		M	
06	13	S30	sign		M	c-hook joined to na
06	14	|	divider		H	
06	15	S54	sign		M	f with a closed loop
06	16	44	digit		M	
06	17	S34	sign		M	A+o ligature
06	18	S37	sign		M	crossed t joined to o
06	19	|	divider		H	
06	20	12	digit	a	M	
06	21	S45	sign		M	small reversed-3 curl
06	22	S50	sign		M	z with a long looped tail
06	23	S13	sign		M	plus/cross mark
06	24	16	digit		M	
06	25	|	divider		H	
06	26	26	digit		M	
06	27	15	digit		M	
06	28	S37	sign		M	crossed t joined to o
06	29	6	digit		M	
06	30	11	digit		M	
06	31	S33	sign		M	loop-with-two-legs shape
06	32	10	digit		M	
06	33	|	divider		H	
06	34	X?	X?	qual	M	bold capital V shape, no confident atlas match; gloss looks like a short cursive word
06	35	S16	sign		M	tall long-s-like flourish
06	36	16	digit		M	
06	37	S13	sign		M	plus/cross mark
06	38	X?	X?		M	final mark before right margin, unclear shape
07	1	82	digit		M	
07	2	X?	X?		M	short horizontal double-dash, equals-sign-like
