line	position	gloss	vote
01	1	z	i
01	2	a	a
01	3	y	y
01	4	r	r
01	5	e	e
01	6	s	ss
01	7	e	e
01	8	u	u
01	9	l	l
01	10	i	i
01	11	s	s
01	13	l	l
01	14	e	e
01	15	tt	tt
01	16	r	r
01	17	e	e
01	18	quel	quel
01	19	so	so
01	21	a	a
01	22	p	p
01	23	l	l
01	24	e	e
02	3	m	m
02	4	e	e
02	5	s	s
02	6	s	ss
02	7	r	r
02	8	z	i
02	9	r	r
02	10	u	u
02	12	d	d
02	13	u	u
02	15	u	u
02	16	z	i
02	17	n	n
02	18	a	a
02	19	t	t
02	20	u	u
02	21	n	n
02	22	a	a
02	24	i	i
02	25	e	e
02	26	s	s
02	27	m	m
02	30	d	d
02	31	u	u
02	33	p	p
02	34	a	a
03	1	ss	ss
03	4	po	pour
03	6	r	r
03	7	c	c
03	8	s	s
03	9	p	p
03	10	o	o
03	11	n	n
03	12	c	c
03	13	r	r
03	17	d	d
03	18	e	e
03	19	s	ss
03	20	e	e
03	21	que	que
03	23	s	s
03	24	c	c
03	25	i	i
03	26	p	p
03	27	l	l
03	28	o	o
03	29	n	n
03	30	so	so
03	32	a	a
03	33	r	r
03	34	e	e
04	1	s	s
04	2	p	p
04	3	o	o
04	4	n	n
04	5	d	d
04	6	u	u
04	7	d	d
04	8	t	t
04	9	f	f
04	11	u	u
04	12	r	r
04	13	l	l
04	14	e	e
04	15	f	f
04	16	a	a
04	17	z	i
04	18	t	t
04	20	po	pour
04	21	l	l
04	22	e	e
04	23	quel	quel
04	24	se	se
04	26	e	e
04	27	s	s
04	28	t	t
04	29	o	o
04	30	z	i
04	31	t	t
05	1	e	e
05	2	n	n
05	3	u	u
05	5	p	p
05	6	a	a
05	7	r	r
05	8	d	d
05	9	r	r
05	10	c	c
05	11	a	a
05	13	p	p
05	14	a	a
05	15	r	r
05	16	l	l
05	17	e	e
05	18	s	s
05	19	q	q
05	20	u	u
05	21	e	e
05	22	tt	tt
05	23	e	e
05	26	z	i
05	27	a	a
05	28	y	y
05	30	e	e
06	1	s	s
06	2	t	t
06	3	e	e
06	6	i	i
06	7	en	en
06	13	f	f
06	14	o	o
06	15	r	r
06	16	t	t
06	18	a	a
06	19	y	y
06	22	e	e
06	24	d	d
06	25	e	e
06	26	n	n
06	27	t	t
06	28	e	e
06	29	n	n
06	30	d	d
06	31	r	r
06	32	e	e
06	34	que	que
06	35	l	l
06	36	e	e
06	37	s	s
06	38	f	f
07	1	o	o
07	2	r	r
07	3	c	c
07	4	e	e
07	5	s	s
07	7	quel	quel
07	8	so	so
07	10	m	m
07	11	e	e
07	12	n	n
07	13	e	e
07	14	r	r
07	17	o	o
07	18	t	t
07	19	e	e
07	20	n	n
07	21	t	t
07	23	t	t
07	25	e	e
07	26	ll	ll
07	27	e	e
07	28	s	s
07	30	que	que
07	31	so	so
07	32	m	m
07	33	a	a
07	34	n	n
07	35	d	d
07	36	e	e
08	4	r	r
08	5	n	n
08	6	o	o
08	7	n	n
08	8	s	s
08	9	e	e
08	10	u	u
08	11	ll	ll
08	12	e	e
08	13	m	m
08	14	e	e
08	15	n	n
08	16	t	t
08	18	po	pour
08	20	f	f
08	21	e	e
08	22	r	r
08	23	e	e
08	24	g	g
08	25	a	a
08	26	r	r
08	27	d	d
08	29	d	d
08	30	u	u
08	32	f	f
08	33	a	a
08	34	i	i
08	35	t	t
09	2	u	u
09	3	s	s
09	4	d	d
09	5	z	i
09	6	c	c
09	7	t	t
09	9	f	f
09	10	i	i
09	11	l	l
09	13	s	s
09	14	e	e
09	15	p	p
09	16	r	r
09	17	e	e
09	19	e	e
09	20	n	n
09	21	t	t
09	22	e	e
09	24	r	r
09	25	a	a
09	27	o	o
09	28	c	c
09	29	a	a
09	30	s	s
09	31	z	i
09	32	o	o
09	35	d	d
09	36	e	e
09	37	l	l
09	38	e	e
10	1	t	t
10	2	a	a
10	3	n	n
10	4	t	t
10	5	e	e
10	6	r	r
10	8	p	p
10	9	a	a
10	10	r	r
10	11	c	c
10	12	u	u
10	14	t	t
10	15	e	e
10	18	o	o
10	19	z	i
10	20	e	e
10	22	l	l
10	23	a	a
10	24	m	m
10	25	a	a
10	26	e	e
10	28	e	e
10	29	n	n
10	30	c	c
10	31	o	o
10	32	r	r
