line	position	token	kind	grade	note
01	1	2429	digit	M	small numerals upper right corner of the image, different apparent scale from the main line; possibly a marginal/foliation numeral or bleed-through, not confidently part of the main code stream
01	2	6	digit	M	single digit, small mark above, exact diacritic unclear
01	3	12	digit	H	clear paired digits
01	4	73	digit	H	clear digits
01	5	6	digit	M	single digit, small dot above
01	6	9	digit	M	single digit, small curl above
01	7	16	digit	H	clear
01	8	10	digit	M	"could be ""10"" or ""1o"", small tick above"
01	9	4	digit	M	crowded against neighbours
01	10	6	digit	M	superscript loop above, could be part of ff-lig instead
01	11	5	digit	M	
01	12	16	digit	M	crowded, second digit uncertain
01	13	5	digit	M	
01	14	6	digit	M	
01	15	12	digit	H	
01	16	9	digit	M	
01	17	5	digit	M	
01	18	6	digit	M	line ends on this digit
02	1	10	digit	M	"line begins with ""10"", small tick above"
02	2	6	digit	M	
02	3	9	digit	M	
02	4	6	digit	M	
02	5	6	digit	M	
02	6	9	digit	M	
02	7	10	digit	M	
02	8	16	digit	M	
02	9	6	digit	M	
02	10	4	digit	M	
02	11	1	digit	M	"tiny stroke, could be ""i"" flourish rather than digit ""1"""
02	12	5	digit	M	
02	13	10	digit	M	
02	14	4	digit	M	
02	15	6	digit	M	
02	16	6	digit	M	
02	17	16	digit	M	
02	18	5	digit	M	
02	19	104	digit	M	crowded triple digit near right edge
03	1	7	digit	M	single digit at line start
03	2	6	digit	M	
03	3	22	digit	M	"paired digits, could be ""22"" or ""zz"""
03	4	6	digit	M	
03	5	4	digit	M	
03	6	5	digit	M	"tall loop, could be ""S"" abbreviation instead of digit 5"
03	7	15	digit	M	
03	8	9	digit	M	
03	9	6	digit	M	
03	10	5	digit	M	
03	11	16	digit	H	
03	12	9	digit	M	
03	13	6	digit	M	
03	14	9	digit	M	
03	15	60	digit	M	
03	16	9	digit	M	
03	17	7	digit	M	
03	18	5	digit	M	
03	19	14	digit	M	
03	20	6	digit	M	line ends
04	1	6	digit	M	
04	2	5	digit	M	
04	3	104	digit	M	
04	4	6	digit	M	
04	5	7	digit	M	
04	6	5	digit	M	
04	7	16	digit	H	
04	8	14	digit	M	
04	9	64	digit	M	
04	10	5	digit	M	
04	11	16	digit	M	
04	12	6	digit	M	
04	13	9	digit	M	
05	1	6	digit	M	
05	2	15	digit	M	
05	3	16	digit	M	
05	4	5	digit	M	
05	5	5	digit	M	
05	6	5	digit	M	
05	7	6	digit	M	
05	8	9	digit	M	
05	9	1	digit	M	
05	10	4	digit	M	
05	11	6	digit	M	
05	12	4	digit	M	
05	13	10	digit	M	
05	14	6	digit	M	
05	15	16	digit	M	
05	16	6	digit	M	
05	17	5	digit	M	
05	18	6	digit	M	
05	19	4	digit	M	
05	20	12	digit	M	
06	1	16	digit	M	
06	2	3	digit	M	"small isolated digit, could be ""z"" instead"
06	3	60	digit	M	
06	4	66	digit	M	
06	5	6	digit	M	
06	6	44	digit	M	
06	7	1	digit	M	
06	8	25	digit	M	
06	9	16	digit	M	
06	10	6	digit	M	
06	11	15	digit	M	
06	12	6	digit	M	
06	13	16	digit	M	
06	14	5	digit	M	
06	15	164	digit	M	crowded triple digit near line end
07	1	5	digit	M	line begins
07	2	9	digit	M	
07	3	16	digit	M	
07	4	6	digit	M	
07	5	15	digit	M	
07	6	16	digit	M	
07	7	544	digit	M	crowded triple digit
07	8	6	digit	M	
07	9	6	digit	M	
07	10	15	digit	M	
07	11	66	digit	M	
07	12	16	digit	M	
07	13	5	digit	M	
07	14	12	digit	M	
07	15	15	digit	M	
07	16	16	digit	M	line ends
08	1	77	digit	M	line begins, crowded
08	2	44	digit	M	
08	3	1	digit	M	
08	4	5	digit	M	
08	5	6	digit	M	
08	6	10	digit	M	
08	7	4	digit	M	
08	8	65	digit	M	
08	9	26	digit	M	
08	10	6	digit	M	
08	11	15	digit	M	
08	12	16	digit	M	
08	13	6	digit	M	
08	14	12	digit	M	
08	15	510	digit	M	crowded triple digit
08	16	12	digit	M	
08	17	60	digit	M	
09	1	5104	digit	M	crowded cluster at line start
09	2	x	digit	M	single mark, could be digit or sign
09	3	5	digit	M	
09	4	64	digit	M	
09	5	9	digit	M	
09	6	60	digit	M	
09	7	8	digit	M	
09	8	16	digit	M	
09	9	6	digit	M	
09	10	16	digit	M	
09	11	15	digit	M	
09	12	6	digit	M	
09	13	14	digit	M	
09	14	9	digit	M	
09	15	14	digit	M	
09	16	4	digit	M	
09	17	16	digit	M	
09	18	5	digit	M	
09	19	6	digit	M	line ends
