line	position	token	kind	grade	note
01	1	SIGN	sign	M	cursive text before the numeral stream, looks like a plaintext heading/greeting in secretary hand rather than a coded token; recorded for completeness
01	2	6	digit	H	
01	3	SIGN	sign	H	clear + shaped stroke
01	4	1	digit	M	small raised stroke above may be an accent/dot, not a separate token
01	5	SIGN	sign	M	recurring squiggle/tilde-like mark seen constantly through the ms; unclear if digit-2-form or separator/nul sign
01	6	73	digit	H	bold clear digits
01	7	SIGN	sign	H	A with small raised o, clean and distinctive
01	8	SIGN	sign	M	
01	9	6	digit	H	
01	10	9	digit	H	small dot/accent above
01	11	16	digit	H	
01	12	10	digit	M	raised stroke above the 0, could be accent
01	13	4	digit	H	
01	14	SIGN	sign	H	tied double-f with crossbar, very distinctive
01	15	6	digit	H	small accent dot above
01	16	SIGN	sign	M	
01	17	5	digit	H	
01	18	16	digit	H	
01	19	5	digit	M	crowded against next token
01	20	SIGN	sign	M	loop with descender tail, could be a distinct sign or a flourished digit
01	21	6	digit	H	
01	22	SIGN	sign	M	
01	23	SIGN	sign	M	tall looped ascender, shape uncertain
01	24	12	digit	H	
01	25	05	digit	H	
01	26	SIGN	sign	M	
01	27	6	digit	H	
01	28	2429	digit	M	isolated numeral top right corner, offset above the main line; possibly an archival/folio pagination mark rather than part of the cipher stream -- flagged for reconciler
02	1	10	digit	M	raised accent stroke above
02	2	SIGN	sign	M	
02	3	SIGN	sign	M	double-u/wavy mark, could be a diacritic on the following character rather than its own token
02	4	6	digit	H	
02	5	SIGN	sign	H	
02	6	9	digit	H	
02	7	SIGN	sign	H	
02	8	SIGN	sign	M	smaller than the line-01 example, possibly a related but distinct sign
02	9	6	digit	H	
02	10	SIGN	sign	M	
02	11	SIGN	sign	M	
02	12	6	digit	H	
02	13	9	digit	H	
02	14	10	digit	M	
02	15	SIGN	sign	M	
02	16	7	digit	H	
02	17	6	digit	H	
02	18	SIGN	sign	H	
02	19	1	digit	M	
02	20	SIGN	sign	M	small hooked loop, uncertain identity
02	21	SIGN	sign	H	
02	22	10	digit	H	
02	23	4	digit	H	
02	24	SIGN	sign	H	
02	25	SIGN	sign	M	tied na-like stroke with an overbar, looks like an abbreviation mark
02	26	6	digit	H	
02	27	SIGN	sign	M	
02	28	6	digit	H	
02	29	SIGN	sign	H	
02	30	SIGN	sign	M	
02	31	16	digit	H	
02	32	104	digit	H	
02	33	SIGN	sign	M	single hooked f-like stroke, distinct from the ff-ligature
02	34	12	digit	M	
03	1	SIGN	sign	H	
03	2	6	digit	H	
03	3	SIGN	sign	M	
03	4	22	digit	M	"could be ""2z"" -- second stroke ambiguous between digit 2 and the z-flourish sign"
03	5	SIGN	sign	M	
03	6	SIGN	sign	H	
03	7	SIGN	sign	M	
03	8	6	digit	H	
03	9	4	digit	M	ink slightly blotted
03	10	5	digit	H	
03	11	8	digit	H	
03	12	SIGN	sign	M	
03	13	15	digit	H	
03	14	9	digit	H	
03	15	SIGN	sign	M	
03	16	SIGN	sign	M	
03	17	6	digit	H	
03	18	5	digit	H	
03	19	16	digit	H	
03	20	9	digit	H	
03	21	SIGN	sign	M	
03	22	6	digit	H	
03	23	SIGN	sign	M	
03	24	SIGN	sign	H	
03	25	9	digit	H	
03	26	60	digit	H	
03	27	9	digit	M	
03	28	SIGN	sign	H	
03	29	SIGN	sign	H	
03	30	SIGN	sign	M	small pennant-like stroke, uncertain
03	31	5	digit	H	
03	32	14	digit	H	
03	33	SIGN	sign	H	
03	34	16	digit	H	
04	1	SIGN	sign	H	
04	2	6	digit	H	
04	3	SIGN	sign	M	small triangular flick before the following ligature
04	4	SIGN	sign	M	
04	5	104	digit	H	
04	6	SIGN	sign	M	
04	7	6	digit	H	
04	8	SIGN	sign	H	
04	9	7	digit	H	
04	10	SIGN	sign	M	
04	11	5	digit	H	
04	12	16	digit	H	
04	13	SIGN	sign	H	small asterisk/grid-like crossing strokes, distinctive
04	14	14	digit	H	
04	15	64	digit	H	
04	16	SIGN	sign	M	"tied ""to""-like stroke"
04	17	SIGN	sign	M	
04	18	5	digit	H	
04	19	16	digit	H	
04	20	SIGN	sign	M	uncertain tied shape
04	21	SIGN	sign	M	
04	22	6	digit	H	
04	23	SIGN	sign	H	
04	24	SIGN	sign	M	
04	25	SIGN	sign	M	
04	26	SIGN	sign	M	tied bo-like stroke
04	27	SIGN	sign	M	"could be ""tc"" or ""ic"", crowded at line end"
04	28	104	digit	H	
05	1	SIGN	sign	M	
05	2	6	digit	H	
05	3	15	digit	H	
05	4	10	digit	H	
05	5	SIGN	sign	M	
05	6	SIGN	sign	M	
05	7	SIGN	sign	M	
05	8	SIGN	sign	H	
05	9	6	digit	H	
05	10	SIGN	sign	M	
05	11	6	digit	H	
05	12	9	digit	H	
05	13	14	digit	H	
05	14	8	digit	H	
05	15	12	digit	M	
05	16	SIGN	sign	M	
05	17	SIGN	sign	H	
05	18	SIGN	sign	M	
05	19	6	digit	H	
05	20	4	digit	H	
05	21	SIGN	sign	M	
05	22	SIGN	sign	M	
05	23	10	digit	H	
05	24	SIGN	sign	M	
05	25	16	digit	H	
05	26	6	digit	H	
05	27	SIGN	sign	M	
05	28	6	digit	H	
05	29	SIGN	sign	M	
05	30	SIGN	sign	M	
05	31	5	digit	H	
05	32	6	digit	H	
05	33	0	digit	M	
05	34	12	digit	M	
05	35	SIGN	sign	M	
05	36	SIGN	sign	M	crowded at line end, could be one mark not two
05	37	6	digit	H	
06	1	SIGN	sign	H	
06	2	SIGN	sign	M	
06	3	16	digit	H	
06	4	SIGN	sign	M	
06	5	60	digit	H	
06	6	SIGN	sign	M	
06	7	66	digit	M	"could be ""SS""-shaped sign rather than digit pair, ink heavy"
06	8	SIGN	sign	M	
06	9	6	digit	H	
06	10	SIGN	sign	M	tied ua-like stroke
06	11	SIGN	sign	M	
06	12	44	digit	H	
06	13	SIGN	sign	H	
06	14	SIGN	sign	M	
06	15	12	digit	M	
06	16	SIGN	sign	M	
06	17	SIGN	sign	H	
06	18	16	digit	H	
06	19	SIGN	sign	M	
06	20	6	digit	H	
06	21	15	digit	H	
06	22	to	digit	M	"could be digit ""10"" with flourish or the to-ligature sign; kept separate from the usual to-ligature because it sits directly against a digit run"
06	23	6	digit	H	
06	24	SIGN	sign	M	
06	25	SIGN	sign	M	
06	26	16	digit	H	
06	27	SIGN	sign	M	
06	28	5	digit	H	
06	29	164	digit	M	tight cluster, could segment as 16 / 4
06	30	SIGN	sign	H	
07	1	5	digit	H	
07	2	SIGN	sign	M	
07	3	SIGN	sign	H	
07	4	9	digit	H	
07	5	16	digit	H	
07	6	SIGN	sign	H	
07	7	SIGN	sign	M	tied np-like stroke, uncertain
07	8	SIGN	sign	H	
07	9	SIGN	sign	M	
07	10	SIGN	sign	M	
07	11	6	digit	H	
07	12	1	digit	M	
07	13	16	digit	H	
07	14	SIGN	sign	M	looped descending flourish, uncertain identity
07	15	SIGN	sign	M	
07	16	5	digit	H	
07	17	44	digit	H	
07	18	6	digit	H	
07	19	0	digit	M	
07	20	SIGN	sign	M	
07	21	6	digit	H	
07	22	1	digit	M	
07	23	5	digit	H	
07	24	SIGN	sign	M	
07	25	6	digit	H	
07	26	SIGN	sign	M	
07	27	11	digit	M	
07	28	5	digit	H	
07	29	SIGN	sign	M	
07	30	16	digit	H	
07	31	SIGN	sign	M	
07	32	5	digit	H	
07	33	164	digit	M	tight run at line end
08	1	77	digit	M	"heavy ink, could be ""F"" shaped sign instead of digit pair"
08	2	SIGN	sign	H	
