code	value	grade	source	note
12	a	H	key	A
14	a	H	key	A
28	a	H	key	A
S01	b	H	key	B
3	b	H	key	B
9	c|ss	M	M	C+DOUBLES:ss(round)
5	d|l	M	M	D+L
26	e	H	key	E
16	e	H	key	E
62	e	H	key	E
S02	f	H	key	F
S03	g	H	key	G
17	h	H	key	H
60	i	H	key	I
64	i	H	key	I
24	i	H	key	I
S27	l	H	key	L
S28	m	H	key	M
S29	m	M	M	M
S30	n	H	key	N
15	n	H	key	N
82	o	H	key	O
44	o	H	key	O
S31	p	H	key	P
S32	q|n'aye	M	M	Q+MONOSYL1:n'aye
S33	r	H	key	R
S34	r	H	key	R
S35	s	M	M	S
S36	s	M	M	S
S37	t|fit	M	M	T+MONOSYL1:fit
S38	t	M	M	T
102	u	H	key	V
7	u	H	key	V
104	u	H	key	V
S39	x	H	key	X
73	y	H	key	Y
S40	z	H	key	Z
S04	&	H	key	&
S05	&	M	M	&
22	sc|pour	M	M	DOUBLES:sc?+MONOSYL1:pour
18	cc	H	key	DOUBLES:cc
66	ff	H	key	DOUBLES:ff
69	ll	H	key	DOUBLES:ll
76	mm	H	key	DOUBLES:mm
106	nn	H	key	DOUBLES:nn
52	pp	H	key	DOUBLES:pp
56	rr	M	M	DOUBLES:rr
54	ss	M	M	DOUBLES:ss(long)
58	tt	H	key	DOUBLES:tt
S06	NULL	H	key	NULLES:1
S07	NULL	H	key	NULLES:2
S08	NULL	H	key	NULLES:3
S09	NULL	H	key	NULLES:4
S10	NULL	H	key	NULLES:5
S41	NULL	H	key	NULLES:6
S42	NULL	H	key	NULLES:7
S43	NULL	H	key	NULLES:8
S44	NULL	H	key	NULLES:9
S45	NULL	H	key	NULLES:10
S46	dict	M	M	MONOSYL1:dict
S17	fist|Monsr [ ]	M	M	MONOSYL1:fist+LEFTLIST:Monsr [ ]
S47	n'est	H	key	MONOSYL1:n'est
S48	quel	H	key	MONOSYL1:quel
S49	quil	H	key	MONOSYL1:quil
S50	fait	H	key	MONOSYL1:fait
S51	vous	H	key	MONOSYL1:vous
S52	ne	H	key	MONOSYL1:ne
S53	dict	H	key	MONOSYL1:dict
S54	il	H	key	MONOSYL1:il
S55	est	H	key	MONOSYL1:est
S56	avec	M	M	MONOSYL2:avec
S57	tout	H	key	MONOSYL2:tout
S58	fault	H	key	MONOSYL2:fault
S59	hault	H	key	MONOSYL2:hault
S60	vne?	M	M	MONOSYL2:vne?
S61	cy?	M	M	MONOSYL2:cy?
S62	par	H	key	MONOSYL2:par
S63	tant	H	key	MONOSYL2:tant
S64	quant	H	key	MONOSYL2:quant
S65	mon?	M	M	MONOSYL2:mon?
S11	mont	H	key	MONOSYL2:mont
S12	vne	H	key	MONOSYL2:vne
S66	de	H	key	LASTWORD:de
S67	florin(s)	H	key	LASTWORD:florin(s)
S68	douze?	M	M	LASTWORD:douze?
S69	arm.	M	M	LASTWORD:arm.
S70	mil	H	key	LASTWORD:mil
S71	escus	M	M	LASTWORD:escus
S13	artillerie	H	key	LASTWORD:artillerie
99	ligue	H	key	LASTWORD:ligue
S72	beaute	H	key	LASTWORD:beaute
S14	leurs	H	key	LASTWORD:leurs
S73	munitions?	M	M	LASTWORD:munitions?
S74	Le Roy mre	M	M	LEFTLIST:Le Roy mre
S75	L'Empereur	H	key	LEFTLIST:L'Empereur
S15	Le Roy de Boheme	H	key	LEFTLIST:Le Roy de Boheme
S16	Le Duc de Guyse	H	key	LEFTLIST:Le Duc de Guyse
S76	Le Duc d'Aumale	H	key	LEFTLIST:Le Duc d'Aumale
S18	France	H	key	LEFTLIST:France
S19	Suisses	H	key	LEFTLIST:Suisses
S20	gendarmerie	H	key	LEFTLIST:gendarmerie
S21	haulte ligue	H	key	LEFTLIST:haulte ligue
S22	gens de pied	H	key	LEFTLIST:gens de pied
S23	armee de mer	H	key	LEFTLIST:armee de mer
S24	cardinal de [L.]	H	key	LEFTLIST:cardinal de [L.]
S25	Rome	H	key	LEFTLIST:Rome
S77	Naples	H	key	LEFTLIST:Naples
S78	Millan	H	key	LEFTLIST:Millan
S79	Florence	H	key	LEFTLIST:Florence
S26	Ferrare	H	key	LEFTLIST:Ferrare
S80	Sienne?	M	M	LEFTLIST:Sienne?
