line	position	old	new	partner	reason	grade
01	16	S40	S33	-	R-shape with hooked loop at top-left and two legs; gloss is r rotunda	M
02	5	4	S36	-	tall long-s stroke from above ending in a cross (x over descender); no closed 4 top	M
02	9	S40	S33	-	R-shape: hooked loop at top-left, two legs, right leg flicks out; not the smooth n-loop Z	M
02	26	4	S36	-	long-s stroke descending from above through the cross	M
03	1	4	S36	-	cross with vertical stroke under a tall ss gloss; 4 is not a key code, sits alone before 62	M
03	8	4	S36	-	long-s stroke from above running into the cross (x over descender)	M
03	23	4	S36	-	cross at baseline with long-s stroke above; lone, no digit neighbour (next is 9)	M
04	1	4	S36	-	diagonal x with long-s descender stroke from above; clear S36	M
04	9	4	S36	-	single-bar cross, gloss is a long-s stroke touching it; no second bar (not S02)	M
04	12	S40	S33	-	top-left loop and two legs (R form), not the smooth closing-loop Z	M
04	15	4	S02	-	cross with a second parallel bar (x joined to t), gloss a looped f	M
04	27	4	S36	-	long-s stroke from above ending in an x	M
05	15	S40	S33	-	top-left loop and two legs (R form)	M
05	18	4	S36	-	long-s stroke from above ending in an x after the 6	M
06	1	4	S36	-	single cross with long-s stroke from above	M
06	13	4	S02	-	double-barred cross (x joined to t) under an f gloss	M
06	21	4	S36	-	single cross right after a long-s+small-s sign (pos20 ?, looks S35); could be one S35/S36 group with pos20	M
06	31	S40	S33	-	capital-R form, loop at top and two legs	M
06	37	4	S36	-	single cross under a long-s gloss, not touching; no digit neighbour	M
06	38	4	S02	-	cross with a second long bar (x joined to t) under a crossed-f gloss	M
07	5	4	S36	-	single x under a long-s gloss, no digit neighbour	M
07	28	4	S36	-	single x after 16 under an s gloss	M
08	8	4	S36	-	long-s stroke from above running into a single x	M
08	22	S40	S33	-	R form: hooked top, two separate legs, right leg flicks out	M
09	3	4	S36	-	single x after the complete 104 (whose own 4 is separate), under a long-s gloss	M
09	9	4	S36	-	single x with the gloss stroke touching it; no second bar, so not S02	M
09	13	4	S36	-	long stroke from above crossing a single bar	M
