line	position	token	kind	gloss	grade	note
01	1	w:Monsieur	plain		H	s1 salutation, fluent cursive over library stamp
01	2	64	digit	f	H	s1 gloss a long-s/f-like letter, uncertain
01	3	12	digit	a	H	s1
01	4	73	digit	y	M	s1 the 3 is a flat-topped z-shape with tail, could be sign S64; gloss sits over the 7
01	5	S34	sign	r	H	s1 Ao; gloss r or t
01	6	26	digit	e	H	s1
01	7	9	digit	s	M	s1 centred on the tick, counted s1
01	8	16	digit	e	H	s2
01	9	104	digit	u	H	s2
01	10	S27	sign	l	H	s2 a short dash also above, left of the gloss l
01	11	62	digit	i	H	s2
01	12	S23	sign	s	M	s2 x-shaped cross, no long descender
01	13	|	divider		H	s2
01	14	5	digit	l	H	s2
01	15	16	digit	e	H	s2
01	16	58	digit	tt	M	s2 first stroke long-s-like, second P/8-like; could be a sign; gloss looks tt (or H)
01	17	S40	sign	r	H	s2
01	18	62	digit	e	H	s2
01	19	S32	sign	quel	M	s2 Y with flag; gloss is the word quel in the gloss hand
01	20	S35	sign	so	M	s2 long s + s
01	21	|	divider	a	H	s2 a gloss 'a' sits just above the divider
01	22	12	digit	a	H	s2
01	23	9	digit	p	H	s2
01	24	5	digit	l	H	s2
01	25	26	digit	e	H	s2
02	1	102	digit		M	s1 library stamp rim runs just above; no gloss visible
02	2	|	divider		H	s1
02	3	S29	sign	m	H	s1 minims uu
02	4	26	digit	i	M	s1 gloss small, i or e
02	5	64	digit	f	H	s1 gloss a tall f/long-s
02	6	9	digit	s	H	s1
02	7	S34	sign	r	H	s1 Ao
02	8	60	digit	f	M	s1 gloss f-like with crossbars
02	9	S40	sign	r	H	s1
02	10	26	digit	u	M	s1
02	11	|	divider		H	s1
02	12	S16	sign	d	M	s1 long-s stroke without clear top loop
02	13	102	digit	u	H	s1 the 2 sits on the tick; token centre left of it
02	14	|	divider		H	s2 curved stroke like (
02	15	7	digit	u	H	s2
02	16	64	digit	f	H	s2
02	17	15	digit	n	M	s2 second stroke long-s-like, read as 5
02	18	S03	sign	a	M	s2 loop with long tail descending then right; S22 possible
02	19	4	digit	t	M	s2 lone cross-with-tail, read as digit 4
02	20	104	digit	u	H	s2
02	21	S30	sign	n	M	s2 na shape; c-hook faint
02	22	S03	sign	a	M	s2 loop with long tail
02	23	|	divider		H	s2
02	24	60	digit	t	M	s2 gloss t or l
02	25	26	digit	e	M	s2 gloss e or i
02	26	64	digit	f	H	s2 gloss a large f above
02	27	S29	sign	m	M	s2 minims; gloss m with a leading curl
02	28	16	digit		M	s2 no gloss seen
02	29	|	divider		H	s2
02	30	S16	sign	d	M	s2 long-s stroke
02	31	104	digit	u	H	s2
02	32	|	divider		H	s2
02	33	9	digit	p	H	s2
02	34	12	digit	a	H	s2
03	1	4	digit	ff	M	s1 cross-with-tail; above/left two thick tall long-s strokes joined by a top bar with small ci marks -- read as a large gloss (ff or ss?), could instead be sign S27
03	2	62	digit		H	s1
03	3	|	divider		H	s1
03	4	22	digit	po	M	s1 gloss po (second letter o or e)
03	5	|	divider		H	s1
03	6	S34	sign	r	H	s1 Ao
03	7	2	digit	e	M	s1 lone 2; gloss small c/e/r-like
03	8	64	digit	f	H	s1 gloss a tall f
03	9	S31	sign	p	M	s1 circle on a cross with a stem above; gloss p plus a tick
03	10	82	digit	o	M	s1 8 and 2 slightly spaced, read as one code; gloss over the 8
03	11	15	digit	n	H	s1 5 in long-s form
03	12	9	digit	q	M	s1 a thin vertical stroke runs through it (possible faint divider); gloss q or g
03	13	S40	sign	r	M	s1 large arch with looped right leg, joined to the following 62; gloss r sits over the 62
03	14	62	digit		M	s1 small 6-loop and 2 inside the S40 flourish
03	15	6	digit		M	s2 lone 6
03	16	|	divider		H	s2
03	17	S16	sign	d	M	s2 small long-s stroke, same shape as the other d-glossed long-s signs; could be digit 5
03	18	16	digit	e	H	s2
03	19	9	digit	s	M	s2
03	20	26	digit	e	H	s2
03	21	S32	sign	quel	H	s2 gloss quel
03	22	|	divider		M	s2 thin faint vertical
03	23	4	digit	s	M	s2 large cross, could be S13; gloss tall long s
03	24	9	digit	c	M	s2
03	25	60	digit	l	M	s2
03	26	S31	sign	t	M	s2 circle on a cross; gloss cross-like t
03	27	64	digit	l	M	s2 gloss l or f
03	28	4	digit	o	M	s2 gloss o or v
03	29	4	digit		M	s2 no gloss seen
03	30	15	digit	n	H	s2
03	31	S35	sign	so	H	s2
03	32	|	divider	a	M	s2 an a-like gloss mark above the divider
03	33	14	digit	a	M	s2 could be 1 and 4 separately; gloss over the 4
03	34	S34	sign	r	H	s2
03	35	16	digit	e	H	s2
04	1	4	digit	s	M	s1 x-like cross; gloss a tall long s (or f) rising at left
04	2	S31	sign	p	H	s1 circle on a cross, p-like top
04	3	82	digit	o	M	s1 8 and 2 slightly spaced, read as one code; gloss over the 8
04	4	S30	sign	n	M	s1 na shape
04	5	S16	sign	d	M	s1 small long-s stroke
04	6	104	digit	u	H	s1
04	7	S16	sign	d	M	s1 small long-s stroke
04	8	26	digit	t	M	s1 gloss t (possibly te)
04	9	4	digit	f	M	s1 gloss a large f/long s
04	10	|	divider		H	s1
04	11	7	digit	u	M	s1
04	12	S40	sign	r	H	s1
04	13	5	digit	l	H	s1 gloss script l
04	14	16	digit	e	H	s1
04	15	4	digit	f	M	s2 double-barred cross; gloss crossed f
04	16	14	digit	a	H	s2
04	17	64	digit	f	H	s2
04	18	S37	sign	t	H	s2 to
04	19	|	divider		H	s2 heavy stroke over the next 2
04	20	22	digit	po	H	s2
04	21	5	digit	l	H	s2
04	22	16	digit	e	H	s2
04	23	S32	sign	quel	M	s2 u-y shape with long descender; gloss quel
