line	position	token	kind	gloss	grade	note
01	1	w:Monsieur	plain		H	s1 address word left of stamp
01	2	64	digit	z	H	s1 gloss a crossed z-like letter
01	3	12	digit	a	M	s1 gloss a or n
01	4	73	digit	y	M	s1 gloss above 7; 7 and 3 read as one code
01	5	S34	sign	r	H	s1 Ao shape; gloss r or x
01	6	26	digit	c	H	s1
01	7	9	digit	s	M	s1 centre on the tick, marginally left; gloss s or r
01	8	16	digit	e	H	s2
01	9	104	digit	u	H	s2 gloss above 10
01	10	S27	sign	l	M	s2 doubled long-s with crossbar; small dash before gloss
01	11	62	digit	i	M	s2 gloss a dot/tick, i?
01	12	S23	sign	s	M	s2 small x-shape, could be S36
01	13	|	divider		H	s2
01	14	5	digit	l	M	s2
01	15	16	digit	e	H	s2
01	16	58	digit	ll	M	s2 gloss crossed ll (or tt); first digit resembles s, may be 68
01	17	S40	sign	r	M	s2 gloss r or z
01	18	62	digit	c	M	s2 gloss c or e
01	19	S32	sign	qual	M	s2 Y with hooked top; could be S79; gloss 'qual' written as a word
01	20	S35	sign	so	M	s2 long s + looped s; could be S51; small a above the following divider
01	21	|	divider		H	s2
01	22	12	digit	a	H	s2
01	23	S31	sign	p	M	s2 circle on cross, cross runs down into line 02
01	24	5	digit	l	H	s2
01	25	26	digit	c	H	s2
02	1	162	digit		M	s1 stamp rim over gloss zone; could be 16 2
02	2	|	divider		H	s1
02	3	S29	sign	m	H	s1
02	4	26	digit	c	M	s1 gloss c or i
02	5	4	digit	f	M	s1 tall long-s gloss; split 26/4 (alt 2/64)
02	6	9	digit	c	M	s1
02	7	S34	sign	r	M	s1 gloss r or z
02	8	60	digit	z	M	s1 gloss crossed z
02	9	S40	sign	z	M	s1
02	10	26	digit	u	M	s1 gloss two ticks, u?
02	11	|	divider		H	s1
02	12	S16	sign	d	M	s1 tall long-s; gloss d-like (theta shape)
02	13	10	digit	u	H	s1
02	14	2	digit		M	s2 centre just right of tick
02	15	|	divider		M	s2 curved '(' stroke read as divider
02	16	7	digit	u	H	s2
02	17	64	digit	z	H	s2
02	18	15	digit	n	M	s2 second digit a small curved stroke
02	19	S03	sign	a	M	s2 loop with long tail descending right
02	20	4	digit	t	M	s2
02	21	104	digit	u	H	s2
02	22	S30	sign	n	M	s2 'na' shape, c-hook faint
02	23	S03	sign	a	M	s2 same looped-tail sign, tail runs into divider
02	24	|	divider		H	s2
02	25	60	digit	i	M	s2
02	26	26	digit	c	M	s2
02	27	4	digit	f	M	s2 tall curved gloss
02	28	S29	sign	m	M	s2 uu with a leading hook; gloss c-hook+m
02	29	16	digit		M	s2 6 may be 0
02	30	|	divider		H	s2
02	31	S16	sign	d	M	s2
02	32	104	digit	u	H	s2
02	33	|	divider		M	s2 double stroke
02	34	S31	sign	p	M	s2
02	35	12	digit	a	H	s2
02	36	w:g?	plain		M	s2 isolated large g/9-shaped mark in right margin at paper edge; may be archival
03	1	S27	sign	c	M	s1 tall long-s pair with a crossed stroke below (4-like); small c at top right read as gloss; could be X?
03	2	62	digit		H	s1
03	3	|	divider		H	s1
03	4	22	digit	po	M	s1 gloss 'po' over both digits; could be 2 + 2
03	5	|	divider		H	s1
03	6	S34	sign	z	H	s1 gloss crossed z
03	7	26	digit	r	M	s1 gloss r or c above 2; split 26/4 (alt 2/64)
03	8	4	digit	f	M	s1 tall long-s gloss
03	9	S31	sign	p	M	s1
03	10	82	digit	u	M	s1 8 then flat 2; gloss two ticks (u?)
03	11	15	digit	n	M	s1 second digit a curved stroke; could be 11
03	12	9	digit	r	M	s1 a thin vertical stroke crosses the 9 (divider?)
03	13	S40	sign		M	s1 large n-shape with looped right leg and long descender; loop joined to following 2
03	14	2	digit	c	M	s1
03	15	6	digit		H	s2
03	16	|	divider		H	s2
03	17	5	digit	d	M	s2 5 without clear flag; gloss d/theta
03	18	16	digit	c	M	s2
03	19	9	digit	c	M	s2
03	20	26	digit	c	H	s2
03	21	S32	sign	que	M	s2 Y with hooked top; could be S79; gloss 'que'
03	22	|	divider		M	s2 thin vertical stroke
03	23	4	digit	f	M	s2 tall long-s gloss
