line	pos	code_a	marks_a	code_b	marks_b	note
1	6	S4		S4		base+marks match
1	7	dl		dl		base+marks match
1	9	v	5|1	v		base match
1	11	y		y		base+marks match
1	12	nt		nt		base+marks match
1	13	bh		bh		base+marks match
1	14	w	dot	w	dot	base+marks match
1	15	e		e	+	base match
1	16	eps	5	eps	5	base+marks match
1	17	S7		S7	dot	base match
1	18	p		p		base+marks match
1	19	g		g		base+marks match
1	20	v	1|1	v	1|1	base+marks match
1	21	m	1	m	1	base+marks match
1	22	bh		bh		base+marks match
1	23	Z		Z		base+marks match
2	1	S7	+	S7	+	base+marks match
2	2	g	dot	g	dot	base+marks match
2	3	S4	~	S4	~	base+marks match
2	4	dl		dl		base+marks match
2	13	S4		S4		base+marks match
2	14	dl		dl		base+marks match
2	15	rz		rz		base+marks match
2	17	w		w		base+marks match
2	19	rz		rz		base+marks match
2	20	Z	~	Z	~	base+marks match
2	21	e		e	#	base match
2	22	wd		wd		base+marks match
2	23	y		y		base+marks match
2	24	e	dot	e	+|dot	base match
2	25	psi		psi		base+marks match
2	26	m	~	m	~	base+marks match
3	1	L		L		base+marks match
3	2	bh		bh	3	base match
3	3	phi		phi		base+marks match
3	4	y		y		base+marks match
3	6	g		g	2	base match
3	7	]	o	]	o	base+marks match
3	8	lam		lam		base+marks match
3	9	bh		bh		base+marks match
3	10	S7	#	S7	#	base+marks match
4	11	bh		bh		base+marks match
4	12	S4		S4		base+marks match
4	13	Lx		Lx		base+marks match
4	14	+		+		base+marks match
4	15	lam		lam		base+marks match
4	16	nt	~	nt	~	base+marks match
4	17	y		y		base+marks match
4	18	g		g		base+marks match
4	21	rz		rz		base+marks match
4	22	lam	#	lam	7	base match
4	28	ch		ch		base+marks match
4	29	sq	ot	sq		base match
4	30	tee		tee		base+marks match
5	1	e	#	e	#	base+marks match
5	2	wd		wd		base+marks match
5	3	y		y		base+marks match
5	4	e	dot|+	e	dot|+	base+marks match
5	5	psi		psi		base+marks match
5	6	m	~	m	~	base+marks match
5	7	S7		S7		base+marks match
5	8	g		g	3	base match
5	9	S7	#	S7	#	base+marks match
5	10	a		a		base+marks match
5	12	]	o	]	o	base+marks match
5	13	g		g		base+marks match
5	14	[	~	[	~	base+marks match
5	15	S7	+	S7	1	base match
5	16	S4		S4		base+marks match
6	5	S4		S4		base+marks match
