line	pos	code	marks	source	reason
1	8	phi		BC	A=o. B=phi C=phi; C note: slashed-circle-on-stem, exact match to phi atlas (loop+diagonal+stem), not plain o.
1	8.5	g	+	BC	A=MISSING B=g C=g; C note: separate loop-with-tail matches g atlas; triangular stroke below could be the + mark but reads more like a flourish/underline
2	6	_		BC	A=bh B=_ C=_; C note: part of a continuous plain cursive run (pos6-12), joined ascender/descender strokes, not a cipher glyph shape
2	7	_		BC	A=tee B=_ C=_; C note: same continuous plain cursive run as pos6
2	8	_		BC	A=tee B=_ C=_; C note: same continuous plain cursive run
2	9	_		BC	A=N B=_ C=_; C note: unmistakable cursive letter 'a'
2	10	_		BC	A=S B=_ C=_; C note: cursive s-like curl, part of the same plain run
2	11	_		BC	A=Lx B=_ C=_; C note: M/AC-shaped flourish, part of the same plain run, not a clean Lx match
2	12	_		BC	A=v B=_ C=_; C note: f-N ligature, tail end of the same plain run
2	16	+		BC	A=# B=+ C=+; C note: clean single cross/plus stroke, matches + atlas, not the crosshatch of #
2	18	o.		BC	A=_ B=o. C=o.; C note: circle with a clear center dot, exact match to o. atlas
3	5	+		BC	A=# B=+ C=+; C note: single cross with small serif, matches + atlas better than # crosshatch
3	12	_		split-M	A=S4 B=_ C=#; C note: crosshatched multi-stroke mark (more strokes than a simple +), closer to # atlas; differs from both A's S4 and B's plain call -- three-way split; settled on crop: L1c arbitration (3-way->B), carried over
3	25	_		BC	A=f B=_ C=_; C note: clearly legible plain italic cursive, spells like 'aps'/'afs'
4	3	_		BC	A=S B=_ C=_; C note: plain cursive letters 'sso'
4	8	_		BC	A=p B=_ C=_; C note: plain cursive ': Pu' -- ordinary script
4	19	eps		AC	A=eps B=_ C=eps; C note: clean epsilon-squiggle, exact atlas eps match
4	20	_		AC	A=_ B=rz C=_; C note: plain cursive 'cu' ligature, no cipher shape
5	11	S7	+	BC	A=_ B=S7 C=S7; C note: numeral-7-like hook dominates the box; merged with extra ink, kept at S7 over a plain read
5	23	g	dot	AC	A=g B=_ C=g; C note: loop-with-descender tail, clear g atlas match
5	29	eps		AC	A=eps B=_ C=eps; C note: epsilon squiggle with trailing stroke, matches eps atlas
6	4	S7	dot	AC	A=S7 B=_ C=S7; C note: single hooked diagonal stroke closest to the S7 numeral-7 shape among codebook entries
6	16	S7	#	BC	A=_ B=S7 C=S7; C note: numeral-7 stroke with extra ligature above, kept at S7
6	20	_		AC	A=_ B=o. C=_; C note: heavy ink blot/smudge, no clean glyph shape recoverable; likeliest a plain-script flourish under the ink
7	13	lam	7	AC	A=lam B=a C=lam; C note: wedge/triangle top stroke resembles lam; box also carries a separate S-like stroke below not accounted for here
7	15	m	3	AC	A=m B=S7 C=m; C note: cursive m-loop clearly visible at the foot of the box, matches m atlas; extra numeral strokes above may belong to a neighbour box
7	30	_		BC	A=Z B=_ C=_; C note: plain cursive 'nu'/'ne' ligature
8	15	v		split-M	A=_ B=rz C=v; C note: clean script v, matches v atlas; settled on crop: L1c arbitration (3-way->C), carried over
8	22	_		BC	A=S B=_ C=_; C note: plain cursive 'Ass'
8	24	_		BC	A=H B=_ C=_; C note: plain cursive 'saj'
8	26	_		BC	A=S B=_ C=_; C note: plain cursive continuing '...se'
8	28	N		AC	A=N B=_ C=N; C note: cursive N-loop, reasonable N atlas match
9	1	_		split-M	A=S7 B=_ C=Z; C note: script Z-loop shape, closest atlas match despite the trailing tee-like stroke; settled on crop: L1c arbitration (3-way->B), carried over
9	2	_		split-M	A=tee B=_ C=S; C note: curled S shape at the end of the box; settled on crop: L1c arbitration (3-way->B), carried over
