pos	sign
0	s60
1	s16
2	s1
3	s41
4	s45
5	s60
6	s6
7	s26
8	s58
9	s9
10	s26
11	s24
12	s12
13	s62
14	s28
15	s65
16	s56
17	s21
18	s11
19	s45
20	s77
21	s8
22	s15
23	s37
24	s9
25	s37
26	s50
27	s53
28	s66
29	s39
30	s6
31	s71
32	s74
33	s73
34	s54
35	s39
36	s2
37	s19
38	s52
39	s2
40	s14
41	s46
42	s33
43	s13
44	s45
45	s36
46	s29
47	s57
48	s48
49	s78
50	s3
51	s13
52	s69
53	s5
54	s45
55	s15
56	s1
57	s78
58	s25
59	s33
60	s0
61	s41
62	s1
63	s22
64	s8
65	s36
66	s18
67	s40
68	s42
69	s65
70	s59
71	s47
72	s71
73	s57
74	s42
75	s11
76	s7
77	s17
78	s54
79	s81
80	s73
81	s48
82	s14
83	s61
84	s3
85	s18
86	s32
87	s14
88	s41
89	s39
90	s51
91	s23
92	s50
93	s32
94	s30
95	s4
96	s61
97	s35
98	s19
99	s39
100	s41
101	s8
102	s23
103	s62
104	s48
105	s14
106	s54
107	s75
108	s8
109	s15
110	s27
111	s48
112	s64
113	s58
114	s1
115	s14
116	s75
117	s32
118	s27
119	s53
120	s47
121	s16
122	s41
123	s55
124	s70
125	s46
126	s52
127	s74
128	s21
129	s3
130	s34
131	s41
132	s8
133	s13
134	s32
135	s1
136	s24
137	s16
138	s66
139	s70
140	s69
141	s2
142	s14
143	s80
144	s67
145	s17
146	s20
147	s10
148	s14
149	s61
150	s66
151	s54
152	s54
153	s40
154	s11
155	s70
156	s47
157	s71
158	s70
159	s2
160	s64
161	s58
162	s53
163	s42
164	s62
165	s8
166	s18
167	s74
168	s35
169	s22
170	s41
171	s43
172	s3
173	s77
174	s44
175	s27
176	s76
177	s59
178	s11
179	s21
180	s66
181	s36
182	s78
183	s4
184	s25
185	s70
186	s5
187	s14
188	s31
189	s63
190	s58
191	s72
192	s43
193	s64
194	s58
195	s9
196	s75
197	s33
198	s32
199	s8
200	s23
201	s30
202	s44
203	s64
204	s56
205	s52
206	s36
207	s45
208	s3
209	s72
210	s73
211	s49
212	s72
213	s52
214	s46
215	s62
216	s3
217	s6
218	s25
219	s76
220	s1
221	s42
222	s61
223	s52
224	s7
225	s60
226	s25
227	s66
228	s27
229	s75
230	s5
231	s60
232	s15
233	s49
234	s38
235	s36
236	s14
237	s41
238	s79
239	s36
240	s14
241	s37
242	s10
243	s22
244	s15
245	s42
246	s70
247	s70
248	s2
249	s26
250	s61
251	s17
252	s36
253	s63
254	s80
255	s31
256	s49
257	s70
258	s35
259	s67
260	s71
261	s13
262	s38
263	s50
264	s15
265	s65
266	s80
267	s1
268	s18
269	s79
270	s46
271	s0
272	s3
273	s27
274	s41
275	s42
276	s5
277	s27
278	s3
279	s25
280	s67
281	s25
282	s52
283	s55
284	s70
285	s45
286	s52
287	s53
288	s36
289	s16
290	s28
291	s76
292	s32
293	s17
294	s40
295	s48
296	s72
297	s71
298	s1
299	s19
300	s31
301	s51
302	s64
303	s57
304	s5
305	s17
306	s61
307	s10
308	s27
309	s63
310	s58
311	s50
312	s73
313	s73
314	s11
315	s19
316	s37
317	s48
318	s31
319	s79
320	s11
321	s24
322	s37
323	s1
324	s15
325	s11
326	s60
327	s36
328	s20
329	s30
330	s7
331	s25
332	s28
333	s35
334	s6
335	s26
336	s56
337	s68
338	s74
339	s74
340	s7
341	s19
342	s31
343	s30
344	s4
345	s43
346	s55
347	s56
348	s8
349	s26
350	s67
351	s50
352	s36
353	s29
354	s76
355	s36
356	s13
357	s31
358	s11
359	s22
360	s16
361	s27
362	s65
363	s57
364	s22
365	s8
366	s44
367	s77
368	s7
369	s15
370	s35
371	s68
372	s18
373	s37
374	s2
375	s70
376	s78
377	s68
378	s52
379	s52
380	s1
381	s71
382	s42
383	s4
384	s22
385	s3
386	s21
387	s34
388	s17
389	s40
390	s38
391	s47
392	s54
393	s5
394	s13
395	s68
396	s59
397	s47
398	s77
399	s7
400	s20
401	s33
402	s7
403	s24
404	s31
405	s55
406	s51
407	s15
408	s41
409	s3
410	s14
411	s38
412	s49
413	s29
414	s6
415	s60
416	s79
417	s43
418	s22
419	s29
420	s68
421	s72
422	s48
423	s19
424	s60
425	s31
426	s51
427	s69
428	s30
429	s63
430	s56
431	s26
432	s6
433	s44
434	s77
435	s9
436	s20
437	s62
438	s2
439	s31
440	s63
441	s57
442	s45
443	s64
444	s59
445	s55
446	s74
447	s36
448	s24
449	s79
450	s47
451	s57
452	s24
453	s17
454	s46
455	s63
456	s56
457	s53
458	s51
459	s33
460	s30
461	s76
462	s35
463	s11
464	s26
465	s61
466	s10
467	s29
468	s75
469	s66
470	s38
471	s12
472	s22
473	s36
474	s18
475	s48
476	s64
477	s58
478	s55
479	s27
480	s51
481	s69
482	s80
483	s2
484	s43
485	s55
486	s30
487	s67
488	s16
489	s40
490	s0
491	s25
492	s14
493	s34
494	s68
495	s14
496	s79
497	s10
498	s62
499	s4
500	s15
501	s36
502	s44
503	s12
504	s71
505	s12
506	s30
507	s32
508	s4
509	s24
510	s26
511	s8
512	s46
513	s28
514	s1
515	s19
516	s30
517	s36
518	s17
519	s41
520	s69
521	s49
522	s15
523	s65
524	s57
525	s73
526	s48
527	s71
528	s54
529	s46
530	s61
531	s6
532	s21
533	s61
534	s0
535	s31
536	s65
537	s59
538	s3
539	s74
