line	col	A	B	flagged	crop
05811_p1_L01	1	=Messieurs	-		
05811_p1_L01	2	=mes	-		
05811_p1_L01	3	=freres	-		
05811_p1_L01	4	=Suis	-	A	
05811_p1_L01	5	=ma	-		
05811_p1_L01	6	=derniere	-		
05811_p1_L01	7	=du	-		
05811_p1_L01	8	xe	-	A	
05811_p1_L01	9	=jour	-		
05811_p1_L01	10	=de	-		
05811_p1_L01	11	=ce	-		
05811_p1_L01	12	=mois	-		
05811_p1_L01	13	=dont	-		
05811_p1_L04	1	=bien		AB	
05811_p1_L04	13	44	111	B	
05811_p1_L04	18	51	81	B	
05811_p1_L06	3	9		AB	
05811_p1_L08	10	26	20	B	
05811_p1_L09	3	37	33		
05811_p1_L09	13	81	84		
05811_p1_L09	18	=Je	-		
05811_p1_L09	19	=vous	-		
05811_p1_L12	8	63	65		
05811_p1_L14	3	9	0	AB	
05811_p1_L14	5	81	82		
05811_p1_L14	18	81	-		
05811_p1_L14	19	66	85	A	
05811_p1_L14	20	2	62	AB	
05811_p1_L14	22	1	-	A	
05811_p1_L14	23	85	185	B	
05811_p1_L15	3	14	104		
05811_p1_L15	18	12	19	AB	
05811_p1_L16	19	127	167	AB	
05811_p1_L17	12	31	32		
05811_p1_L17	16	37	57		
05811_p1_L17	19	82	81		
05811_p1_L18	11	113	123		
05811_p1_L18	18	37		AB	
05811_p1_L20	3	79	75		
05811_p1_L21	4	4	104	A	
05811_p1_L21	12	31	311	AB	
05811_p1_L23	14	89	384	AB	
05811_p1_L26	6	72	71		
05811_p1_L28	12	109	119	A	
05811_p1_L30	3	24	28		
05811_p1_L30	7	23	83		
05811_p1_L30	10	5	6	A	
