line	signs_A	signs_B	agree	columns	share
5	52	52	39	53	0.736
6	53	50	38	53	0.717
7	48	45	33	48	0.688
8	50	49	40	50	0.800
9	50	46	34	50	0.680
10	49	49	38	50	0.760
11	50	49	37	50	0.740
12	49	47	39	49	0.796
13	48	45	31	48	0.646
14	46	45	35	46	0.761
15	44	39	30	44	0.682
16	47	43	32	47	0.681
17	47	44	41	47	0.872
18	45	46	34	47	0.723
19	46	47	31	48	0.646
20	48	46	41	48	0.854
21	48	49	42	49	0.857
22	46	46	38	47	0.809
23	45	45	42	45	0.933
24	43	42	35	43	0.814
25	44	44	36	44	0.818
26	43	43	36	44	0.818
27	44	44	38	45	0.844
28	40	42	34	42	0.810
29	45	43	30	46	0.652
30	41	40	33	41	0.805
31	35	37	31	39	0.795
32	42	42	35	43	0.814
33	42	43	25	45	0.556
34	43	42	30	46	0.652
35	50	44	42	50	0.840
36	23	24	21	25	0.840
37	52	46	41	52	0.788
38	50	50	42	51	0.824
39	23	21	19	23	0.826
40	51	45	43	51	0.843
41	47	43	37	47	0.787
42	46	44	38	46	0.826
43	44	43	32	46	0.696
44	38	38	31	39	0.795
