rank	slug	url	http	bytes	fetched_utc
03	debosnys	https://scienceblogs.de/klausis-krypto-kolumne/2020/01/06/the-top-50-unsolved-encrypted-messages-3-the-debosnys-cryptograms/	200	120462	2026-09-24T20:47Z
05	somerton	https://scienceblogs.de/klausis-krypto-kolumne/2018/11/06/the-top-50-unsolved-encrypted-messages-5-the-somerton-man/	200	115495	2026-09-24T20:47Z
07	cigaret-case	https://scienceblogs.de/klausis-krypto-kolumne/2018/07/05/the-top-50-unsolved-encrypted-messages-7-the-cigaret-case-cryptogram/	200	111829	2026-09-24T20:47Z
08	catokwakopa	https://scienceblogs.de/klausis-krypto-kolumne/2018/06/17/the-top-50-unsolved-encrypted-messages-8-the-catokwacopa-cryptograms/	200	185548	2026-09-24T20:47Z
09	rubin	https://scienceblogs.de/klausis-krypto-kolumne/2018/05/16/the-top-50-unsolved-encrypted-messages-9-the-rubin-cryptogram/	200	124701	2026-09-24T20:47Z
10	mccormick	https://scienceblogs.de/klausis-krypto-kolumne/2018/05/01/the-top-50-unsolved-encrypted-messages-10-ricky-mccormicks-encrypted-notes/	200	115581	2026-09-24T20:47Z
12	scorpion	https://scienceblogs.de/klausis-krypto-kolumne/2018/01/30/the-top-50-unsolved-encrypted-messages-12-the-sccorpion-letters/	200	124613	2026-09-24T20:47Z
15	rilke	https://scienceblogs.de/klausis-krypto-kolumne/2018/01/10/the-top-50-unsolved-encrypted-messages-15-the-rilke-cryptogram/	200	129604	2026-09-24T20:47Z
16	lima-robbery	https://scienceblogs.de/klausis-krypto-kolumne/2017/12/26/the-top-50-unsolved-encrypted-messages-16-the-train-station-robbery-cryptogram/	200	116669	2026-09-24T20:47Z
17	roosevelt	https://scienceblogs.de/klausis-krypto-kolumne/2017/12/08/the-top-50-unsolved-encrypted-messages-17-the-roosevelt-cryptogram/	200	143761	2026-09-24T20:47Z
18	moustier	https://scienceblogs.de/klausis-krypto-kolumne/2017/11/07/the-top-50-unsolved-encrypted-messages-18-the-moustier-altar-inscriptions/	200	122240	2026-09-24T20:47Z
19	kaliningrad	https://scienceblogs.de/klausis-krypto-kolumne/2017/10/17/the-top-50-unsolved-encrypted-messages-19-the-kalinigrad-bottle-post/	200	199541	2026-09-24T20:47Z
20	pigeon	https://scienceblogs.de/klausis-krypto-kolumne/2017/09/17/the-top-50-unsolved-encrypted-messages-20-the-pigeon-cryptogram/	200	120086	2026-09-24T20:47Z
22	powers	https://scienceblogs.de/klausis-krypto-kolumne/2017/08/27/the-top-50-unsolved-encrypted-messages-22-the-powers-cryptogram/	200	112003	2026-09-24T20:47Z
23	copenhagen	https://scienceblogs.de/klausis-krypto-kolumne/2017/08/17/the-top-50-unsolved-encrypted-messages-23-the-copenhagen-cryptogram/	200	126088	2026-09-24T20:47Z
25	ss-radio	https://scienceblogs.de/klausis-krypto-kolumne/2017/08/07/the-top-50-unsolved-encrypted-messages-25-the-ss-radio-message/	200	146632	2026-09-24T20:47Z
26	dorabella	https://scienceblogs.de/klausis-krypto-kolumne/2017/08/03/the-top-50-unsolved-encrypted-messages-26-the-dorabella-cryptogram/	200	147224	2026-09-24T20:47Z
27	ferdinand-iii	https://scienceblogs.de/klausis-krypto-kolumne/2017/07/07/the-top-50-unsolved-encrypted-messages-27-ferdinand-iiis-encrypted-letters/	200	292012	2026-09-24T20:48Z
29	pollaky	https://scienceblogs.de/klausis-krypto-kolumne/2017/06/16/the-top-50-unsolved-encrypted-messages-29-the-pollaky-cryptograms/	200	123457	2026-09-24T20:48Z
30	harry-caroline	https://scienceblogs.de/klausis-krypto-kolumne/2017/05/27/the-top-50-unsolved-encrypted-messages-30-the-harry-caroline-and-the-tissie-jabber-messages/	200	115807	2026-09-24T20:48Z
31	mlh	https://scienceblogs.de/klausis-krypto-kolumne/2017/05/23/the-top-50-unsolved-encrypted-messages-31-the-mlh-cryptogram/	200	126306	2026-09-24T20:48Z
35	thouless	https://scienceblogs.de/klausis-krypto-kolumne/2017/04/17/the-top-50-unsolved-encrypted-messages-35-cryptograms-from-the-crypt/	200	126469	2026-09-24T20:48Z
43	rayburn	https://scienceblogs.de/klausis-krypto-kolumne/2017/03/06/the-top-50-unsolved-encrypted-messages-43-the-rayburn-murder-cryptogram/	200	115846	2026-09-24T20:48Z
44	bullet	https://scienceblogs.de/klausis-krypto-kolumne/2017/03/04/the-top-50-unsolved-encrypted-messages-44-a-ww2-encryption-hidden-in-a-bullet/	200	122616	2026-09-24T20:48Z
47	nazi-spy	https://scienceblogs.de/klausis-krypto-kolumne/2017/02/19/the-top-50-unsolved-encrypted-messages-47-encrypted-messages-of-a-nazi-spy/	200	176661	2026-09-24T20:48Z
49	goldbar	https://scienceblogs.de/klausis-krypto-kolumne/2017/02/11/the-top-50-unsolved-encrypted-messages-49-the-chinese-goldbar-cryptogram/	200	132423	2026-09-24T20:48Z
47b	koehler-update-2021	https://scienceblogs.de/klausis-krypto-kolumne/update-five-encrypted-radio-transmissions-from-a-new-york-nazi-spy/	200	102111	2026-09-24T20:53Z
