line	section	plain	sign_code	grade	note
1	alphabet	a	UNLISTED	H	votes[A:UNLISTED|B:K25|C:UNLISTED]
1	alphabet	b	K13	H	votes[A:UNLISTED|B:K13|C:K13]
1	alphabet	c	K1	H	votes[A:K1|B:K16|C:K1]
1	alphabet	d	UNLISTED	H	votes[A:UNLISTED|B:-|C:UNLISTED]
1	alphabet	e	K24	H	votes[A:K24|B:K35|C:K24]
1	alphabet	f	K5	H	votes[A:K5|B:-|C:K5]
1	alphabet	g	K34	H	votes[A:K34|B:K1|C:K34]
1	alphabet	h	UNLISTED	M	votes[A:UNLISTED|B:K34|C:K3]
1	alphabet	i	UNLISTED	H	votes[A:UNLISTED|B:-|C:UNLISTED]
1	alphabet	k	UNLISTED	H	votes[A:UNLISTED|B:K9|C:UNLISTED]
1	alphabet	l	K16	H	votes[A:K16|B:K21|C:K16]
1	alphabet	m	K29	H	votes[A:UNLISTED|B:K29|C:K29]
1	alphabet	n	UNLISTED	H	votes[A:UNLISTED|B:K8|C:UNLISTED]
1	alphabet	o	UNLISTED	H	votes[A:UNLISTED|B:K18|C:UNLISTED]
1	alphabet	p	K19	H	votes[A:K19|B:K33|C:K19]
1	alphabet	q	UNLISTED	M	votes[A:UNLISTED|B:K31|C:K17]
1	alphabet	r	UNLISTED	M	votes[A:UNLISTED|B:K17|C:K26]
1	alphabet	s	UNLISTED	H	votes[A:UNLISTED|B:K35|C:UNLISTED]
1	alphabet	t	UNLISTED	H	votes[A:UNLISTED|B:-|C:UNLISTED]
1	alphabet	v	UNLISTED	M	votes[A:UNLISTED|B:K32|C:K14]
1	alphabet	x	K23	H	votes[A:K23|B:K31|C:K23]
1	alphabet	y	UNLISTED	M	votes[A:UNLISTED|B:-|C:-]
1	alphabet	z		M	votes[A:(no row)|B:-|C:-]
3	correspondent	Le conte palatin	K27	H	votes[A:K27|B:-|C:K27]
4	correspondent	Treues	K10	H	votes[A:UNLISTED|B:K10|C:K10]
5	correspondent	Mugance.	K34	H	votes[A:K34|B:NEW?|C:K34]
5	nulls	Null1	K26	H	votes[A:K26|B:-|C:K26]
5	nulls	Null2	K13	H	votes[A:K13|B:K1|C:K13]
5	nulls	Null3	UNLISTED	H	votes[A:UNLISTED|B:-|C:UNLISTED]
5	nulls	Null4	K31	H	votes[A:K31|B:-|C:K31]
6	correspondent	Brandebourg	K19	H	votes[A:K19|B:K22|C:K19]
7	correspondent	Saxe	K15	H	votes[A:K15|B:K15|C:K15]
8	correspondent	Poulougne	K14	H	votes[A:K14|B:K4|C:K14]
9	correspondent	Hongrie	K17	H	votes[A:K17|B:K20|C:K17]
10	correspondent	[name unclear]	UNLISTED|K34	M	votes[A:UNLISTED|K34|B:-|C:K34]
11	correspondent	Francisque	K14	H	votes[A:UNLISTED|B:K14|C:K14]
12	correspondent	Catholicque	UNLISTED	H	votes[A:UNLISTED|B:NEW?|C:UNLISTED]
