line	col	A	B	flagged	crop
L02	4	dagh	dag		
L02	6	dagh	dag		
L03	2	na	naer		
L03	3	uw,	uEd.		
L04	7	bij	6?,		
L04	10	23,	25,		
L05	1	-	[MARK]		
L05	3	gebruijcken	seggen	A	
L05	15	op	en		
L10	6	gebruijckt	dobbelt	AB	
L10	9	de	-		
L10	10	selven	sofelte	B	
L10	11	vereenigt	vraeginge	A	
L11	2	-	siet		
L11	3	soodanigh	ons	A	
L11	5	sien	deese	A	
L11	6	nodighe	noodige	A	
L11	10	sleutel?,	stocken,		
L12	3	anderen	andere		
L13	2	over	-		
L13	3	de	door		
L13	4	bedelckt	dobbelt	AB	
L13	5	mij	mijn		
L14	8	65,	65?,		
L15	2	-	van		
L15	3	voorder	der	A	
L15	4	handelen	handel		
L15	5	soud	sonell	AB	
L17	1	mede	niet,		
L17	5	weert?,	wordt,		
L17	10	versaeckeren	versinderen	AB	
L18	1	datums	datum	A	
L18	15	50:	50,		
L19	3	de	t'		
L19	4	vraagster?.	voorder		
L19	7	schijnt	seijnt	B	
L19	11	veel	deel		
L20	2	-	sonell	B	
L20	3	soud	willen	A	
L20	4	Willemsmaker	maken	A	
L22	1	de	4	B	
L22	2	dagh	dag		
L22	12	over	-		
L22	13	sijn	-		
L22	14	niet	-		
L22	15	dat	[ILLEGIBLE]		
L22	16	mont	[ILLEGIBLE]	A	
L23	2	-	seer		
L23	3	Heer	[ILLEGIBLE]		
L23	4	stiptgesantwoort	hoe	A	
L24	11	als	as		
L24	12	er	en		
L24	13	couromen	coninen	AB	
L25	1	welcke	voelde	B	
L25	2	sij	sijn		
L25	3	mijn	my		
L25	4	woordt	woorde		
L25	6	gesoijt	geseijt	A	
L26	4	doen	doet		
L26	8	godag	goeden	A	
L27	4	selve	selver		
L28	9	soud	sonell	AB	
L28	10	wordt	woorde		
L28	11	erkant,	erkent,		
L28	12	maer	maar		
L29	1	datums	datum	A	
L29	2	oindsighte	ontdekte	AB	
L29	13	soud	sonell	AB	
L30	13	gelijck	getijckt	B	
L30	15	bij	bij-		
L32	1	Ick	dat		
L32	10	d'selve	-		
L32	11	heeren	d'sHeer		
L33	1	maken	-		
L33	2	daer	maekt		
L33	3	op	daerop		
L33	6	reflectie	reflexie	A	
L34	11	geeft	seijt	A	
L35	3	vertrouwen	vertrouden		
L36	6	soud	sonell	AB	
L36	7	voorsz	worden		
L36	8	gestelt	gelast		
L36	10	sijn	hier		
L37	10	20,	50,		
L38	9	datums	datum	A	
L39	10	moght	-	A	
L39	11	voorsz	moet		
L39	12	doen	voorsobben	B	
L40	6	ook	oock		
L42	11	als:	uEd:		
L42	13	vernemen	bevons-	A	
L43	1	mede	men		
L43	3	er	as	A	
L43	4	goederhijzeerd	goniderwijsseren	AB	
L43	7	vercke	vertek	A	
L44	2	-	as		
L44	3	er	sant	A	
L44	4	sacht	[ILLEGIBLE]:	A	
L44	5	toe	uw:		
L44	6	niet:	sant.		
L44	7	soo	Ick		
L44	8	mede	sal		
L44	9	meent	meer	AB	
L44	11	men	maer	A	
L45	2	sier	-	A	
L45	3	eenigst	soo	A	
L45	4	mit	eenige	A	
L45	5	heer	mijnheer		
L45	6	geeft	geseijt		
L45	9	goet	soer		
L45	12	11,	-		
L45	13	B:	N.B:		
L47	15	sekere	sceen	AB	
L48	8	dit	die		
L48	16	23:	23,		
L49	1	aansier	aensiet	A	
L49	5	handel	-		
L49	6	ernst	vandt	A	
L49	7	er	eerst	A	
L49	9	verwehr-	veelvoor-	A	
L50	1	den	de		
L50	3	gebruijckt	gebruicket	A	
L50	6	staat	Staeten		
L50	7	berg	haer	A	
L50	10	de	-		
L50	11	fredberg?,	desfredibrig?,		
L51	2	er	dat	A	
L51	3	weder	vertek		
L51	5	stt	ist	A	
L51	6	olde	alle	A	
L51	7	de	te		
L51	8	verhoogste	verhouden	A	
L51	9	dat,	voort,		
L52	2	gepersiadeeren	geresideerden	A	
L52	3	datums	datum	A	
L53	9	soud	sonell	AB	
L55	1	28,	26,		
L55	11	bijstaet	bericht,	A	
L56	1	opmerkingen	ophelderinge	A	
L56	2	soo	voor		
L56	3	veel	deel		
L56	7	gebruijcken?,	gebruicken,		
L57	3	gaet	seer	A	
L57	4	sijn	schier		
L57	6	geschreven	scheelingen		
L57	7	maar	maer		
L58	7	19,	10,		
L59	7	sier	hier	A	
L60	11	van	dan		
L61	15	niet	mede		
L62	9	sonder.	seinden.		
L62	10	Ick	Dat		
L63	2	luv.	-	A	
L63	3	voor	luy:		
L63	4	[ILLEGIBLE]	onse		
L63	6	sulke	sulks	A	
L63	7	geestimeerd	geerdinger	AB	
L63	8	voor	uEd		
L63	9	iets	ock		
L63	10	partij-	parti-		
L64	1	culier	tulier		
L64	4	consideratie	considerachie		
L64	8	-	ist		
L64	9	dat	als		
L64	10	er	heer		
L65	1	cristien	gesijnt	A	
L65	2	verbat	oorbaar	A	
L65	8	-	mijn		
L65	9	mij	tot		
L65	10	toe-	noch		
L66	2	indagijt	indien	A	
L66	3	gaen	pas		
L66	6	bekomt,	bekome,		
L66	9	is	ick		
L66	10	sulke	sulken	A	
L67	3	voorsz:	-		
L67	4	mijselven	-		
L67	5	mij	voortsz:		
L67	6	hierm	mijselve	A	
L67	7	van	heeren		
L67	8	dat	voor		
L67	9	sorge.	deesfarger.		
L68	1	Ick	-		
L68	2	blijf	Blijft		
L69	1	Mijn	mijn		
L70	1	U.E.	UEd:		
L71	1	ootmoedigh	ootmoedigsten		
L73	1	's	-		
L73	2	Gravenhaghe	Coppenhagen		
L73	4	[ILLEGIBLE]	Sept:		
