L01	Mijn Heer
L02	Hier voort van dag tot dag met groot impatientie
L03	verlangst naer uEd. 40, 50: 59, 50, 51, 21: 22, 12, 23,
L04	51, 32, 61, 10, 57, 51: 6?, 49, 51: 25, 25, 40, 51, 25:
L05	[MARK] sal seggen 57, 51, 13, 44, 26, 62, 10, 50, 52, 22, 26: en sijn
L06	27, 52, 22, 23, 12, 50, 46, 4: 13, 11: 40, 50, 23, 51: 47, 21,
L07	12, 13, 10: met 27, 50, 21, 23, 25, 21, 51, 46, 4, 61, 10, 57, 54:
L08	20, 39, 11: 50, 51, 10: 50, 12, 53, 40, 51: 23, 12, 11, 9, 54:
L09	17, 51, 10, 11, 61, 10, 57, 53, 11: 25, 50: 40, 23, 24, 62, 23,
L10	25, 51, 21, 52, 10: dobbelt? mijn sonder sofelte? vraeginge
L11	middel siet ons op deese noodige saken sonder de stocken,
L12	[MARK] onder andere 42, 6, 7, 50: 22, 51, 46, 21, 52, 27, 25, 53,
L13	24: door dobbelt? mijn met 20, 53, 21, 23, 46, 59, 50, 36,
L14	40, 54: 12, 55, 56, 61, 47, 65?, 51, 21, 23: gesandt geeft
L15	[MARK] van der handel sonell? 44, 37: 57, 50, 44, 21, 51, 46, 4:
L16	27, 39, 10: 57, 50, 6, 25: achter blijven. daer ontbreekt
L17	niet, soo mij gesoijt? wordt, dit sier trachten te versinderen?
L18	datum groot? 51, 55, 56, 52, 46, 25, 53, 10: 27, 36, 26: 40, 50,
L19	143: geeft t' voorder [MARK] 't seijnt? datum daer op deel
L20	fondement sonell? willen maken om 144: 40, 50: 27, 21, 20,
L21	10, 25, 24, 46, 59, 41, 17: 27, 39, 10: 40, 50, 23, 51: 46, 21, 12, 13, 10:
L22	4? dag 20, 53, 22, 6, 61, 50, 24, 51, 10: [ILLEGIBLE] [ILLEGIBLE]
L23	[MARK] seer [ILLEGIBLE] hoe dat de 39, 11, 44, 40, 23, 24, 43,
L24	40, 51, 27, 21: 20, 39, 10: 213: tot 104: as en coninen?
L25	voelde? sijn my woorde geeft geseijt dat indien
L26	de 173: sal doet soo veel als goeden voor 213: als voor
L27	de 143: 't selver met 40, 10, 40, 50, 21, 51: 40, 40, 10, 46, 4,
L28	44, 39, 50, 21, 59, 52, 36, 25: sonell? woorde erkent, maar
L29	datum ontdekte? is 172: de 59, 51, 52, 21, 53, 10: 144: sonell?
L30	6, 50, 51, 21, 52, 10: 5, 53, 10, 11, 54, 10: getijckt? sij bij-
L31	105: 225: 50, 10, 40, 51: 213: 44, 51, 4, 52, 10, 25: 23, 36, 10:
L32	dat weet niet oft dit te apprehenderen sij, maer d'sHeer
L33	maekt daerop te meer reflexie om dat de 40, 57, 50, 10, 25:
L34	27, 39, 10, 40, 51: 173: 27, 36, 25: 222: seijt geschreven
L35	dat sij vertrouden dat gemelt 39, 11, 44, 40, 23, 24,
L36	42, 40, 51, 27, 21: sonell? worden gelast om hier over
L37	51, 52, 10: 43, 6, 7, 61, 39, 10, 50, 62, 53: 25, 50: 25, 21,
L38	41, 46, 26, 54, 22, 53, 10: [MARK] datum is 213: 32, 50, 6:
L39	10, 61, 52, 25: 57, 12, 50, 26, 24: moet voorsobben?
L40	met de 143: daer weet oock 32, 50, 57, 51, 10, 23:
L41	105: 25, 12, 26: 222: over de 46, 13, 11, 9, 50, 21, 47, 61, 51:
L42	57, 52, 59, 39, 10, 40, 53, 6, 26: gelijck uEd: sal bevons-
L43	men niet as goniderwijsseren? met dit vertek niet
L44	water as sant [ILLEGIBLE]: uw: sant. Ick sal meer? te maer
L45	dat soo eenige mijnheer geseijt dat 106: soer 59, 12: N.B:
L46	van de tractaten 11, 50, 25: 172: 32, 61, 6: 27, 36, 25, 23,
L47	6, 27, 57, 26, 50, 10: 12, 11: 40, 39, 25: 41, 6: voor sceen?
L48	51, 52, 10: 59, 50, 51, 22: die mij voor 23, 32, 51, 52, 25, 23,
L49	aensiet sier bij en vandt eerst ministers veelvoor-
L50	de geeft gebruicket om de Staeten haer 143: te desfredibrig?,
L51	als dat vertek niet ist alle te verhouden voort, [MARK]
L52	te geresideerden datum 44, 51, 25, 52, 21: 46, 12, 10, 40, 61,
L53	25, 62, 53, 11: 11, 50, 25: 105: sonell? maken, 23, 12, 11, 40,
L54	50, 22: 39, 6, 23: 11, 51, 25: 62, 10, 25, 52, 22, 27, 53, 10,
L55	26, 62, 54: 20, 39, 10: 144: Dat sal meer bericht, [MARK]
L56	ophelderinge voor deel mij dubelijck is, gebruicken,
L57	om 't seer schier onder scheelingen maer nader te ontdecken,
L58	maer sonder 17, 21, 12, 11, 10, 25, 50: 22, 51, 40, 6, 61, 25,
L59	50, 61, 25, 52, 10: is hier soo 46, 22, 50, 40, 37, 26: van 144:
L60	noch de 40, 55, 46, 50, 46, 25, 61, 53: dan 40, 50, 23, 52:
L61	47, 22, 13, 14, 10: tot de 23, 25, 40, 50, 25: der 143: mede
L62	23, 25, 40, 51, 10, 40, 50: te seinden. Dat geloove dat
L63	haer luy: onse veel sulks geerdinger? uEd ock parti-
L64	tulier op de considerachie is mijn niet ist als heer
L65	gesijnt oorbaar te gelaten, maer ick sal mijn tot noch
L66	volgen indien pas naer order bekome, [MARK] sal ick sulken
L67	gebal de voortsz: mijselve heeren voor deesfarger.
L68	Blijft
L69	mijn Heer
L70	UEd:
L71	ootmoedigsten dienaer
L72	[ILLEGIBLE]
L73	Coppenhagen 19/29 Sept: 1657.
