line	bits_per_char_before	bits_per_char_after	(before = without the OVERRIDE rows)
f30r_L01	4.462	4.462
f30r_L02	4.204	4.204
f30r_L03	4.105	4.105
f30r_L04	3.955	3.955
f30r_L05	4.441	4.441
f30r_L06	4.785	4.213
f30r_L07	2.816	2.599
f30r_L08	4.150	4.150
f30r_L09	4.417	4.417
f30r_L10	3.920	3.805
f30r_L11	3.575	3.575
f30r_L12	4.474	4.094
f30r_L13	3.608	3.694
f30r_L14	3.056	3.056
f30r_L15	2.948	2.948
f30r_L16	4.466	4.466
f30r_L17	3.629	3.629
f30r_L18	4.221	3.188
f30r_L19	2.803	3.254
f30r_L20	4.120	3.246
f30r_L21	3.304	3.417
f30r_L22	4.196	3.750
f30r_L23	3.910	3.910
f30r_L24	3.680	3.680
f30r_L25	3.539	3.539
f30r_L26	3.287	3.287
f30r_L27	3.471	2.537
f30r_L28	3.023	2.949
f30r_L29	3.853	3.136
f30r_L30	3.139	3.139
f30r_L31	2.522	2.522
f30r_L32	3.046	3.046
f30r_L33	4.057	3.506
f30r_L34	3.692	3.692
f30r_L35	2.874	2.883
f30v_L01	2.145	2.145
f30v_L02	2.655	2.655
f30v_L03	2.793	2.566
f30v_L04	3.253	3.253
f30v_L05	2.631	2.631
f30v_L06	3.632	3.632
f30v_L07	2.516	2.516
f30v_L08	2.717	2.717
f30v_L09	2.964	2.723
f30v_L10	2.348	2.216
f30v_L11	3.554	3.475
f30v_L12	3.029	2.568
f30v_L13	3.056	3.056
f30v_L14	3.332	2.212
f30v_L15	3.828	3.828
f30v_L16	3.132	2.950
f30v_L17	2.697	2.697
f30v_L18	3.318	3.318
f30v_L19	3.382	3.382
f30v_L20	4.403	3.606
