code	source	bbox_y0,y1,x0,x1	value_by_pixel_column
k01	Lasry GL/BnF_fr3071_f17.png	128,148,458,479	N
k02	Lasry GL/BnF_fr3071_f17.png	88,110,816,843	X
k03	Lasry GL/BnF_fr3071_f17.png	192,222,775,800	V
k04	Lasry GL/BnF_fr3071_f17.png	369,396,8,32	COM
k05	Lasry GL/BnF_fr3071_f17.png	118,152,773,792	V
k06	Lasry GL/BnF_fr3071_f17.png	156,190,767,799	V
k07	Lasry GL/BnF_fr3071_f17.png	88,117,359,397	L
k08	Tomokiyo francisGramont.png	33,60,602,627	null(Tomokiyo)
k09	Lasry GL/BnF_fr3071_f17.png	334,363,53,74	RR
k10	Lasry GL/BnF_fr3071_f17.png	87,117,635,661	R
k11	Lasry GL/BnF_fr3071_f17.png	120,153,506,524	O
k12	Lasry GL/BnF_fr3071_f17.png	87,114,589,618	Q
k13	Lasry GL/BnF_fr3071_f17.png	154,186,504,521	O
k14	Tomokiyo francisGramont.png	221,247,156,183	ET?
k15	Lasry GL/BnF_fr3071_f17.png	122,156,411,432	M
k16	Lasry GL/BnF_fr3071_f17.png	187,226,500,521	O
k17	Lasry GL/BnF_fr3071_f17.png	224,258,319,346	I
k18	Lasry GL/BnF_fr3071_f17.png	87,121,233,255	F
k19	Lasry GL/BnF_fr3071_f17.png	86,113,144,165	D
k20	Tomokiyo francisGramont.png	59,85,603,630	null(Tomokiyo)
k21	Lasry GL/BnF_fr3071_f17.png	157,191,677,708	S
k22	Lasry GL/BnF_fr3071_f17.png	86,120,500,526	O
k23	Lasry GL/BnF_fr3071_f17.png	335,366,3,32	LL
k24	Lasry GL/BnF_fr3071_f17.png	92,115,685,705	S
k25	Tomokiyo francisGramont.png	214,251,210,238	ROY
k26	Lasry GL/BnF_fr3071_f17.png	86,118,457,480	N
k27	Lasry GL/BnF_fr3071_f17.png	82,116,770,790	V
k28	Tomokiyo francisGramont.png	214,251,319,340	PAPE
k29	Lasry GL/BnF_fr3071_f17.png	82,120,409,439	M
k30	Lasry GL/BnF_fr3071_f17.png	86,115,278,303	G
k31	Lasry GL/BnF_fr3071_f17.png	125,149,682,707	S
k32	Lasry GL/BnF_fr3071_f17.png	117,151,320,346	I
k33	Lasry GL/BnF_fr3071_f17.png	153,187,542,572	P
k34	Lasry GL/BnF_fr3071_f17.png	121,154,187,211	E
k35	Tomokiyo francisGramont.png	115,160,602,624	null(Tomokiyo)
k36	Lasry GL/BnF_fr3071_f17.png	119,153,140,166	D
k37	Lasry GL/BnF_fr3071_f17.png	416,454,170,197	unknown(Lasry)
k38	Lasry GL/BnF_fr3071_f17.png	85,112,541,574	P
k39	Lasry GL/BnF_fr3071_f17.png	121,150,2,34	A
k40	Lasry GL/BnF_fr3071_f17.png	229,254,768,799	V
k41	Lasry GL/BnF_fr3071_f17.png	121,151,584,621	Q
k42	Lasry GL/BnF_fr3071_f17.png	416,454,227,252	unknown(Lasry)
k43	Tomokiyo francisGramont.png	222,247,50,70	CON
k44	Lasry GL/BnF_fr3071_f17.png	155,190,633,658	R
k45	Lasry GL/BnF_fr3071_f17.png	121,155,724,751	T
k46	Lasry GL/BnF_fr3071_f17.png	84,120,53,71	B
k47	Lasry GL/BnF_fr3071_f17.png	90,113,181,212	E
k48	Lasry GL/BnF_fr3071_f17.png	120,154,809,848	X
k49	Lasry GL/BnF_fr3071_f17.png	121,153,547,572	P
k50	Lasry GL/BnF_fr3071_f17.png	268,290,320,347	I
k51	Lasry GL/BnF_fr3071_f17.png	333,361,101,135	SS
k52	Lasry GL/BnF_fr3071_f17.png	368,403,94,116	CON
k53	Lasry GL/BnF_fr3071_f17.png	92,114,725,754	T
k54	Lasry GL/BnF_fr3071_f17.png	423,452,119,142	unknown(Lasry)
k55	Lasry GL/BnF_fr3071_f17.png	121,151,639,659	R
k56	Lasry GL/BnF_fr3071_f17.png	223,256,630,660	R
k57	Lasry GL/BnF_fr3071_f17.png	418,452,59,87	unknown(Lasry)
k58	Lasry GL/BnF_fr3071_f17.png	154,191,187,211	E
k59	Tomokiyo francisGramont.png	92,111,603,631	null(Tomokiyo)
k60	Lasry GL/BnF_fr3071_f17.png	82,119,3,32	A
k61	Lasry GL/BnF_fr3071_f17.png	192,223,630,660	R
k62	Lasry GL/BnF_fr3071_f17.png	204,224,325,344	I
k63	Lasry GL/BnF_fr3071_f17.png	161,184,321,343	I
k64	Lasry GL/BnF_fr3071_f17.png	119,151,269,304	G
k65	Lasry GL/BnF_fr3071_f17.png	188,207,320,349	I
k66	Lasry GL/BnF_fr3071_f17.png	89,114,321,345	I
k67	Tomokiyo francisGramont.png	221,245,104,124	COM
k68	Lasry GL/BnF_fr3071_f17.png	127,151,370,392	L
k69	Lasry GL/BnF_fr3071_f17.png	422,449,4,32	unknown(Lasry)
k70	Lasry GL/BnF_fr3071_f17.png	85,115,98,122	C
