line	signs	agree_A	agree_B	A_B_agree	pct_A	pct_B	pct_AB	h	m	l
f30r_L01	38	23	23	26	0.61	0.61	0.68	23	10	5
f30r_L02	39	17	18	21	0.44	0.46	0.57	19	12	8
f30r_L03	37	24	22	26	0.65	0.59	0.68	25	6	6
f30r_L04	40	23	23	22	0.57	0.57	0.54	26	8	6
f30r_L05	37	24	23	29	0.65	0.62	0.76	24	7	6
f30r_L06	38	23	25	27	0.61	0.66	0.63	23	10	5
f30r_L07	39	26	27	30	0.67	0.69	0.71	29	5	5
f30r_L08	40	25	21	28	0.62	0.53	0.61	23	9	8
f30r_L09	39	25	15	22	0.64	0.38	0.51	25	9	5
f30r_L10	38	26	23	24	0.68	0.61	0.63	26	9	3
f30r_L11	34	20	19	19	0.59	0.56	0.53	23	4	7
f30r_L12	35	19	22	21	0.54	0.63	0.57	25	3	7
f30r_L13	40	24	20	20	0.60	0.50	0.50	27	9	4
f30r_L14	38	26	22	21	0.68	0.58	0.55	28	9	1
f30r_L15	36	21	19	20	0.58	0.53	0.56	23	12	1
f30r_L16	38	21	19	25	0.55	0.50	0.54	25	9	4
f30r_L17	40	28	25	25	0.70	0.62	0.64	28	8	4
f30r_L18	39	25	22	21	0.64	0.56	0.54	29	8	2
f30r_L19	34	21	24	28	0.62	0.71	0.76	24	7	3
f30r_L20	35	19	15	24	0.54	0.43	0.65	20	12	3
f30r_L21	37	23	21	23	0.62	0.57	0.62	27	9	1
f30r_L22	35	22	17	19	0.63	0.49	0.54	22	9	4
f30r_L23	36	23	15	21	0.64	0.42	0.60	24	9	3
f30r_L24	36	24	17	22	0.67	0.47	0.59	23	7	6
f30r_L25	35	18	17	18	0.51	0.49	0.51	20	11	4
f30r_L26	35	21	16	19	0.60	0.46	0.46	22	10	3
f30r_L27	34	21	22	21	0.62	0.65	0.64	22	6	6
f30r_L28	38	27	21	21	0.71	0.55	0.54	29	6	3
f30r_L29	34	20	17	20	0.59	0.50	0.59	22	8	4
f30r_L30	39	27	23	24	0.69	0.59	0.65	29	10	0
f30r_L31	37	25	21	22	0.68	0.57	0.59	26	10	1
f30r_L32	38	25	23	23	0.66	0.61	0.62	27	9	2
f30r_L33	34	22	21	22	0.65	0.62	0.63	24	9	1
f30r_L34	35	16	16	18	0.46	0.46	0.51	18	15	2
f30r_L35	35	23	19	21	0.66	0.54	0.58	25	10	0
f30v_L01	37	23	23	22	0.62	0.62	0.63	26	10	1
f30v_L02	36	25	24	26	0.69	0.67	0.72	27	8	1
f30v_L03	40	29	23	26	0.72	0.57	0.65	31	9	0
f30v_L04	37	29	23	25	0.78	0.62	0.69	30	6	1
f30v_L05	37	23	17	20	0.62	0.46	0.54	24	13	0
f30v_L06	36	29	28	30	0.81	0.78	0.83	28	3	5
f30v_L07	35	23	22	23	0.66	0.63	0.68	24	10	1
f30v_L08	36	25	21	26	0.69	0.58	0.72	26	8	2
f30v_L09	35	23	18	24	0.66	0.51	0.69	23	9	3
f30v_L10	36	28	20	24	0.78	0.56	0.67	29	7	0
f30v_L11	33	22	16	24	0.67	0.48	0.69	23	9	1
f30v_L12	33	21	19	21	0.64	0.58	0.64	22	10	1
f30v_L13	30	15	13	16	0.50	0.43	0.55	17	10	3
f30v_L14	30	17	16	22	0.57	0.53	0.73	18	11	1
f30v_L15	32	21	19	20	0.66	0.59	0.62	24	4	4
f30v_L16	30	19	16	17	0.63	0.53	0.57	20	9	1
f30v_L17	35	27	15	17	0.77	0.43	0.50	26	7	2
f30v_L18	34	20	17	18	0.59	0.50	0.55	19	14	1
f30v_L19	32	20	14	13	0.62	0.44	0.39	21	7	4
f30v_L20	27	15	14	16	0.56	0.52	0.57	18	8	1
TOTAL	1973	1251	1091	1223	0.634	0.553	0.608	1331	476	166
