f29r_L01a	k50? k18? k22? n01 k50? k34? k34? k31? k58? k40? k30? k6? . k38? k13? k9 k53? k6? k70?
f29r_L01b	k6? k2? k3? k18? k30? k60? k13? k53? k34? k70? k19? [?] k58? k26? k6? k58? k50? k48? k15? k50? k24?
f29r_L02a	k60 . k38 k50? k13? k53 ^tick k56? k40 ^tilde k18? k60 k34? k70? k53 k19? k50? k36 n02 k47? k51?
f29r_L02b	k6 k4 k24? k36 k58? k51? k6 k24? k50? k3 k13 k6 k31? n04 k54? k55 k50? k6 k27? k41? k62? k6 k70? k58? k40? k13? k63 k18?
f29r_L03a	k50? k6 k9 k13 k40 ^hat n05 k31? k63 k19? k58? k55 k50? k70? k53 k38 k13 n02 n06 k58? k6 k9 k67?
f29r_L03b	k6 n01 k19? k50? k13 k34? n06 k36 k60 k6 k47? k27? k55 k3 n02 k6 k60 k61? k6 k3 k13 k6 k24?
f29r_L04a	k13 k60 k63 k56? k6 n02 k63 k47? k3 k13 k6 k34? k38 k9 k63 k6 k19? k58? k19? k3
f29r_L04b	k34 ^two-dots k36 k47? k18? k60 k27? k24? k6 k36? k70? k50? k13? k70? k58? k34? k53 k19? k58? k53 k13 k18? k50? k19?
f29r_L05a	k18? k11 k27? k28? k6 k18? k58? n07 k53 k56? k63 k60 k17 k70? k58? k46? k50? k63 k70?
f29r_L05b	k53 k36 k60 k6 k19? k18? k50? k27? k18? k34? k6 k47? k27? k11 k27? k34? k53 k56? k47? k34? k50? k63 k52?
f29r_L06a	k70? k53 k27? k38 k47? k56? k6 k29? k60 k18? k50? k63 k70? k53 ^tick k63 k55? k50?
f29r_L06b	k70? k36 k47? k50? k27? k34? k53 k50? k27? k70? k58? k36 k6 k34? k70? k13? k34? k19? k38 k9 k6 k19? k47?
f29r_L07a	k4 k53 k47? k27? k3 k60 k3 n07 k47? k58? k34? k9 k50? k27? k52? k6 k70?
f29r_L07b	k58? n08 n09 k6 k34? k36 k3 k6 k63 k27? k58? k34? k53 k50? k6 k34? k18? k6 k56? k38 k13 k6 k58?
f29r_L08a	k41? k3 k17 k34? k60 k53 k50? k34? k18? k60 k34? k12? k6 k22? k60 k17 k70?
f29r_L08b	k58? k24? k50? k63 k30? k53 k56? k19? k3 k29? k60 k17 k18? k11 k27? k34? k53 k21? k6 k53 ^tick k13 k6 k18?
f29r_L09a	k58? k42? k4 k53 k47? k27? k3 . k38 k11 k6 k42? k19? k58? k4 k18? k47? k27? k18? k6
f29r_L09b	k9 k56? k11 k6 k34? k53 k58? k9 . k60 k40? k13? k34? k36 k6 k24? k3 k34? k27? k58? k70? k13 k27?
f29r_L10a	k12? k6 k63 k47? k34? k53 k70? k60 k6 k34? k58? . k7? k3 k47? k50? k60
f29r_L10b	k12? k18? k60 k63 k70? k53 ^tick k19? k58? n10 k50? k53 k60 k13 k53 n07 k70? k19? k58? k60 k6 k50? k13 k18?
f29r_L11a	k38 k11 k6 k42? k3 k13 k27? k24? k36 k13 k53 k6 k42? k70? k13 k34? k27? k11 k63
f29r_L11b	k51 ^tick k60 k27? k70? k58? n10 k6 k53 k11 k6 n07 k42? k60 k63 k24? k63 k47? k3 k11 k6 k58?
f29r_L12a	k38 k42? k63 k47? k60 k19? k3 k47? k42? k53 k63 k51? k6 k69? k6 k63 k47?
f29r_L12b	k18? k27? k19? k58? n10 k63 k70? k53 k34? k58? k63 k34? k27? k47? k6 k9 k56? k53 k11 k6 k24?
f29r_L13a	k50? k3 k19? k53 k9 ^tick k47? k24? k12? k6 k47? k19? k60 k70? k15 ^tick k11 k6 k34?
f29r_L13b	k6 k47? k27? k70? k50? k34? k34? k6 k47? k19? k58? k9 k18? ^two-dots k3 k13 k6 k19? k34? k63 k24? k53
f29r_L14a	k60 k3 k13 ^tick k63 k34? k58? k13? k69? k34? k11 k63 k18? k18? k47? k27? k70?
f29r_L14b	k6 n11 k24? k58? k70? k3 ^tick k6 k53 k58? k18? n12 k27? k53 . k34? k58? k53 k50? k35? k27? k58?
f30r_L01a	n13 n14 n15 k50? k34? ^tick n16 k9 n11 n14 k34? k70? k6 k7? k6 n12?
f30r_L01b	. n14 n15 k58? k34? ^tick k7? k3 n11 n14 k6 k36 k3 k34? k6 n14 n15 k27? k50? n17 n12? k6 k63
f30r_L02a	n08 k24? k41? k34? n18 k25? n12 k27? k58? k34? k34? k3 k61? k34? n13
