folio	line	position	sign	confidence	value	grade
f30r	L01	0	HASH	h	?	U
f30r	L01	1	ss2	h	NULL	M
f30r	L01	2	FL	m	S	S
f30r	L01	3	xr	m	I	H
f30r	L01	4	zb	m	NULL	M
f30r	L01	5	Af	h	M	H
f30r	L01	6	r3	m	R	H
f30r	L01	7	BOX	h	E	S
f30r	L01	8	ss2	h	NULL	M
f30r	L01	9	zb	m	NULL	M
f30r	L01	10	z3	m	I	H
f30r	L01	11	9	m	E	H
f30r	L01	12	lam	l	A	M
f30r	L01	13	9	h	E	H
f30r	L01	14	III	h	E	S
f30r	L01	15	nr	l	N	M
f30r	L01	16	ss2	h	NULL	M
f30r	L01	17	FL	m	S	S
f30r	L01	18	sl	h	E	H
f30r	L01	19	zb	m	NULL	M
f30r	L01	20	xr	m	I	H
f30r	L01	21	h	h	V	H
f30r	L01	22	BOX	h	E	S
f30r	L01	23	ss2	h	NULL	M
f30r	L01	24	g	h	V	H
f30r	L01	25	fh	h	D	H
f30r	L01	26	h	h	V	H
f30r	L01	27	2	h	S	H
f30r	L01	28	9	h	E	H
f30r	L01	29	ss2	h	NULL	M
f30r	L01	30	FL	h	S	S
f30r	L01	31	eh	h	D	H
f30r	L01	32	xr	m	I	H
f30r	L01	33	Af	l	M	M
f30r	L01	34	III	h	E	S
f30r	L01	35	br	h	R	H
f30r	L01	36	9	h	E	H
f30r	L01	37	H	l	I	M
f30r	L02	0	INF	m	?	U
f30r	L02	1	null_o	m	NULL	H
f30r	L02	2	nq	l	Q	M
f30r	L02	3	n	m	V	S
f30r	L02	4	BOX	h	E	S
f30r	L02	5	TRI	l	?	U
f30r	L02	6	III	h	E	S
f30r	L02	7	n6	h	N	H
f30r	L02	8	paren	h	NULL	H
f30r	L02	9	zb	m	NULL	M
f30r	L02	10	2	h	S	H
f30r	L02	11	h	h	V	H
f30r	L02	12	z3	l	I	M
f30r	L02	13	FL	m	S	S
f30r	L02	14	zb	m	NULL	M
f30r	L02	15	B8	l	?	U
f30r	L02	16	FL	m	S	S
f30r	L02	17	xr	m	I	H
f30r	L02	18	2	h	S	H
f30r	L02	19	fh	h	D	H
f30r	L02	20	m	h	T	H
f30r	L02	22	QQ	m	D	S
f30r	L02	23	9	h	E	H
f30r	L02	24	ss2	h	NULL	M
f30r	L02	25	re	l	V	M
f30r	L02	26	lt	h	O	H
f30r	L02	27	g	h	V	H
f30r	L02	28	2	h	S	H
f30r	L02	29	zb	m	NULL	M
f30r	L02	30	mx	h	NULL	H
f30r	L02	31	BOX	h	E	S
f30r	L02	32	FL	m	S	S
f30r	L02	33	5	h	C	H
f30r	L02	34	br	h	R	H
f30r	L02	35	zb	l	NULL	M
f30r	L02	37	dl	m	P	H
f30r	L02	38	r3	m	R	H
f30r	L02	39	9	h	E	H
f30r	L03	0	c	l	L	M
f30r	L03	1	BOX	h	E	S
f30r	L03	2	c	h	L	H
f30r	L03	3	x	h	A	H
f30r	L03	4	2	h	S	H
f30r	L03	5	Rt	h	O	H
f30r	L03	6	br	h	R	H
f30r	L03	7	zb	m	NULL	M
f30r	L03	8	ss2	h	NULL	M
f30r	L03	9	eh	h	D	H
f30r	L03	10	9	h	E	H
f30r	L03	11	nq	l	Q	M
f30r	L03	12	n	m	V	S
f30r	L03	13	BOX	h	E	S
f30r	L03	14	INF	l	?	U
f30r	L03	15	rho	h	F	H
f30r	L03	16	z	m	A	H
f30r	L03	17	z3	h	I	H
f30r	L03	18	5	h	C	H
f30r	L03	19	m	h	T	H
f30r	L03	20	2	h	S	H
f30r	L03	21	dl	h	P	H
f30r	L03	22	dl	l	P	M
f30r	L03	23	br	h	R	H
f30r	L03	24	5	h	C	H
f30r	L03	25	9	h	E	H
f30r	L03	26	2	h	S	H
f30r	L03	27	ST	m	L	S
f30r	L03	28	A2	h	E	S
f30r	L03	30	CROSS	l	?	U
f30r	L03	31	r3	m	R	H
f30r	L03	32	9	h	E	H
f30r	L03	33	2	h	S	H
f30r	L03	34	FL	m	S	S
f30r	L03	35	xr	h	I	H
f30r	L03	36	CROSS	m	?	U
f30r	L03	37	9	h	E	H
f30r	L04	0	nr	m	N	H
f30r	L04	1	III	h	E	S
f30r	L04	2	FL	h	S	S
f30r	L04	3	m	h	T	H
f30r	L04	4	lt	h	O	H
f30r	L04	5	z3	m	I	H
f30r	L04	6	eh	h	D	H
f30r	L04	7	dl	m	P	H
f30r	L04	8	Rt	h	O	H
f30r	L04	9	h	h	V	H
f30r	L04	10	br	m	R	H
f30r	L04	11	Af	l	M	M
f30r	L04	12	T	h	SS	H
f30r	L04	13	m	h	T	H
f30r	L04	14	A2	h	E	S
f30r	L04	15	n6	m	N	H
f30r	L04	16	eh	h	D	H
f30r	L04	17	9	h	E	H
f30r	L04	18	r3	h	R	H
f30r	L04	19	zb	m	NULL	M
f30r	L04	20	ss2	h	NULL	M
f30r	L04	21	z	h	A	H
f30r	L04	22	nn	l	?	U
f30r	L04	23	c	h	L	H
f30r	L04	24	m	h	T	H
f30r	L04	25	r3	m	R	H
f30r	L04	26	h	h	V	H
f30r	L04	27	aq	l	Y	M
f30r	L04	28	HASH	h	?	U
f30r	L04	29	9	h	E	H
f30r	L04	30	FL	h	S	S
f30r	L04	31	dl	m	P	H
f30r	L04	32	III	h	E	S
f30r	L04	33	br	h	R	H
f30r	L04	34	z	h	A	H
f30r	L04	35	n6	m	N	H
f30r	L04	36	eh	h	D	H
f30r	L04	37	B8	l	?	U
f30r	L04	38	h	h	V	H
f30r	L04	39	9	h	E	H
f30r	L05	0	E	h	B	M
f30r	L05	1	z3	l	I	M
f30r	L05	2	ss2	h	NULL	M
f30r	L05	3	9	h	E	H
f30r	L05	4	nr	h	N	H
f30r	L05	5	BOX	h	E	S
f30r	L05	6	n6	m	N	H
f30r	L05	7	lam	h	A	H
f30r	L05	8	fh	h	D	H
f30r	L05	9	nr	l	N	M
f30r	L05	10	xr	m	I	H
f30r	L05	11	nr	m	N	H
f30r	L05	12	eh	h	D	H
f30r	L05	13	dl	m	P	H
f30r	L05	14	lt	h	O	H
f30r	L05	15	g	h	V	H
f30r	L05	16	r3	h	R	H
f30r	L05	17	ST	m	L	S
f30r	L05	18	z	h	A	H
f30r	L05	19	bb	l	COM	M
f30r	L05	20	fh	h	D	H
f30r	L05	21	B8	l	?	U
f30r	L05	22	h	h	V	H
f30r	L05	23	xr	m	I	H
f30r	L05	24	lt	l	O	M
f30r	L05	25	m	h	T	H
f30r	L05	26	9	h	E	H
f30r	L05	27	fh	h	D	H
f30r	L05	28	III	h	E	S
f30r	L05	29	mx	h	NULL	H
f30r	L05	30	h	h	V	H
f30r	L05	31	Rt	h	O	H
f30r	L05	32	4t	l	ET	M
f30r	L05	33	lam	h	A	H
f30r	L05	34	Mx	h	L	S
f30r	L05	35	z	h	A	H
f30r	L05	36	z3	m	I	H
f30r	L06	0	bb	l	COM	M
f30r	L06	1	9	h	E	H
f30r	L06	2	2	m	S	H
f30r	L06	3	xr	m	I	H
f30r	L06	4	c	h	L	H
f30r	L06	5	ss2	h	NULL	M
f30r	L06	6	9	h	E	H
f30r	L06	7	FL	m	S	S
f30r	L06	8	eh	h	D	H
f30r	L06	9	zb	m	NULL	M
f30r	L06	10	h	h	V	H
f30r	L06	11	br	h	R	H
f30r	L06	12	lam	h	A	H
f30r	L06	13	aq	h	Y	H
f30r	L06	14	Sx	m	Q	S
f30r	L06	15	sl	l	E	M
f30r	L06	16	h	h	V	H
f30r	L06	17	BOX	h	E	S
f30r	L06	18	c	h	L	H
f30r	L06	19	sl	m	E	H
f30r	L06	20	bb	h	COM	H
f30r	L06	21	zb	m	NULL	M
f30r	L06	22	Af	m	M	H
f30r	L06	23	z	h	A	H
f30r	L06	24	HASH	l	?	U
f30r	L06	25	rho	l	F	M
f30r	L06	26	lam	h	A	H
f30r	L06	27	xr	m	I	H
f30r	L06	28	5	h	C	H
f30r	L06	29	m	h	T	H
f30r	L06	31	ss2	h	NULL	M
f30r	L06	32	eh	h	D	H
f30r	L06	33	Tb	l	O	M
f30r	L06	34	2	h	S	H
f30r	L06	35	2	h	S	H
f30r	L06	36	5	h	C	H
f30r	L06	37	sl	h	E	H
f30r	L06	38	FL	m	S	S
f30r	L07	0	fh	h	D	H
f30r	L07	1	z3	h	I	H
f30r	L07	2	2	h	S	H
f30r	L07	3	CROSS	m	?	U
f30r	L07	4	Rt	h	O	H
f30r	L07	6	h	h	V	H
f30r	L07	7	br	h	R	H
f30r	L07	8	2	h	S	H
f30r	L07	9	zb	m	NULL	M
f30r	L07	10	mx	h	NULL	H
f30r	L07	11	HASH	h	?	U
f30r	L07	12	nq	l	Q	M
f30r	L07	13	n	h	V	S
f30r	L07	14	BOX	h	E	S
f30r	L07	15	n6	m	N	H
f30r	L07	16	lt	h	O	H
f30r	L07	17	ss2	h	NULL	M
f30r	L07	18	g	h	V	H
f30r	L07	19	2	h	S	H
f30r	L07	20	n6	l	N	M
f30r	L07	21	lam	h	A	H
f30r	L07	22	h	h	V	H
f30r	L07	23	A2	h	E	S
f30r	L07	24	Rt	h	O	H
f30r	L07	25	nr	m	N	H
f30r	L07	26	2	h	S	H
f30r	L07	27	9	h	E	H
f30r	L07	28	g	h	V	H
f30r	L07	29	ST	m	L	S
f30r	L07	30	III	h	E	S
f30r	L07	31	2	h	S	H
f30r	L07	32	q	h	B	S
f30r	L07	33	z	h	A	H
f30r	L07	34	r3	m	R	H
f30r	L07	35	lt	h	O	H
f30r	L07	36	ll	l	LL	M
f30r	L07	37	9	h	E	H
f30r	L07	38	2	h	S	H
f30r	L08	0	B8	l	?	U
f30r	L08	1	m	h	T	H
f30r	L08	2	9	m	E	H
f30r	L08	3	n6	m	N	H
f30r	L08	4	g	h	V	H
f30r	L08	5	BOX	h	E	S
f30r	L08	6	2	h	S	H
f30r	L08	7	sl	m	E	H
f30r	L08	8	nr	m	N	H
f30r	L08	9	Af	l	M	M
f30r	L08	10	III	h	E	S
f30r	L08	11	2	h	S	H
f30r	L08	12	fh	h	D	H
f30r	L08	13	xr	m	I	H
f30r	L08	14	5	l	C	M
f30r	L08	15	eh	m	D	H
f30r	L08	16	sl	h	E	H
f30r	L08	17	2	h	S	H
f30r	L08	18	ST	l	L	M
f30r	L08	19	9	m	E	H
