row	codes
f30r_L01a	HASH ss2 m? x 2 Af? yt? sq? ss2 z rs 2 paren? 9 III
f30r_L01b	ss2 m? paren? 2 L2? h sq ss2 g fh h 2 9 ss2 m? eh? x fh III br? 9 H
f30r_L02a	br? o n6? sq III III n6? paren? 2 2 h 2 m? z
f30r_L02b	9? m? x? 2 fh m? p? 9 ss2 lt? lt? g 2 z? mx? sq m? 5? br? z3?
f30r_L03a	c? sq c x 2 Rt br 2 ss2 eh 9 n6? 2 sq n6? paren?
f30r_L03b	z3 5 m 2 dl? Af br? 2 9 2 ss2 lt? A2? Af? yt? 9 2 m? x? T?
f30r_L04a	r3? III FL m sl? bb? c? lam Rt h bb? fh T m A2? d eh?
f30r_L04b	9 yt? 2 ss2 z? c m yt? h A2? HASH 9 FL A2? III br z d eh? aq? h zu?
f30r_L05a	E bb? ss2 9 r3? sq d lam fh n x r3? eh A2? lt? g yt? FL
f30r_L05b	z bb? fh mx? h x Th m 9 fh? III mx? h Rt c? Af lam? Mx z? bb?
f30r_L06a	eh bb? ss2 lt? 9 r3? eh z x c ss2 9 fh eh z h br lam A2? aq? sl?
f30r_L06b	h sq c paren? bb? 2 fh z3? HASH? paren? lam x? 5 m ss2 eh? p? 2 2 5 sl? fh?
f30r_L07a	fh z3? 2 T Rt h br 2 2 mx? Mx yt? n sq d sl?
f30r_L07b	ss2 g 2 lam o h A2? paren? Rt r3? 2 9 g ss2 III 2 q z fh lt? 2 Mx? 9 2
f30r_L08a	fh z3? 2 T Rt g m? g d g sq 2 paren? T? fh III 2 fh x? paren? 2 paren?
f30r_L08b	ss2 g 2 eh? o o? Th? br? sq 2 paren? d yt? z Mx 2 lt? Mx lam mx? m yt? A2? z?
f30r_L09a	eh m 2 o? g? sq fh eh? c? 9 br? Mx h Af ss2 Rt br z r3?
f30r_L09b	m ss2 A2? 2 yt? lam dl? fh 9 z? Mx mx? 9 o? mx? lt? yt? h br?
f30r_L10a	z lam g p? A2? x Mx eh q? 9 xr? c br yt? 9
f30r_L10b	5? c r3? ss2 x? sq z Af? g lt? 2? c h yt? z x? Mx z3? br fh? 9
f30r_L11a	ST g Mx eh lam x fh 9 br c ss2 FL sl h z r3?
f30r_L11b	m? q? 9 c z d sl x eh ss2 zu? yt? 2 h 9 ST? br g sq
f30r_L12a	CROSS? lam br g 2 9 yt? n x c ST 2 A2? ss2 mx?
f30r_L12b	m u? 2? x ST III fh III c z2? m yt? h 9 d fh sq g T x? 9 Mx
f30r_L13a	p z x? yt? 9 lam h Af? eh yt? z3? br sq Af yt? 9
