# Second reader f.30 (pass C) vs ciphertext_f30.tsv, 24 Sept 2026. One row per disagreeing alignment column (tools/reconcile_passes.py, NW). index = committed position (blank = pass C inserted a sign). class: namemap = pass C NEW code for a shape the reconciler already coded (counts as agreement); systematic = class checked on sample crops, committed upheld; other = one-off. proposed yes only where this worker saw the crop and the image supports pass C. NOT applied.
line	index	committed	yours	class	image_evidence	proposed
f30r_L01	5	Af	4t	other	not re-checked on the crop by this worker	no
f30r_L01	10	rs	z3	other	not re-checked on the crop by this worker	no
f30r_L01	15	nr	[?]	other	not re-checked on the crop by this worker	no
f30r_L01	31	eh	c	systematic	image (f30r_L13b idx25): loop/hook on the c = eh; low resolution, not re-checked each time	no
f30r_L01	37	H	lt	other	not re-checked on the crop by this worker	no
f30r_L02	0	[?]	INF	other	not re-checked on the crop by this worker	no
f30r_L02	2	nq	xr	systematic	image (f30r_L12a idx6, L12b idx25): cursive N with hook = nq, distinct from x-with-r (xr) beside it	no
f30r_L02	3	n	2	systematic	same r/2 family as nr>2; committed n kept	no
f30r_L02	8	paren	sl	other	not re-checked on the crop by this worker	no
f30r_L02	15	Mx	xr	other	not re-checked on the crop by this worker	no
f30r_L02	26	re	NEW:r-joined-to-e	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30r_L02		-	x	other-insert	pass C writes the arch+x compound as two signs (mx x); segmentation, not a reading (f30r_L02b checked)	no
f30r_L02	36	zb	E	other	not re-checked on the crop by this worker	no
f30r_L03		-	paren	other-insert	not re-checked on the crop by this worker	no
f30r_L03	0	c	NEW:small-c-with-hat	other	not re-checked on the crop by this worker	no
f30r_L03	9	eh	c	systematic	image (f30r_L13b idx25): loop/hook on the c = eh; low resolution, not re-checked each time	no
f30r_L03	11	nq	xr	systematic	image (f30r_L12a idx6, L12b idx25): cursive N with hook = nq, distinct from x-with-r (xr) beside it	no
f30r_L03	12	n	2	systematic	same r/2 family as nr>2; committed n kept	no
f30r_L03	17	z3	xr	other	not re-checked on the crop by this worker	no
f30r_L03	30	CROSS	NEW:diamond-with-cross	other	not re-checked on the crop by this worker	no
f30r_L03	36	lt	Tb	other	not re-checked on the crop by this worker	no
f30r_L04	0	nr	2	systematic	image (f30r_L04a idx0, L13b idx24/32): r-shape with dot above = nr; the plain 2 has a flat base and no dot; pass C merged the two	no
f30r_L04	6	eh	c	systematic	image (f30r_L13b idx25): loop/hook on the c = eh; low resolution, not re-checked each time	no
f30r_L04	10	bb	D	other	not re-checked on the crop by this worker	no
f30r_L04	16	eh	c	systematic	image (f30r_L13b idx25): loop/hook on the c = eh; low resolution, not re-checked each time	no
f30r_L04	22	nn	NEW:n-with-descender	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30r_L04	28	HASH	4t	other	not re-checked on the crop by this worker	no
f30r_L04	36	eh	c	systematic	image (f30r_L13b idx25): loop/hook on the c = eh; low resolution, not re-checked each time	no
f30r_L04	37	B8	5	other	not re-checked on the crop by this worker	no
f30r_L04	38	h	lz	other	not re-checked on the crop by this worker	no
