sign	grade	count	line	position	context
FL	U	35	f30r_L01	2	·{FL}IMR·R
FL	U	35	f30r_L01	17	REAE·N{FL}EIV·VD
FL	U	35	f30r_L01	30	·VDVSE{FL}DIM·REI·
FL	U	35	f30r_L02	13	··NSVI{FL}·S·ISDT
FL	U	35	f30r_L02	17	SVI··S{FL}ISDT·E·
FL	U	35	f30r_L02	33	·OVS·{FL}CRPREL·
FL	U	35	f30r_L03	34	ES···RES{FL}IOEN··TO
FL	U	35	f30r_L04	2	ES·IOEN·{FL}TOIDPOV[COM]
FL	U	35	f30r_L04	30	·LTRVY·E{FL}P·QAND·V
FL	U	35	f30r_L06	7	I[COM]ESILE{FL}DSVRAY·E
FL	U	35	f30r_L06	38	TDPSSCE{FL}DISOOVRS
FL	U	35	f30r_L11	11	BAIMERLE{FL}OVST·ELA
FL	U	35	f30r_L12	16	IL·SYA{FL}·MOLASTQ
FL	U	35	f30r_L15	4	VILPEN{FL}··VEMVO
FL	U	35	f30r_L15	15	VEMVOVV{FL}EST·SPOV
FL	U	35	f30r_L17	3	NIENVOV{FL}SVELIED
FL	U	35	f30r_L18	23	·NSER·VE{FL}IVOVSPM
FL	U	35	f30r_L20	25	NTMAIVOV{FL}P·PVVE
FL	U	35	f30r_L22	12	FQ·EVPNS{FL}EMB·RASO
FL	U	35	f30r_L24	22	ASOVNVOV{FL}ASERVI·V
FL	U	35	f30r_L25	15	ESENT·E[ET]{FL}EMBLAO·E
FL	U	35	f30r_L26	21	E[COM]MEETR·{FL}AVMBLESV
FL	U	35	f30r_L26	31	VMBLESVB{FL}·CD·SERV
FL	U	35	f30r_L27	21	EIE·VOVS{FL}VISIEVP·
FL	U	35	f30r_L30	13	ESC·OVSE{FL}Q·IVO·ST
FL	U	35	f30r_L31	5	IEDQ·ILE{FL}TIMPO[SS]IB
FL	U	35	f30r_L32	3	SQ·ESASE{FL}TREIADEC
FL	U	35	f30r_L33	21	ER·EQV·S{FL}PREDECE[SS]
FL	U	35	f30v_L05	7	·E[ET]AVOV{FL}REPLAISI
FL	U	35	f30v_L05	22	SIR[ET]VOVS{FL}VELIETRE
FL	U	35	f30v_L08	4	·QVEVOVS{FL}AVRIEIFA
FL	U	35	f30v_L12	22	[ET]AVLTRES{FL}ES·INI·R
FL	U	35	f30v_L12	29	S·ES·INI{FL}RESMAINT
FL	U	35	f30v_L13	28	SICE[COM]LE{FL}A·PARLE·
FL	U	35	f30v_L20	15	RAIPARDE{FL}ESPPIR·
